user_sector_i,D01,D02,D03,D05,D06,D07,D08,D09,D10T12,D13T15,D16,D17T18,D19,D20,D21,D22,D23,D24A,D24B,D25,D26,D27,D28,D29,D301,D302T309,D31T33,D35,D36T39,D41T43,D45T47,D49,D50,D51,D52,D53,D55T56,D58T60,D61,D62T63,D64T66,D68,D69T75,D77T82,D84,D85,D86T88,D90T93,D94T96,D97T98
D01,0.1675924321858596,0.00013884501551941745,3.0114786471106525e-05,0.0008671473514917042,0.0018404889500130998,8.71743818900452e-06,0.002791957703623902,8.178542010047877e-05,0.03959920072186728,0.0005758264171027895,0.0008020043133884158,0.0008868012121360053,0.027812273297076185,0.06265951921267901,0.004893494302678647,0.0034074088397676216,0.00022776288504726354,0.0003402970871235037,0.00017403176602776295,0.0035440348710207466,0.0009750850861591966,0.00481646384886308,0.005025840864275352,0.0009841195221005285,6.339955046548742e-06,0.00011269270095240388,0.0006660122776399453,0.00614848840414297,0.00043824939259268176,0.004518485961675289,0.1343328695127887,0.013722198702750097,0.0006298745338746175,0.001267040016052766,0.0029208172899450055,2.9005294337960496e-05,0.0007029425157860918,0.001834148994966551,0.0009395813378985235,0.002313291097609472,0.010211131597971403,0.016371824415578978,0.006489260987894965,0.009272501253329863,0.0018975485454320385,0.00029781938831162716,7.354347853996541e-05,0.0004044891319698097,0.000498954462163386,0.0
D02,0.03308822139468063,0.1893877242396174,0.0,6.427099676754693e-05,0.002434736583429425,0.0,7.561293737358462e-06,1.5122587474716924e-05,0.0009791875389879208,2.6464528080754614e-05,0.0005292905616150923,0.0002117162246460369,0.03285382128882252,0.0010737037107049015,0.00028732916201962153,0.0004990453866656585,0.0007410067862611293,0.00012854199353509385,1.8903234343396154e-05,0.0007636906674732047,0.0003137936901003762,0.00010207746545433925,0.0010472391826241469,0.00043477438989811154,3.780646868679231e-06,3.780646868679231e-05,0.008328765051700346,0.00398102115271923,0.00013610328727245232,0.0005633163834332054,0.10244040755373245,0.013999735354719193,0.0005973422052513185,0.023753804275911606,0.00275231092039848,7.561293737358462e-06,0.001391278047673957,0.0012135876448460333,0.002143626774541124,0.0033874595943365906,0.004461163305041493,0.007727642199580349,0.009326855825031663,0.014007296648456551,0.010162378783009773,0.00016256781535320692,5.670970303018846e-05,0.00027598722141358386,0.0018449556719154646,0.0
D03,0.0053226573405120185,1.5339070145567777e-05,0.023039283358642797,0.0,0.0033439172917337752,0.0,0.0,3.0678140291135554e-05,0.014188639884650193,0.00023008605218351663,0.008237080668169895,7.669535072783887e-05,0.04463669412360222,0.0012117865414998544,0.00021474698203794885,0.0001840688417468133,6.135628058227111e-05,0.00016872977160124555,3.0678140291135554e-05,0.003681376834936266,0.00046017210436703326,6.135628058227111e-05,0.00023008605218351663,0.002132130750233921,0.0022701823815440307,0.00572147316429678,0.005123249428619637,0.003405273572316046,0.00012271256116454222,0.0009663614191707698,0.052474958967987366,0.006657156443176414,0.0005215283849493044,0.0008129707177150921,0.017609252527111804,1.5339070145567777e-05,0.00027610326262022,0.0005982237356771432,4.6017210436703324e-05,0.0005675455953860077,0.10479652723451904,0.0002607641924746522,0.0016412805055757518,0.0013805163131010998,0.004095531728866596,0.0005061893148037366,3.0678140291135554e-05,6.135628058227111e-05,0.00012271256116454222,0.0
D05,0.000269125834845623,0.0006691110205794847,0.0,0.022809031764255645,0.010308260187894276,6.666419762231029e-05,0.007513301976470007,0.010271224522548547,0.00017283310494673037,0.00019258545979778527,7.654037504783774e-05,0.0010394676740367642,0.040702196214955,0.02522869523350987,0.001185141291063294,0.007520709109539153,0.0055627569349283364,0.0009579892102761625,0.00011604508474994754,0.007560213819241262,0.0005975087342444107,0.0004370208510795896,0.019851116625310174,0.002434477735392516,1.4814266138291173e-05,0.00029875436712220534,0.0004913398269199906,0.013446415564855624,0.0008197227263187784,0.00905398565485229,0.049820377023073216,0.007162697677863783,0.00035307334296260637,0.0006913324197869215,0.001938199819759762,1.2345221781909311e-05,0.00016789501623396664,0.0008468822142389787,0.001165388936212239,0.0010690962063133462,0.024364529708776218,0.0002617187017764774,0.038470180116785796,0.017661074281199462,0.0025431156870733183,0.00017036406059034852,4.444279841487353e-05,0.0001308593508882387,0.0002617187017764774,0.0
D06,7.142435999221894e-06,5.601910587625016e-07,5.601910587625016e-07,0.0004401701244226356,0.15575636226491407,7.324498093319708e-05,0.0006394580935773956,0.011627885806733244,0.00013724680939681289,0.00013080461222104411,4.0193708466209485e-05,0.00034395731008017593,0.020794992340087512,0.017641116679254627,0.0008723575262579056,0.000373087245135826,0.003425288228803316,0.027365193172783513,0.00020348940209547871,0.005832569256070476,0.0006208317408735424,0.00038092991995850105,0.0163627606831586,0.0014137821845518633,8.823009175509399e-06,0.00012324203292775034,0.00038625173501674484,0.010256958238176713,0.001968791476020812,0.0036549665628959416,0.04324478906775945,0.013827756094493588,0.0032028923784746025,0.0008281024326156678,0.0021467921849425966,1.092372564586878e-05,0.00019844768256661616,0.002179843457409584,0.0019451234037880963,0.023065866844546,0.03766528612248493,0.0038812837506359923,0.06739112441689363,0.02011478034698514,0.0030461789297857927,0.00020699059621274434,5.18176729355314e-05,0.00014046790798469727,0.00034199664137450717,0.0
D07,0.0007398209343213086,2.9012585659659157e-06,0.0,0.0008123523984704564,0.011251080718815821,0.1229379304742397,0.0007601297442830699,0.010113787360957183,0.0002030880996176141,0.00019438432391971635,0.004479543225851374,0.0022977967842450053,0.054903417102338994,0.02600107926818654,0.001302665096118696,0.008483280046884338,0.006803451337190072,0.00918538461984809,0.0002001868410516482,0.012307138836827415,0.0008558712769599451,0.001238837407667446,0.036465918915625596,0.003806451238547281,1.450629282982958e-05,0.00018277928965585268,0.0007369196757553426,0.03518066137090269,0.0005628441617973876,0.011375834837152356,0.069714342081595,0.015440498088070605,0.0007369196757553426,0.0009487115510708545,0.0035337329333464855,9.574153267687521e-05,0.0004961152147801716,0.0014593330586808555,0.0007572284857171041,0.009864279124284114,0.015510128293653787,0.001096675737935116,0.030988342743081945,0.010180516307974398,0.0061709769698095026,0.00024370571954113694,3.7716361357556904e-05,9.864279124284114e-05,0.00022339690957937552,0.0
D08,0.00038936099434481514,1.890101914295219e-06,0.0,0.0007050080140321166,0.008571612181328818,0.0007087882178607071,0.01878572292618018,0.008337239543956211,0.00012285662442918923,0.00010584570720053225,0.0033624913055311945,0.0008014032116611728,0.03488372093023256,0.014330752714186351,0.0007220189312607736,0.0033511506940454234,0.004600508059394563,0.004364245320107661,8.316448422898963e-05,0.002392869023497747,0.0004914264977167569,0.0002910756948014637,0.014791937581274384,0.0023115946411830525,1.1340611485771313e-05,8.883478997187529e-05,0.0004498442556022621,0.017950297880061694,0.001158632473462969,0.0184228233586355,0.04232127196298424,0.006681510267033599,0.004171454924849548,0.0008165240269755347,0.02534815677261318,1.8901019142952188e-05,0.0003269876311730729,0.0007881724982611064,0.0017993770224090484,0.0014648289835787946,0.03445277769377325,0.0010471164605195512,0.06522174675658511,0.019122161066924732,0.003823676172619228,0.00031375691777300635,3.7802038285904376e-05,0.00012285662442918923,0.0003005262043729398,0.0
D09,0.0001869916655143371,1.5713585337339252e-06,0.0,0.00015242177777219072,0.004607223220907868,0.0009522432714427586,0.0005185483161321953,0.0044013752529887245,6.2854341349357e-05,5.656890721442131e-05,0.0015477881557279163,0.00033627072621905994,0.019877685451734153,0.007198393443035111,0.0004572653333165722,0.0032825679769701694,0.004127958868119021,0.0027294497730958275,6.756841695055877e-05,0.0035575557203736063,0.0007683943229958893,0.0022391859105708434,0.014077801103722235,0.0011989465612389848,6.285434134935701e-06,8.79960778890998e-05,0.000356698387157601,0.0005704031477454148,0.0006348288476285057,0.0068165533193377675,0.02701950998755484,0.006015160467133465,0.002721592980427158,0.001968912242768608,0.0006678273768369182,4.714075601201775e-06,0.0015493595142616501,0.0005625463550767452,0.0022517567788407147,0.0013246552439376987,0.05139913763843669,0.0010339539151969226,0.04141943959069253,0.022175011628053153,0.0006364002061622397,0.00042269544557442583,3.928396334334813e-05,0.0003205571408817207,0.0005986876013526254,0.0
D10T12,0.23818541934503348,0.00029942900515179645,0.0053606590815466326,0.000436122923205659,0.0004030604150677937,1.2531757116771535e-05,0.00031391607188962454,6.248103016376163e-05,0.08771785593189835,0.000173667045433841,0.0007331522301861588,0.028257334744118852,0.005368124809190666,0.009615946083225977,0.002268336915845696,0.021057884719388627,0.005668442591442943,9.269945158009015e-05,0.0035695065909487826,0.014560479726327756,0.002584030541936281,0.0007042669744205506,0.004102239584976646,0.0017697329624762753,1.1642980016291283e-05,0.00013020584522035672,0.001463993639911069,0.00821212265301742,0.001031870213657571,0.001424887447489938,0.18111010926181284,0.01939267194392883,0.0009117964273826893,0.002651666479282828,0.007797330380223288,1.297614566701166e-05,0.0010109839517962853,0.0025662549999266758,0.0009618345781397273,0.006132828626443874,0.008328463575470285,0.003876934590004902,0.04237173724371557,0.009472053070658223,0.002133776062832986,0.00047940636799904723,9.03886311188415e-05,0.00040723766744005084,0.0005895258507485503,0.0
D13T15,0.02274785580857068,0.00031663378192090235,1.3826802703969536e-06,0.00039129851652233786,0.00027100533299780294,1.1061442163175629e-05,0.0005019129381540941,5.1159170004687285e-05,0.005830762700263953,0.06125826669966663,0.0009111862981915925,0.00840531336374308,0.009637281484666766,0.1134682737098556,0.00496105681018427,0.008865745893785268,0.0023878888269755387,0.0027916314659314494,0.00031663378192090235,0.0110296405169565,0.008622394166195403,0.000685809414116889,0.001072959889828036,0.0007590914684479275,6.913401351984768e-06,0.00012305854406532887,0.004265568634174602,0.013576537575027687,0.0010950827741543873,0.001523713657977443,0.12365724462241075,0.013985810935065186,0.0007590914684479275,0.0022717436842621948,0.026926315585710275,3.0418965948732984e-05,0.0009899990736042187,0.0024929725275257076,0.0012623870868724186,0.012218745549497879,0.012139932774085253,0.009133985866242277,0.0649113079740554,0.01941697903718442,0.0031995221456985507,0.00038023707435916223,5.668989108627509e-05,0.0002834494554313755,0.0004714939722053612,0.0
