"","D01","D02","D03","D05","D06","D07","D08","D09","D10T12","D13T15","D16","D17T18","D19","D20","D21","D22","D23","D24A","D24B","D25","D26","D27","D28","D29","D301","D302T309","D31T33","D35","D36T39","D41T43","D45T47","D49","D50","D51","D52","D53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T75","D77T82","D84","D85","D86T88","D90T93","D94T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_01",194814.6,4797,6661.3,3.1,0,9.1,52.8,34.3,495688.9,124811.4,6266,20057.4,2.3,16502.4,54093.8,51.9,355.7,135.8,27.4,164.2,0,6.8,180,36.4,3.2,3.6,5253.1,84.9,330.3,21207.8,621.6,973.2,29.7,233.8,13303.3,38.9,25528.1,45,973.2,4,14.8,243.1,7105.6,1850.5,8.3,1900,1419.1,4190.1,1084.4,0,256407.4,22.4,1.7,50676.4,737,0,556.4,12087.1,0,1331690.5
"DOM_02",1006.7,11294.1,274.3,397.6,8.7,111.6,17.9,1.4,1541.2,30.7,36386.6,2746.8,19.2,6303.6,101.6,18026.2,72,16.5,55.8,297.4,0.4,51.4,157.7,8.6,5.4,4.8,4321,4.9,36,7361.3,21.3,342,16.2,243.4,6,0.4,231.7,0.6,39.8,0.5,0.6,8.4,458.4,64.1,0.3,248.8,23.5,254.9,44.6,0,837.8,21.9,0.1,0.1,0.2,0,0,58.5,0,93585.4
"DOM_03",1945.9,4.4,23339.1,0,0,0.4,2.7,3.5,52017.4,541.5,280.4,301.5,0.3,1787,78.2,24,15.1,29.1,0,0,0,0,35.4,6.3,0.6,0.5,170.4,4.5,262.9,0.1,68.7,0,585.9,0,0,68.2,24042.5,2.4,86.1,0,1.6,27.1,1809.9,249.5,0.9,416.2,37.2,141.2,110.9,0,47277.3,5.2,0,16.1,13.8,0,42.3,1058.8,0,156913.1
"DOM_05",68.7,6.2,3.5,47725.1,350.2,982.2,820,293.3,2217.4,1771.4,519.9,3803,13381.2,28099,476.4,1720.5,35717.5,34701.5,5162.1,2145,22.9,311.8,2132.3,323.5,17.2,158.9,975.1,113746.9,777.7,662.6,13.9,936.6,32.7,60.4,18.1,65.8,46.4,51.1,0,0,0,63.5,250.7,25.4,462.4,424.6,526.1,49.9,295.2,0,2641.4,0,0,0.1,1,0,0,845.4,0,305903.8
"DOM_06",0,0,0,79.4,1257.8,129.2,117.3,60.4,0,0,0,547.6,143198.3,19634,11.9,184.4,1202,229,416.7,377.4,0.9,0,555.1,209.4,13.3,66.6,0,30663.3,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0.1,1.2,0,0,2083.8,0,201140.5
"DOM_07",0,0,0,104.6,0.1,15746.9,225.9,0,0,0,0,0,37.8,4164.7,207.5,321.7,2670.9,103146,50174.4,2403.9,0,633.3,323.9,28.6,8.5,2.9,22,93,168.5,648.7,0,0,0,0,0,0,0,0,0,0,0,0,111.2,0,0,0,0,0,0,0,0,0,0,0.1,-3,0,0,2456.3,0,183698.9
"DOM_08",5,0.7,2.4,709.7,7735.1,462,1470.4,37.9,312.8,13.2,33.9,155.9,0.2,12079.8,61.4,45.6,55373.6,910.1,307.3,199.1,0.4,741,304.3,122.3,3.4,8.8,462.6,193.1,11.5,14212.9,0,17.1,0,0.3,1.1,0,0,0.4,0,0,0,0,17.7,0.2,0,0.2,0.7,2.4,5.4,0,161.1,0,0,0.1,-4.3,0,0,2749.5,0,98928.5
"DOM_09",0,0,0,718.8,14382.1,306.7,386.4,92.5,390.5,0,0,0,1584.5,0,0,0,1111.7,0,0,0,0,0,0,0,0,0,0,148.6,12.9,2076.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.6,0,0,504.8,0,21716.9
"DOM_10T12",139208,411.2,15291.9,1249.2,664.5,1359.5,927,11.9,306989.8,20123.1,873.8,2092.7,1996.3,39426.8,7685,1704.6,4694.7,4231.2,3321.4,3322.2,5551.6,4210.6,6734.4,1845.2,244.1,522.1,1893.7,2786.5,2483.6,8197,9210.9,4699.1,2963.3,4579.1,3962,670.4,107170.8,1428.2,2703.5,1024.2,3825.4,4003.8,10841.3,4532.7,8847.7,8124,6687.7,4470.9,6649.9,0,627233.2,123,1.7,0.4,365.2,0,2281.3,41073.7,0,1457526.8
"DOM_13T15",610.1,124.9,11.2,1249.1,327.5,899.4,360.5,155.9,2373.5,480530.5,994.2,4297.9,249,7547.4,5301.1,17643.3,8743.8,1550.5,1436.4,3327.3,1512.7,3463.4,6428.8,14477.5,346.4,851,24870,623,2767.9,14146.3,3350.1,2804,80.4,660.5,1741.9,335.5,4082.7,4059.5,508.4,39,7054.5,2523.1,7149.5,4925.5,19014,954.6,9325.3,1537.4,2480.8,0,184353.5,18.9,0,0.5,1096.1,0,1729.2,274120.1,0,1141165.4
