"","D01","D02","D03","D05","D06","D07","D08","D09","D10T12","D13T15","D16","D17T18","D19","D20","D21","D22","D23","D24A","D24B","D25","D26","D27","D28","D29","D301","D302T309","D31T33","D35","D36T39","D41T43","D45T47","D49","D50","D51","D52","D53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T75","D77T82","D84","D85","D86T88","D90T93","D94T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_01",491027.9,10232.5,23043.9,4.9,0,4.9,38.2,0.3,782470.5,160085.9,10202.1,44242.5,3,18086.2,83469.9,54.4,387.8,43.5,11.4,87.5,0,19,136,51,8.4,14.6,7974.9,238.6,1846.5,31861.5,151.1,112.1,4.6,0,110.8,3,65284.4,68.4,1088.9,2.7,172.5,500.5,11963.1,7583.3,0,1089.1,1024.4,863.7,1833.8,0,487122,32.5,1.1,42159.1,516.6,0,170.7,18067.7,0,2305574.2
"DOM_02",2781.4,28406.6,1302.6,801.2,19.3,74.7,15.6,0,2885.2,10.2,56625.4,7157.7,32.5,9071.2,178.1,24396.9,92.9,6.3,30.1,188.6,12.5,168.1,140.5,13.1,17.8,0.6,7762.8,18.2,319.4,12747,5.4,66.7,2.7,58.3,0,0.1,613.6,0,42.4,0.3,6.7,19.8,731.3,290.7,0,156.5,11.8,30.5,70.7,0,4528.7,31.9,0.1,0.1,0.6,0,0,79.9,0,162025.7
"DOM_03",749.5,1.7,21721,0,0,0.2,1.5,0,88445.4,419.5,433.2,590.8,0.3,1472.6,95.2,19,13,7.3,0,0,0,0,21.2,7.3,1.2,1.3,49,0,8.6,0.1,11.7,0,3.1,0,0,0.3,52528.3,0,98.8,0,15.7,46.1,2027.4,730,0,195.3,36.4,17.3,173.8,0,100273.8,7.4,0,29.6,16,0,12.7,1383.3,0,271665.8
"DOM_05",1178.5,89.1,79.1,82918.7,317.5,1637.8,3033.9,117.3,2926.7,2508.4,383.3,6125,29352.7,36248.2,584.5,1032.6,53118.1,40775.3,5264.2,1010.7,58,347.8,938.4,88.5,2.3,88.9,245.8,169633.8,273.8,1353.1,376.5,174.7,0,30.6,0,40.8,99.7,11.8,0,0,38.2,74.2,426.5,29.5,665.7,989.2,366.9,54.6,212.9,0,2187,0,0,0.1,2.4,0,0,446.1,0,447959.4
"DOM_06",0,0,0,92.5,2463.9,57.4,23.4,27.7,0,0,0,97.3,231823.8,25606.4,32.6,1377.9,1932.7,650.3,1093.4,1125.8,29.3,100.8,1348.5,710.2,73.6,189.8,0,66173,0,0.1,0,0.3,1.1,0,0,0,0,0,0,0,0,0,1.9,0,56.2,0,31.2,1.9,0,0,137.3,0,0,0.1,-7.5,0,0,2569.7,0,337822.6
"DOM_07",0,0,0,0,0.1,16629.8,102.3,29.7,0,0,0,0,222.7,4175.5,58.7,0,1509.3,132188.7,65138,5385.8,0,0,0,0,0,0,0,0,39.6,947.2,0,0,0,0,0,0,0,0,0,0,0,0,134.8,0,0,0,0,0,0,0,0,0,0,0.1,-18.3,0,0,8528.7,0,235073.3
"DOM_08",3.8,0.5,2.5,125.1,123.7,230.6,3241.6,174.5,101.6,35.6,10.8,1522.5,51.5,17799.3,218.3,128.2,92499.3,665.5,457,320.8,201.1,1206.6,413.7,366.3,35.8,89.3,170.8,227.3,59,46758.6,230.9,155.8,0,0,142.9,0,10.4,2.1,0,0.1,2,0.5,28.7,2,33.1,5.8,1.8,9.9,2.8,0,195.5,0,0,0.1,-6.3,0,0,3217.2,0,171276.3
"DOM_09",0,0,0,1086.5,29204.2,305.9,673,118.9,236.5,0,0,0,1435.7,0,0,0,634.7,0,0,0,0,0,0,0,0,0,0,141.2,10.4,1492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,-0.1,0,0,964.8,0,36304
"DOM_10T12",193043,215,31659.6,999.5,409,1799.1,1253.9,30.3,335823.4,19211.2,1530.5,2375.6,5354,40628.7,9997.4,1391.2,2976.5,9238.7,8353.9,7381.8,16411.2,8902.3,13711.8,4661.7,749.7,2336.2,1555,11725.4,6556.4,10483.3,16521.8,5217.1,114.3,5291.3,2478,1324.6,191597.2,1573,3856.6,3635,6024.1,6262.9,19787.1,7028.8,7251.9,20740.1,7479.3,11262.9,5305.4,0,1036041,152.4,0.9,0.4,396.5,0,678.1,50612,0,2161398.3
"DOM_13T15",717.2,252.1,54.4,5745.3,1428.8,1052.1,1095.7,1027,8287.6,865498.5,1821.5,19041.2,1983.1,10682.6,11438.9,12012.2,10519,2066.8,1276.9,7759.7,10557,8743.9,10037.7,15995.9,1130.2,3447.5,47487.7,3439.9,10150.6,12053.2,21399.2,6015.7,461.7,1451.2,3099.3,3302.5,13337.9,6779.8,2029.6,429.7,16131.9,3960.9,22907.7,11776,48106.4,4921.3,18469,6555.3,3029.6,0,302220.1,34.7,0,0.5,832.4,0,527.2,316824,0,1901407.9
