"","D01","D02","D03","D05","D06","D07","D08","D09","D10T12","D13T15","D16","D17T18","D19","D20","D21","D22","D23","D24A","D24B","D25","D26","D27","D28","D29","D301","D302T309","D31T33","D35","D36T39","D41T43","D45T47","D49","D50","D51","D52","D53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T75","D77T82","D84","D85","D86T88","D90T93","D94T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_01",229259.4,4313.4,7221.8,4.6,0,9.1,60.5,12.1,620226.2,123245,6288.5,24857.1,4.2,16799.1,48517.2,55.8,371.5,98.9,25.3,148.9,0,9,127.4,28.1,5.1,5.6,3526.2,109.3,347.6,23828.3,380.3,1586.9,43.3,460.6,3133.6,85.8,36100.6,71.5,838,2.6,69.3,263,5862.6,2648.5,6.5,1165.4,827.2,1764.2,1114.3,0,285575.2,23.6,1.4,34732.6,414,0,552,14610.8,0,1501838.9
"DOM_02",1923.3,17801.8,554,578.5,11.6,94.1,17.5,0.5,1937.7,25.4,39236.8,2992.5,29.5,5672.4,85.6,17303.8,71.4,9,40,210.9,3.3,75.8,91.9,6.2,10.3,0.2,4708.5,6.2,45.1,8308.9,8.7,536.2,23.1,495,8.3,0.8,338.5,0.3,35.9,0.3,3.4,9.5,302.5,105.3,0.1,111.6,7.7,81.5,51.6,0,1468.4,22.7,0.1,0.1,0.3,0,0,78,0,105542.7
"DOM_03",2940.5,6.1,32610,0,0,0.3,2.9,1.1,47833.7,436.9,230.5,633.7,0.6,1682.3,65.5,23.9,14.3,20.7,0,0,0,0,23.7,4.5,0.8,0.5,186.2,6.8,336.8,0.1,41.7,0,839.1,0,0,129.3,29844.8,1.7,56.4,0,6,26.2,1132.7,268.8,0.7,251.6,31.4,135.3,98.4,0,55889.3,5.1,0,16.2,12.2,0,40.8,1071.8,0,176961.7
"DOM_05",483.7,32.4,29.3,57696.2,303,1008.4,1309.1,170.4,2410.4,1575.6,309.3,3458.8,24076.4,25726.6,346.6,898.5,32773.1,31988.9,4616.6,1120.6,11.3,192.9,824.6,112.3,2.9,70.1,194.1,103415.2,464.2,709,133,289.2,9.3,63.9,30,66.8,58.9,18.6,0,0,17.4,49.1,212.7,11.6,474.4,380.5,317,21.1,177.6,0,2829.8,0,0,0.1,2.9,0,0,533.9,0,302028.4
"DOM_06",0,0,0,56.1,1207.6,57.4,41.8,33.6,0,0,0,39.3,170269.4,12833.1,17.3,652,935.7,343.9,601.2,526.6,0,42,574.4,330.9,43.1,71.8,0,29557.9,0,0.1,0,0.1,0.5,0,0,0,0,0,0,0,0,0,0.8,0,25.8,0,18,0.3,0,0,140.8,0,0,0.1,0.7,0,0,1633.5,0,220055.9
"DOM_07",0,0,0,56.5,0.1,12360,110.7,0,0,0,0,0,97,2880.2,273.3,438.7,1688.3,84548.4,49164.5,2419.4,0,227.7,100.1,14.1,0.7,1.2,7.3,69,114.6,612.8,0,0,0,0,0,0,0,0,0,0,0,0,67.6,0,0,0,0,0,0,0,0,0,0,0.1,-3.2,0,0,3177.1,0,158426.3
"DOM_08",3.7,0.4,1.2,1283.8,19401.8,636.5,2087.3,83,437.2,15.8,17.5,599.5,10.6,11193.4,85.4,56.4,56693.9,570.6,352.4,190.4,45.1,645.4,216.1,141.1,15.9,23.6,165.8,297.4,14.5,18449.5,45.5,33.2,0,0.6,23.5,0,3,1.3,0,0,0.6,0.1,15,0.3,10,1.1,0.5,1.6,2.4,0,171.4,0,0,0.1,-3.3,0,0,1826.3,0,115868.8
"DOM_09",0,0,0,782.7,18342.8,230,542.8,122.8,410.5,0,0,0,1827.5,0,0,0,767,0,0,0,0,0,0,0,0,0,0,113.9,9.2,1490.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.4,0,0,496,0,25136.7
"DOM_10T12",156406.9,648.3,14595.4,1384.3,635.2,1670.1,1260.7,20.5,345291.2,17337.4,1198.7,2196.8,4200.5,40833.2,6040.7,1105.8,4311.2,6004.3,5122.7,4677.1,8012.5,4943.3,8071.2,2196.7,363.6,713.3,1595.1,5005.1,2767.7,9036.7,9775.9,3690.5,636.7,6500.2,2821.3,895.1,151033.7,2010.1,2481.1,1956,4279.6,4015.9,11206,3494.6,8573.2,9083.9,5801,3342.5,5181.1,0,785685.2,120.3,1.3,0.4,329.4,0,2257.3,41423.4,0,1724241.9
"DOM_13T15",592.1,142.3,18,2752.1,634.9,1106.6,742.3,504.1,5069.7,548821.5,1459.9,12075,856.5,8044.1,7164.4,14875.2,10290.3,1727.2,1534.8,4650.2,3026.5,4245.3,7250.2,11925.6,751.3,1452.3,24437.6,1237.3,3523.2,13818,6865,3461.1,182.2,959,1449.3,1065.6,6537.2,4455.6,814.8,100.6,8196.4,2537.3,8987.1,4515,25284.7,1388.4,9986.4,1554,2074.7,0,216413.9,21.3,0,0.5,991.2,0,1722.1,250601.2,0,1254893.3
