"","D01","D02","D03","D05","D06","D07","D08","D09","D10T12","D13T15","D16","D17T18","D19","D20","D21","D22","D23","D24A","D24B","D25","D26","D27","D28","D29","D301","D302T309","D31T33","D35","D36T39","D41T43","D45T47","D49","D50","D51","D52","D53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T75","D77T82","D84","D85","D86T88","D90T93","D94T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_01",386926.6,7661.9,17965.4,4.4,0,4.7,35.8,0.2,639691.4,125401,8060.7,34422.4,1.8,13316.7,60780.5,43.3,315.4,37.2,10,72.4,0,15.1,106,38,7.3,10.8,6077.2,161.1,1452.7,25219.7,119.9,83.6,3.6,0,93.1,2.5,50996.1,55.3,859.4,2.1,155.4,408.3,9249.3,5798,0,813.9,721.5,636.2,1461.7,0,388422.6,30.5,1.3,34419.7,231.7,0,410.8,16758,0,1839574
"DOM_02",2353.6,22839.3,1090.5,717,17.8,71.1,14.5,0,2370.2,8,45003.9,5609.3,20,6752.4,131,19494.8,76,5.5,26.6,156.7,10.7,134.1,110.2,9.8,15.5,0.4,6600.3,12.4,254.7,10133.4,4.4,50.2,2.1,60,0,0.1,482.2,0,33.7,0.2,6,16.1,561.7,223.3,0,117.7,8.6,23.4,55.4,0,3488.2,29.9,0.1,0.1,0.3,0,0,73.9,0,129277.2
"DOM_03",642.1,1.4,18394,0,0,0.1,1.4,0,71366,321.3,337,460.2,0.2,1069.1,68.3,14.9,10.4,6.1,0,0,0,0,16.3,5.4,1,1,36.8,0,7.3,0.1,9.2,0,2.4,0,0,0.2,40414.2,0,76.8,0,13.8,36.7,1521.4,548.8,0,143.7,24.7,12,135.8,0,79838.1,6.8,0,22.8,11.1,0,30.1,1147.7,0,216757
"DOM_05",1090.9,78.3,72.3,69931.6,286.6,1442.5,2417.5,100,2809.1,2187.8,329.1,5013.7,22088.7,28700.9,485.8,848.1,42313.6,36089.6,4663,843.8,45,280.2,742.8,68.1,2,68.2,196.9,127017,263.7,1050.3,321.7,113.8,0,25.8,0,35.5,79.8,10.2,0,0,36.6,67.3,354.1,19.5,667.2,815.2,300.3,44,183.5,0,1987.8,0,0,0.1,1.2,0,0,827.8,0,357418.3
"DOM_06",0,0,0,99.4,2667.3,67.1,28.4,28.8,0,0,0,96.2,185416.8,22664,33.1,1348.1,1752.4,705.8,1179,1141.1,23.2,103.2,1285,652.6,78.5,177.1,0,48500.6,0,0.1,0,0.2,1.1,0,0,0,0,0,0,0,0,0,2,0,69.1,0,31.7,2,0,0,126.6,0,0,0.1,2.6,0,0,1258.9,0,269542.3
"DOM_07",0,0,0,0,0.1,13866.8,81.5,23.8,0,0,0,0,133.5,3477.3,44.3,0,1180.5,103525.3,56012.8,4186.2,0,0,0,0,0,0,0,0,39.8,752.3,0,0,0,0,0,0,0,0,0,0,0,0,107.3,0,0,0,0,0,0,0,0,0,0,0.1,-2.3,0,0,4131,0,187560.5
"DOM_08",3.4,0.4,2.2,105.7,107.9,207.6,2610,142.7,91.7,29.2,8.9,1226,32.7,14480.3,173.9,99.8,75590.3,559.7,388.2,256.3,160.3,978.8,316.2,272.8,29.9,64.3,156.7,161.9,52.4,35100.4,199.2,116.5,0,0,102.1,0,7.8,1.7,0,0.1,1.8,0.5,23.1,1.3,31.8,4.6,1.4,7.6,2.3,0,195,0,0,0.1,-2.4,0,0,2553.3,0,136658.1
"DOM_09",0,0,0,785.9,23726.4,212.3,504.5,93.2,214.9,0,0,0,1063.1,0,0,0,499.4,0,0,0,0,0,0,0,0,0,0,96.4,8.1,1143.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1,0,0,616.8,0,28966.2
"DOM_10T12",148628.3,165.5,24086.7,815,346.3,1545.9,1125.5,23.6,265422.8,14914.8,1212.5,1899.1,3078.9,29189.1,7416,1016.9,2281.2,7689.5,6943.6,5764.5,12951.5,6805.7,10530.4,3372.9,614.1,1723.9,1360.6,8455.2,5145.5,7605.6,13084.6,3809.8,90.6,3992.9,1838.5,1073.4,143231.8,1261.9,3041.8,2814,5105.3,5221.7,14999.9,5199.8,6758,15175.7,5214.6,8924,4074.2,0,859706.2,143.4,1.1,0.4,269,0,1679.5,47427.3,0,1736270.4
"DOM_13T15",581,193.6,43.2,4488.1,1153.3,884.1,1000.7,802.5,7034,690807.7,1419.6,15169.7,1122,7938.2,9171.8,8977.9,7869.9,1622.6,1034.7,5896,7481.3,6439.1,7141.2,11600.6,893.3,2521.6,37442.4,2170.6,8097.2,8261.2,17010.2,4804.5,363.4,1073.1,2216.7,2586.6,9484,5373.5,1577.3,308.9,13188.9,3109,17567.1,8816.5,40926.6,3802.8,13054.3,4737.6,2378.9,0,251696.4,31,0,0.5,1040.1,0,1256.8,251433.4,0,1517097.3
