"","D01","D02","D03","D05","D06","D07","D08","D09","D10T12","D13T15","D16","D17T18","D19","D20","D21","D22","D23","D24A","D24B","D25","D26","D27","D28","D29","D301","D302T309","D31T33","D35","D36T39","D41T43","D45T47","D49","D50","D51","D52","D53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T75","D77T82","D84","D85","D86T88","D90T93","D94T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_01",105737.3,875.2,34.7,10.9,5.1,25.5,20.6,11.9,267992.3,1645.2,385.7,150.9,9.5,6521.5,7.1,53.5,2.3,1.6,0.6,3.9,1.2,1,4.8,11.5,0.3,2.5,105.3,2.8,1.2,3819.6,4004.5,14.7,89.1,1.1,3.3,0.4,652.6,52.4,4.3,7.6,8.1,27.2,1340.8,784.8,3928.3,408.7,30.6,811.6,35.5,0,212181,516.7,0.5,136.6,228.2,1528.2,428.5,63033.7,-46784.8
"TTL_02",87.6,5009.4,0.1,27.1,0.4,0.1,0.1,0.1,336.9,22.9,5136.4,1903.8,6.7,138.7,0.2,574.5,0.6,0.1,0.3,0.5,0.1,0.3,0.5,1.5,0,0.2,79.5,0.4,0.1,170.3,8.2,1,0.1,0.1,0.2,0.1,2.9,0.2,0.5,0.7,0.4,7.9,7.7,2.2,222,11.8,1,0.7,0.4,0,14754.1,149.7,0.1,48.7,4.3,17.6,0,1235,-3526.8
"TTL_03",19,0,150.2,0,0.4,0,0,0,6031.5,0.1,0.1,0.3,0.7,9.1,0.2,0.4,0.1,0.1,0,0.2,0.1,0.1,0.2,0.3,0.2,0.2,0.1,0.1,0,0.8,578.3,0.2,8.4,0.1,0.5,0.1,5854.1,0.1,0.1,0.2,0.1,0.2,139.6,0.3,330.9,80.2,54.9,199.6,112.4,0,7013.6,43.6,0,4.8,7.2,91,10.5,2316.5,-16542.6
"TTL_05",547.1,1.7,0,923.8,314.3,28,37.3,9.7,490.7,28.3,4,333.4,767.3,127,1.4,50.4,440.6,1535.8,232.5,6.7,1.5,3,7,15.8,0.2,3,3.3,8445.3,1.7,44.7,49.3,13.7,0.2,1.3,11.3,2.8,390.8,0.6,11.2,1.7,20.7,728.9,93.9,4.7,5757,261.2,36.3,11.7,20.3,0,19.2,0.7,0,5859.6,-6.6,3.8,0,13317.3,-515.6
"TTL_06",1161.2,64.4,21.8,417.5,111216.6,387.8,453.5,293.2,453.5,19.6,103.8,279.2,479458.2,4548.1,15.2,149.2,1081.8,197.1,82.7,118.2,27.6,203.4,158.8,110.5,3.5,27.2,94.7,54536.4,186.2,5730,1717.7,3624.5,297.8,2384.2,715.8,1011.2,832.4,77.3,69.2,177.8,891.8,1158.9,508.9,1013.7,27820.8,4246.6,617.7,192,238.6,0,16109.6,3.7,0.4,23828.7,-68.3,27.8,116.9,168510.2,-203684.4
"TTL_07",5.5,0,0,2.7,52.3,4237.4,37.5,60.6,14.1,0.8,1.3,4.4,40.1,1799.8,1,5.4,113.9,8664.5,6053.8,605.1,10,122.6,146.6,88.9,3.2,21.9,144.6,15.4,67.5,549.6,64.8,6.9,0.2,0.7,4.7,1.3,123.5,117.4,86.1,841.8,16,259.1,670.1,465.7,140.1,260.7,44.8,689.6,574.1,0,16.3,0.4,0.1,2086.9,-8,11.6,0,9529.1,-4407.2
"TTL_08",1761.5,0.2,0,304.3,456.6,26.2,993.9,33,353.2,36.3,12.4,296.7,253.9,1843.4,17.9,270.3,8654.2,724.3,19.2,61.9,14.1,39.8,45.4,80.2,13.5,79.3,43,415.9,250.4,26587.8,83.7,156.2,0.9,2.1,25.5,4,35.4,6.8,97.9,14.5,27.5,1392,548.3,55.8,2282.1,84.4,88.8,8,44,0,832.3,1.3,0.1,7628.6,1.7,11.5,1.3,2187.4,-6403.7
"TTL_09",51.6,0.4,0.2,416,8302.8,348.6,441.1,280.1,70.3,3.7,9.9,27.1,3686.6,47.6,4.6,23.3,270.8,23.3,13.8,76.5,13.5,21,52.6,151.5,3.7,23.2,19.4,557.2,11.3,1841.2,160.3,48.3,2.2,6.9,32.8,10.4,56,7.9,44.3,14.9,62.4,2072.9,99.9,27.6,1105.6,128.4,30.2,10.5,48.4,0,318,2.4,0.2,44813.3,9.4,7,0.7,1833.1,-4107.4
"TTL_10T12",24983.9,25.9,92.5,7,98,7,6.5,4,98695,421.7,58,1180.2,329.4,1867.6,591.6,408.6,186.5,44.6,17,99.3,41.5,35.4,92.5,184,6.1,50,71.4,43.9,14,368,4884.2,59.2,180.6,335.5,22.6,11.7,42728.1,72.2,33.9,116.3,36.2,107.1,2671.1,122,18479.6,10549.8,10050.9,2831.9,963.8,0,958923.5,974.7,3.7,1061.3,449,4763,2659.9,60552.5,-128533.4
"TTL_13T15",363.3,0.7,1.5,7.8,93.4,6.7,5.6,3.6,195.4,4430.4,237.8,1693.6,96.3,731.5,34.8,1273.3,221.3,25.1,8.3,145.1,24,26.1,497.6,3880.1,33.7,214.5,1726.5,25.3,139.1,1197.2,5804.6,16.9,20.2,4.7,19.4,171.3,1330.4,95.1,22.7,25.5,11,170.6,277.8,360.9,2642,411.4,2574.1,741.9,613.5,0,191042.9,57.4,2.4,4425.4,607.1,1833.9,365.7,13928.2,-172593.4
"TTL_16",506,14,53.7,3.1,28.7,154.4,177.9,98.5,824.9,65.9,36259.3,6922.8,27,387.9,21,1802.4,341.1,86.8,1073.8,1080.4,91.2,829.8,777.8,3850.6,122.9,250.1,8243.8,25.5,30.1,60691.3,8932.9,2627.1,2.9,11.9,310.3,64.9,2716.2,268.3,981.4,1786.2,80.9,8179.6,854.5,960.2,1091.5,2958.3,1417.6,185.5,490.7,0,13198.4,1.2,13.4,23839.2,1989.3,186.3,139.6,5875.8,-31282
"TTL_17T18",559.5,5.6,0.5,42.1,245.6,79.2,42.4,21.4,31793.5,607.9,693.9,37916.4,209.3,4915.9,362.3,4554.5,1470.1,1119.3,931.6,2304.3,443.8,1193.9,2215.6,4055.8,48.4,641.3,2489.4,89.1,309,5929.6,32194.8,1933.5,52.8,57.1,3102,826.6,9284.5,10528.5,1066.6,6223.7,5366.6,1954,12926.5,6894.8,9721,11949.9,8919.4,1306.4,3254.6,0,62733.5,6.3,9.4,1523.9,120.1,613.7,543.6,24718.8,-31475.2
"TTL_19",17547.3,869,291,1648.5,14848.5,1892.4,1845.6,1265,6039.9,697,1452.1,4571,22756.7,22591.2,335.5,5241.5,12351.1,2575.8,655.4,1911.8,453.6,2846.8,1942.6,1636.7,48.3,330.1,1511.3,49945.5,2459.2,61949.2,21892.3,48939.7,4014.6,32099.1,9696.7,13700.9,9220.9,979.1,833.2,2354.8,11967.8,13518.3,6048.4,14089.1,100306.9,57696.8,8632.3,2418.1,3335.5,0,225435,40,2.6,1288.2,548.4,960.8,1543.4,129496.1,-84469.9
"TTL_20",39533.1,28.4,7.9,1021.8,12596.5,896.2,758.2,458.1,10819.3,8206.4,2090.9,16977.5,11694.8,111103.3,4653.3,61112.7,5357.6,2015.7,522.7,8293.3,2359.7,2657,4017.7,10942.8,293.7,1323.9,6178.7,3314,1429.7,21345.7,6905.5,1413.1,94.8,708.3,2174.7,388.5,2731.6,876.8,801.7,1709,632.1,14410.4,11444.9,10866.4,30430.3,8723.5,13183.9,953.5,4816.4,0,178056.8,105.6,7.4,6307.6,620.1,390.2,607.2,118825.7,-132447.9
"TTL_21",3087.4,7.6,1.4,48,622.9,44.9,38.2,29.1,2552.2,358.8,339.5,824.8,592,5411.4,39854.4,2593.5,299.6,192.4,71.2,539.7,199.6,188.7,405.1,800.2,28.9,200.6,372.6,319.8,88.4,2207.7,2899.9,131,10,57.7,127.4,37.2,260.2,169.6,172.1,218.4,114.6,672.3,11396,673,5446.9,513.4,28372.5,635.3,274.5,0,306304,231.8,8.3,36062.9,493.8,300.2,296.8,59940.4,-157651.1
"TTL_22",2149.8,13.2,1.2,304.6,266.4,292.4,177.3,208.9,23693.1,641.2,854.5,4314.5,452.9,9555.4,555.4,18234.1,1350.4,1396.9,601.4,3891.9,1281.5,1957.3,6675.6,33121.1,221.7,3056.6,7556.4,59.1,340.5,45879.7,35192.6,531.2,4.6,38.8,753.2,1922.4,9119.3,1702.1,3160,1517,842,1798.4,6585.5,3721.1,11446,3094.6,12930.1,310.4,1268.5,0,77286.1,3.2,15.5,5576.4,494.3,57.3,20.2,26024.9,-70862.9
"TTL_23",143.7,19.6,0.4,225.3,2445.8,234.5,243.4,262.7,6377.8,172.7,891.7,374.9,72.9,1510.7,123,1873.3,16487.8,2400.5,186.3,1395.6,480.9,1756,1696.2,10807.2,95.8,404.3,940.7,130.1,339.2,103813.5,2562.4,106.1,4.2,29.9,258.6,41.1,3600.8,199.4,2234.5,1165.4,108.8,1559.9,3957.2,1481.4,5647.6,526,4226.8,107.9,1730.4,0,27440.2,1,2.4,1163.7,88.4,43.6,2.3,9390,-33531.3
"TTL_24A",214.7,3.4,1.1,38.8,19539.9,316.6,230.9,173.7,104.3,201.9,420.3,151.6,83.9,1085,4.4,1659.7,1496.3,42187.6,706.5,69269.8,932.2,5928.9,37225.2,30853.2,860.8,4876.7,5919,179.8,614.7,12417.3,1545.6,1122,15.6,114,517.4,53.8,144.3,1360.9,193.3,304.8,47.9,3432.6,1265,1029.5,599.8,362,444,214.2,170.2,0,1173.7,0.5,0.5,941.7,25.1,6.2,5.9,12448.8,-66772.1
"TTL_24B",109.8,0.5,0.2,4.7,145.3,6.9,4.4,4.3,4016.2,22.9,240.5,762,32.1,348.9,13.9,430.6,98.6,9192.6,54098.2,16476.9,2587.9,8811.1,6622,12223.5,402.7,4386.9,3181.2,189.8,112.2,2923.1,1428.5,20.2,3.5,4.5,19.6,7.3,221,892,432.1,468.5,7.7,142.3,854.8,130.7,1334.8,51,253.6,40.7,103.1,0,3037,0.9,14.9,2007.3,38.6,10.9,2,52201.1,-29432.6
"TTL_25",2236,20.2,24,306.2,4164.7,424.2,126.6,226.4,16382.6,797.7,2868.9,5826.6,463.1,6295.4,144.8,5841,2880.1,5331.8,4818.9,33532.9,4675.9,8660.3,21592.2,68475.4,1485.5,8629.4,6555,240.9,1841.7,90827.1,9312.5,1613.1,574.5,164.3,899.7,569.6,5892.3,1200.5,4489.7,3141.1,351.1,3885.2,5999.1,3649.5,10483.4,1222.2,2849.9,497.4,1366.1,0,67187.1,5,7.1,60073.4,4805.7,73.8,8.9,28909,-71382.7
"TTL_26",615.2,8.3,3,24.2,443.3,29.5,26,48.9,2907.4,623.6,1649,2793.4,403.8,4129.5,184.4,2415.5,1200.7,1296.8,1496,4447,24299.4,4840.4,7719.4,21138.5,1470.8,8394.1,3230.1,393.4,457,8090,17486,399.8,15,69.4,388.7,50.4,792.5,4535.5,13672.3,9805,1678.1,1300.8,16840.1,3639.1,21836.5,1871.5,7844.7,275.3,3065.7,0,151414.2,228.3,43,326903.2,24359.3,326.6,323.8,97284.8,-321676.1
"TTL_27",3038.8,2.7,0.4,17.7,272,42.7,15.4,142.5,792.4,49.6,1453.9,417.7,56.5,556.7,42.3,917.9,162.4,1068.3,774.4,1511.6,1173.3,6539.4,8728.3,5340.2,116.9,963.9,1330,45.1,446.6,26949.4,2659.4,209.8,11.3,12.8,102.9,12,1000.5,66.6,3160.7,1018.7,97.6,943.9,2840.9,1213.6,3827.4,691,988.4,191.9,2486.8,0,84757.4,3.9,3.7,71054,6031.2,178.4,151.6,25057.3,-114899.8
"TTL_28",3170.9,27.7,1.5,804,11683.7,1256.9,782.6,895.9,4615.6,77.6,581.8,1968.6,178.8,2821.6,113.9,1858.7,354.8,709.6,626.4,2901.1,584.2,1215.9,27096.3,23923.5,529.3,3121.8,3495.5,762.7,2445.6,40126.8,4901.4,308.9,19.6,46.2,2711.6,91.8,1525.1,672.8,1848.5,1941.7,575.2,787.8,2575.7,2978.3,3916.9,3511.5,1313.7,160.6,953.2,0,29994.7,39.7,7.7,305591,25666.8,74.8,21.1,99093.6,-183247.7
"TTL_29",620.9,11.5,13.9,98.6,1009.5,131.2,122.3,76.3,1991.2,54.9,532.8,915.3,43.6,768.4,23.7,451,488.5,481.2,191.4,905.1,364.4,337.3,8630.8,125398.5,210.4,2796.1,728.8,42.9,686,2900,25268.9,2051.2,14.1,5.2,1714.6,325.9,954.9,566.4,301.1,326.4,164.4,173.9,2684.8,4872.2,4221.8,1428.3,1748.2,220,625.5,0,311646.3,9.1,1.2,415166.4,35254.7,267.1,324.4,87840.8,-315669.3
"TTL_301",4,0.1,14.8,0.6,6.3,0.5,0.6,0.4,13.1,0.5,2.9,3.5,15.4,6.1,0.7,7.2,1.6,2.6,1.3,13.5,1.7,2.8,18.5,41.1,4125.5,2742,46.7,6.3,3.7,36.8,26.9,46.4,289.2,36.5,78.9,40.5,7.1,1.5,4.1,2.4,3.9,101.9,68.2,5.8,3621.1,8.3,7.5,0.8,40.1,0,11448.4,0.1,0.1,24838.5,2064.2,0.8,0.1,1970.7,-3565.4
"TTL_302T309",71.1,1,37.3,12.1,88,6.3,4.7,5.6,146.5,8.9,43.1,48.8,121,89.1,15.2,62.1,24.2,34.9,22.8,155.8,44.3,58.1,345.4,1438.7,655,47041.2,328.6,59.6,89,474.5,485.9,884.2,710.9,420,724.6,608.2,56.6,37.4,71.7,87,44,151.4,850.9,243.2,33499.8,63.5,112.5,10.9,403,0,37513.2,24.5,1.3,129979,10310.9,4.4,7,106601.5,-69716.5
"TTL_31T33",420.2,220.3,33.4,19.9,275.8,25.4,23.8,22.7,1647.2,308.5,534.8,921.9,598.3,1484.1,207.2,1050.1,507,646.2,573.5,1135.1,1169.3,731.5,2546,2804.4,70.2,552.9,6263.6,171.6,813.9,17674.9,20064.2,1021.3,23.9,103,817.1,115.1,5402.1,493.9,940,2239.2,2270.3,4535.2,5653.6,5396.7,12676.2,1772.4,24752.9,690.5,1552.6,0,196089.3,41.5,1571.4,85035.2,6988.2,1397.1,483.2,50241.4,-165878.3
"TTL_35",3879.2,105.3,22.2,544.6,7323.9,1212.6,949.7,36.3,9239.8,981.9,1433.9,5704.1,7170.9,10604.6,274,4894.8,3683.2,5055.8,3227,4010.5,950.6,740.2,2002.7,3093.1,91.6,684.7,1324.3,26856.2,649.9,7109.6,78314.5,3154.3,109.8,78.6,13673.1,378.9,40779.5,1232.5,2427,3362.5,4194.8,143020.9,15120,5156.6,12420.6,14870.1,12216.3,2413.5,2704.4,0,217240.7,48.8,1.6,728.1,23.5,90.7,17.3,8469.9,-7866.4
"TTL_36T39",276.5,3.6,0.8,33.2,1405.8,19.4,61.3,40.4,1161,79.2,82.4,290.6,625.3,1081.5,28.7,252.2,217.9,274,122.5,286.3,66.3,55.9,188.4,198.1,14.3,97.8,184.9,3082.8,5991.9,2130.8,7265.5,1082.5,25.9,27.6,995.3,240.8,4173.1,269.5,263.5,276.5,1698,8790.9,2615.9,2388.1,12442.4,2739.7,5595.5,899.1,1311.6,0,60622,272.8,22028.3,636.4,4.7,32.9,1.5,98.3,-899.7
"TTL_41T43",2850.8,14.9,6.3,366.7,2609.8,392.1,974.7,433.8,1603.2,110.2,212.6,1026.4,10562.3,1356.9,69.7,639,540.1,615.7,293.6,748.5,160,155.2,534.4,748.5,24.3,159.9,334.5,10677.3,173.7,675.7,12494.6,4452.9,67.3,399.3,3405.5,888.2,4329,154.1,3605.8,500.7,6785.8,239919,1926.1,1283.2,121201.4,13674.6,1644.1,976.8,5073.9,0,477.8,231.2,1,1704153.2,19.8,506.9,0,4.7,-2879.8
"TTL_45T47",84753.2,2709.6,342.1,2017.8,30878.6,2402.9,2239.1,1719.5,203774.5,8943.3,19830.4,35064.1,36209.6,74438.4,36770.1,45164.7,20276.3,23270,10517.3,44640.2,17750.9,16569.4,52056.8,134087.6,2911.2,25171.5,26591,23964.3,7342.4,200867,239099.5,46628,2290.6,14925.2,14603.5,8186.8,64602.5,33062.4,22729,23625.3,20554.4,33838.8,64456.1,56618.7,124570.6,56550.7,93771.7,7993.8,12989.7,0,2003506.5,2355.1,2369.8,722719.9,6226.4,7950.5,7490.1,392866.4,-396492.1
"TTL_49",8657.6,370.3,43.4,290.1,9873.6,532.2,353.5,382.8,21819.5,1011.5,5811,5637.7,23048.1,6909.9,1409.1,5568.7,4530.1,5794.2,2209.5,10533.1,2970.3,2463.7,7943.4,14473.7,382.6,4194.4,4980,8643.4,1508.7,38064.1,70797.3,32493.3,473.3,4460.9,13484.4,3580.2,8680.1,7995.2,7005.8,10857.9,10326.6,14781.7,29239.6,17818,28203.3,51378.5,22570.8,9945.3,3902.9,0,189089,249,881.7,69096.1,708.1,11151.1,9103.5,45888,-66978.1
"TTL_50",397.4,15.8,3.4,14.3,2287,25.4,220.7,173.2,1025.9,54.9,237,241.6,3803.2,395.9,159.1,277.4,187.1,237.1,102.2,424.6,165.3,139.5,427.2,880.1,22.1,241.8,217.2,231.3,42.2,1826.4,3005.8,256.2,8970.1,125.1,5435.7,1319.2,320.8,235.1,188,127.9,45.3,179.7,1487.1,883.4,7251.9,459,572.4,42.9,93.3,0,21632,12.7,31.5,5638.6,129.9,2547,1789.2,6927.2,-18158.3
"TTL_51",799.4,628.3,5.3,28,591.3,32.7,43.2,125.3,2983.5,164.3,1254.8,1207.5,1735.2,1081.3,286.4,1093.5,611.4,518.5,252.7,1231.1,386.1,285.4,1146.5,1991.5,57.6,535.5,940.8,1551.2,880.2,3665.7,13630.7,2434.4,416.7,616.6,2219.2,754.6,2945.3,2516.4,2267.2,7066.3,6682.2,12317,10394.4,11968.9,10460.3,2292.1,6186.6,1004.9,1471.8,0,119055.5,35.2,44.6,11974.6,56.8,8164.9,4651.7,26159,-41307.6
"TTL_52",1842.8,72.8,114.8,78.5,1532.9,121.8,1341.1,42.5,8773.1,1947.4,6000.2,6793.5,8403.6,3614.7,402.1,7000.5,4119.4,1169.8,630.7,3145,3023.2,517.9,1985.7,2913.2,79.7,845.7,1925.8,10292.7,1974.3,6950.1,131855,26332.3,2944.5,18493.9,30060.7,9982.9,3957.8,4060.4,1533.9,5153.6,905.4,857.3,17274,6310.7,9886.3,2383.7,6020.7,1505.6,1822.6,0,51142.6,209.4,88.4,13628.8,162.9,700.7,239.2,9145.2,-15916.5
"TTL_53",18.3,0.2,0.1,0.5,7.8,3.3,1,0.3,14.6,2.2,4.2,74.5,83.1,42.9,2.5,5.8,3.4,6.5,10,37.1,5.8,131.9,262.9,9.4,0.5,4.3,152.8,209.1,363.8,27.8,64517.6,51493.1,2155.7,21.1,2921.9,2712.9,4750.6,3102.4,323.7,5729.6,4621.5,373.4,6239.9,5033.8,1784.4,718.9,5956.5,539.2,2515.8,0,22787.1,0.7,0.4,78.7,95.1,259.2,161.5,17533,-1614.7
