"","D01","D02","D03","D05","D06","D07","D08","D09","D10T12","D13T15","D16","D17T18","D19","D20","D21","D22","D23","D24A","D24B","D25","D26","D27","D28","D29","D301","D302T309","D31T33","D35","D36T39","D41T43","D45T47","D49","D50","D51","D52","D53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T75","D77T82","D84","D85","D86T88","D90T93","D94T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_01",61055.3,741.7,21.4,7,0.9,13.3,13.5,10.7,178058.1,1460.9,604.6,222.5,3.7,4720.3,63,64.4,1.7,0.9,0.7,2.7,0.9,0.7,3.8,11.6,0.3,2.5,228.5,2.1,0.9,1835.4,2124,21.5,46.2,0.9,2.6,0.4,433.1,52.1,3.4,4,6.2,21.4,451,694.6,2026.5,218.9,15.9,362.6,35.8,0,147799.6,397.5,0.5,144.6,220.2,1224.8,580.1,42428.2,-31124.2
"TTL_02",17.8,3304.9,0,17.4,0.2,0.1,0.1,0.1,155.6,16.8,4558.1,1643.8,6.5,137.4,0.2,456.5,0.7,0.1,0.3,0.7,0.2,0.2,0.7,1.7,0.1,0.3,67.5,0.8,0.1,173.6,4,1.1,0,0.1,0.4,0.1,2.2,0.2,0.5,0.6,0.7,10.8,3.3,1.4,218.7,9.7,1.2,0.3,0.6,0,10848.3,127.4,0.1,79.9,3.8,10,0,1451,-1739.8
"TTL_03",26.3,0,69.1,0,0.1,0,0,0,5321.3,0.2,0.1,0.2,0.5,10,0.2,0.3,0.1,0.1,0.1,0.1,0.1,0,0.1,0.2,0.1,0.1,0.1,0.2,0,0.5,262,0.2,1.9,0.1,0.1,0.1,2398.5,0.1,0.1,0.1,0.1,0.1,44.4,0.2,206.3,41.7,33.7,67.3,59.9,0,4357.3,34.9,0,21.6,15.4,79.6,13.8,3415.2,-10911.8
"TTL_05",644.3,1.8,0,1197.4,263,39,61.4,28.3,1085.4,68.1,10.8,886.7,773.6,335.1,8.1,94.8,839.6,1872,326.3,11.8,2.9,6.4,12.1,21.7,0.4,7.7,6.7,8012.6,4.3,60,31.1,11.2,0.3,1.2,11.5,2.3,255.8,0.5,7.4,0.8,15.3,414.2,88.3,3.7,5606.8,190.9,66.9,7.5,23,0,33.8,0.5,0,4358.7,-0.7,4.6,0,3466.8,-583.4
"TTL_06",294.2,13,3.3,185.9,15608.3,220.6,318.2,399.7,164.2,8.3,41.1,87.1,241766,1846.6,10.3,41.3,329.9,57.2,26.2,44.5,9.9,48.4,53.1,28,1.3,12.4,35.7,25388.7,45.6,1893.8,235.3,1129.8,123.2,997.6,102.1,199.5,97.1,27.3,16.1,26.4,213.6,270.4,123.9,158.3,13867.9,598.8,188.4,32.9,71.3,0,4514.7,1.4,0.2,17045.4,-27.7,21,73.8,21835.2,-125801.6
"TTL_07",7.8,0.1,0,1.5,18.4,3569.8,35.7,75.9,13.6,1.2,1.3,5,30.3,1434.7,1.3,6,74.9,4707.4,3767.5,355.4,10,72.9,87.8,57.6,2.5,20.3,127.1,21,46.9,474.8,28.4,6.6,0.2,0.7,5.4,1.4,54.9,43.8,68.2,216.7,10.2,228.7,242.7,272,142.9,159.4,25.7,563,651.2,0,19.6,0.3,0,2360,-0.2,12.9,0,7458.6,-2690.3
"TTL_08",1490.9,0.3,0,262.5,228.7,20.2,986,49.4,200.4,23.7,9.3,354.2,164.2,1702.2,18,121.8,7464.2,618.7,18,34.1,10.1,18.9,29.7,40.8,20.8,131.5,37.4,760,405,16078.9,43.6,100.1,0.8,2.2,17.8,3.6,20,3.7,57.5,4.8,21.5,592.1,328,20.3,1501.8,48.3,42.7,4.2,26.9,0,615,0.9,0.1,5458.1,-0.1,8.6,2.6,1602.4,-2870.7
"TTL_09",33.9,0.4,0.1,307.5,8468.9,383.5,555.3,717.9,57.2,3.7,8.6,23.6,4032.5,39.1,4.5,18.8,317.1,14.2,11.5,71.8,13.5,16.7,44,134.5,2.9,21.8,18,721.1,10.6,2024.4,79.8,34.4,3.5,6.5,24.5,8,33.8,5.2,26.6,7.6,41.1,1023.8,56,16.2,663.1,70.9,23.8,6.5,34.5,0,184.4,1.6,0.2,40017.7,3.3,7.5,0.7,2979.4,-1555.6
"TTL_10T12",20649.7,42.3,69.3,5.8,31,7.4,6.6,7.7,95001.3,607.9,53.2,967.4,270.8,1689.3,475.9,367.5,154.7,28.2,16.9,93.9,36.2,33.2,79.1,126.5,4.6,46.2,77.6,31.7,11.8,258.3,3164.9,34.6,160.9,107.2,14.6,7.3,26548.3,46.7,23.8,41.4,24.1,104.9,2194.5,73.3,18208.2,8118.6,7294.7,1982,931.1,0,756631.7,813.1,2.8,999.4,233,4094.1,3589.5,46393.9,-76847
"TTL_13T15",441,0.7,5.4,6.5,31.5,7.7,6.1,7.3,237.6,5499.8,286.7,1783.4,88,875.7,59.9,1231.1,231.3,18.6,9.3,167.9,28.8,28.8,447,2699.6,53,431.8,1781.9,23.7,91,1324.9,3193.8,16.3,74.9,4.7,20.2,30.5,822.6,56,258.3,16.9,10.1,181.6,189.8,285.1,1776.7,433.8,1556.3,151.4,921.9,0,148905.5,51.1,2.3,6061.9,327.7,2240.1,686.9,16596.1,-131214.5
