"","D01","D02","D03","D05","D06","D07","D08","D09","D10T12","D13T15","D16","D17T18","D19","D20","D21","D22","D23","D24A","D24B","D25","D26","D27","D28","D29","D301","D302T309","D31T33","D35","D36T39","D41T43","D45T47","D49","D50","D51","D52","D53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T75","D77T82","D84","D85","D86T88","D90T93","D94T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_01",81322.7,743.6,31.8,7.3,2.7,20.9,15.9,13,219699,1417.1,322.2,130.8,3.5,5460.3,6.5,45.9,2.3,1.2,0.5,3.5,1.2,0.9,4.4,11.5,0.2,1.7,82.9,1.7,1,3035,3044.5,10.3,39,0.7,2.7,0.3,453.4,37.7,3.7,6,6.7,22.2,1032.1,596.2,3380.2,253.3,27.2,582.9,25.1,0,192390.4,413,0.4,109.1,88.6,750.3,215.1,52941.7,-38578.3
"TTL_02",67.7,4175.5,0.1,17.9,0.3,0.1,0.1,0.1,276.9,18.7,4119.1,1566.1,4.6,115.8,0.2,462.4,0.5,0.1,0.3,0.5,0.1,0.3,0.4,1.4,0,0.2,61,0.3,0,135.9,6.7,0.8,0,0.1,0.2,0.1,2.2,0.2,0.4,0.6,0.4,6.9,6.1,1.8,190.6,7.3,0.9,0.5,0.3,0,13047.5,124.2,0.1,42.7,0.8,8.7,0,1239.6,-2350.9
"TTL_03",15.7,0,149,0,0.3,0,0,0,5308.3,0.2,0.1,0.3,0.6,8.3,0.2,0.4,0.1,0.1,0,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0,0.8,487.7,0.2,4,0.1,0.4,0.1,4465.8,0.1,0.1,0.2,0.1,0.2,114.4,0.3,303.8,53.1,45.6,152.8,83,0,6712.6,39.2,0,4.1,5.6,45.1,6,3411.6,-14846.2
"TTL_05",444.3,1.5,0,647.5,224.7,25.5,33.2,12.5,415.2,25.4,3.3,290.1,551,113.7,1.3,42.6,399,1161.6,179.8,5.5,1.3,2.6,5.4,13.4,0.2,1.9,2.6,6927.5,1.7,85.9,34.5,8.9,0.1,0.8,8.2,2.2,294,0.4,7.9,1.1,14.5,506.5,77.3,3.3,5169,166.2,29,8.3,13.4,0,16.8,0.5,0,4203.2,-8,1.9,0,7592.7,-408.7
"TTL_06",695.3,41.9,15.6,266.9,69412.5,301,336,305.7,278.6,13.4,65.3,175.3,333426.4,3712.1,9.8,96,727.6,111.2,53.7,75.3,17.5,129.2,95.7,72.1,1.8,12.8,56.8,43235.5,112.4,3751.9,979.6,1979.2,101.5,1194.4,441.9,686.2,464.5,41.6,41.3,100.5,539.3,676.9,328,595.5,23333.6,2043.5,377.1,107,130.9,0,13000.6,2.5,0.3,17446.5,-153.6,12.7,56.2,102975.6,-149558
"TTL_07",7.6,0,0,2.9,50.1,4195.7,35.8,54.3,18.4,1.3,1.6,6,37.3,1811.4,1.5,8.5,118.5,7458.6,5378.6,605.6,13.4,129.4,139.9,100.8,2.9,19.2,135.7,15.4,62.1,541.2,63.8,6.2,0.1,0.6,4.7,1.4,97.7,97,80.1,731.5,16.5,232.3,628.7,425.7,144.6,193.2,45.6,581.2,476.5,0,24.3,0.4,0.2,1901.5,-16.8,6,0,9304,-4192.1
"TTL_08",1460.5,0.2,0,222.2,390.5,29.1,835.6,44.3,307,35,11.1,264.9,223.6,1680.4,18.1,246.4,7691.5,559.6,16,55.6,13,35.5,37.6,72.8,9.5,50.7,36.6,354.4,209.3,22687.1,67,117,0.5,1.3,21.7,3.6,26.7,5.3,80.7,11.7,22.4,1125.7,461.6,47.3,2100.1,56,76.5,6.1,35.1,0,775.3,1,0.1,6455.5,-1.9,5.7,0.8,1906.2,-5250.4
"TTL_09",34.5,0.3,0.1,346.7,6314,359.6,425.3,383.7,49.9,2.8,7.2,19.8,3010.2,34.6,2.9,16.8,254.8,15,9.4,56.7,9.9,15.4,35.9,111.5,2.2,12.5,13.5,533.7,8.8,1702.2,108.6,30.3,0.9,3.9,23.4,8,34.8,5.6,30.9,10.2,43.9,1432.6,85.4,19.1,852.9,71.3,21.7,6.5,30.3,0,225.2,1.6,0.2,37411.5,1.3,3.3,0.3,1781.6,-3223.7
"TTL_10T12",23428.7,26.1,103.7,5,64.2,6.2,5.4,4.6,97643,488.5,54,1140.8,251.9,1859.4,631.1,376.1,182.2,38.7,15.6,94.7,34.6,30.7,76.8,154.3,4.5,32.9,61.5,31.7,11.6,316.2,4513.5,44.9,97.5,293.8,19.2,9.1,37687,60.8,27.3,99.7,31.6,91.5,2428.6,100.7,18484.1,7903.8,9790.9,2582.2,824.6,0,901281.6,866.6,3.8,829.5,117.5,2260.6,1344.1,53453.8,-104699.4
"TTL_13T15",330.8,0.7,1.8,6.8,72.4,7.1,5.6,5,184.1,4578.2,257.8,1840.4,74.5,817.6,37.5,1389.2,245.9,23.5,8.1,157,23.9,26.8,505.2,2993.5,29.5,171,1710.6,22.2,118.2,1263.3,5658.4,12.9,11.9,2.7,19.5,105.9,1044.7,87.8,19.7,22.8,9.8,171.7,275.6,323.1,2528.8,301.5,2530.6,463.7,436,0,167929.9,50.1,2.4,4287.6,126.6,892.2,220.3,15586.7,-150463.8
"TTL_16",476.7,7.6,61.2,2.3,19.8,156,169.3,132.2,641.9,70,36097.2,7042.8,16.9,396.2,17.9,1791.8,346.2,78,972.6,1081.2,91.6,834.8,723.7,3871.8,98.3,183.3,7798.9,19,28.1,59321.4,8235.8,2263.6,1.4,6.9,301.5,67.9,2174.7,227.7,928.2,1591.6,76.3,7624.8,805.2,887.3,1147.8,2248.6,1381.8,162.4,417,0,12527.1,1,13.3,22060.4,379.7,89.8,72.8,5239.2,-30092
"TTL_17T18",529.1,4.7,0.4,34.4,179.6,80.4,40.4,28.6,30183.4,657.7,690,38510.8,159.6,5104.3,399.9,4567.3,1507.9,997.7,850.4,2315,450.7,1208.4,2070.1,4099.2,38.9,471.2,2372.6,77.9,291.4,5817.6,30011.2,1679.6,28.2,42.7,3047.4,892.9,7432.7,8770.8,1008.9,5598.7,5143.9,1806.3,12447.2,6335.3,10374,9201.4,8672.1,1110.7,2889.5,0,58757,5.3,8.5,1332.5,21.4,280.8,284.9,21473.9,-24956.8
"TTL_19",10960.8,579.6,214.9,877.7,7264.6,1244.6,1143.2,1104.5,3867.4,527.1,943.9,3023,12547,15764.7,262.9,3724.3,8180.1,1485.7,388.1,1284.6,312.4,1869.1,1197.9,1137.1,26.6,162.8,956.3,31118.9,1508.2,39355.2,12643.7,27359.7,1403.3,16512.3,6132.2,9524.9,5054.4,533.7,515.2,1369.3,7417,8222.3,3868.1,8531.4,68956,28472,5414.3,1351.9,1901,0,186202,30.5,2.2,893.6,74.3,396.4,772,84374.1,-58196.3
"TTL_20",34296.9,24.2,7.2,763,8576.9,826.9,656.7,560.2,8769.2,7944.5,1893.5,15457.8,8828.8,105379.1,4669.4,55814.2,4955.2,1627.2,434.3,7580.3,2197.4,2438.6,3400.3,10025.7,214.6,879,5337.8,2796.6,1230.2,18837.7,5547.5,1011,41.7,457.2,1920.6,342,2242.5,667.2,682.5,1387.7,525.7,12303.4,10028.8,9267.8,29263.4,5984.2,11325.4,766.8,4105.6,0,168099.4,92,6.5,5255.8,65.8,188.7,333.4,102768.2,-109623.1
"TTL_21",2499.4,7.3,1.1,34.4,409.6,40.2,31.9,32.1,2155.2,333.3,288.6,739.1,411.4,4883.8,36190.2,2292.3,271.2,165.9,66.9,507.7,168.4,168.7,342.7,718.9,22,138.3,320.2,257.4,73.5,1894.8,2289.1,88.5,4.5,34,109.3,30.9,209.6,155,143.9,173.6,95.8,562.5,8788.8,556.7,4786.3,345.2,21559.3,432.6,221.3,0,281455.1,194.5,9.3,30248.8,119,153.3,162.1,60792.2,-148459.1
"TTL_22",1947.2,12.9,0.7,238.6,187.4,283.3,161.8,268.8,22576.4,679.9,811.2,4159.4,350.2,9442.9,593.1,17465.2,1317,1183.9,522.8,3718.3,1247.3,1884.5,5937.5,31872.1,170.8,2137.4,6836.8,49,305.4,42970.7,30251,433,2.3,27.5,702.6,1977.4,7720.2,1371.8,2862.2,1292.8,767.7,1612.1,6018.9,3292.3,11603.7,2255.2,11781.3,256.5,1050.6,0,72338.4,2.6,14.5,4897,85.7,25.9,9.7,24030,-69884
"TTL_23",128.9,18.8,0.4,174.1,1710.9,223,220.2,332.2,5337.2,170.6,832.1,357.7,47.6,1467.1,127.1,1754.7,15920.7,1999.4,158.8,1307,452.4,1660.8,1478.5,10219.9,71.7,275.8,832.9,107,300,95683.4,2205.5,75.3,1.6,16.6,234.9,37.5,2987.4,158.4,1986.9,975,94.7,1374.7,3527.5,1292.6,5603.6,365.6,3760.8,88.8,1505.4,0,25538.3,0.8,2,899.2,9.6,21.2,1.1,8167.4,-28064.4
"TTL_24A",181.4,3.1,1.1,28.5,13110.3,288.5,198.4,210.3,90.3,191.1,375.5,134.9,61.9,1004.2,3,1486.6,1374.1,33642.7,582.2,62235.3,857.4,5378.7,31167.5,27946.6,619.6,3208.8,5042.1,156,519.8,10938.8,1248.2,873.4,7.6,81.9,454.3,51.9,107.2,1037.9,164.5,244.6,41.1,2879.5,1102,862.8,570.4,248.1,396.4,169.1,130.4,0,1220.6,0.4,0.5,789.6,-11.7,3.2,4.1,10104.8,-54392.3
"TTL_24B",100.2,0.5,0.2,3.6,103.2,6.6,4,5.3,3860.9,23.5,233.9,763.1,24.3,353.7,12.8,421.5,97.6,8026.4,48422.6,16215.9,2608.6,8759.3,6067.3,12114.8,317.1,3147,2974.6,178.3,103.4,2797.1,1331.1,15,1.5,2.7,18.2,6.8,190.5,745.9,401.1,411.3,6.7,134,812.9,118.8,1382.7,37.4,259.3,35.2,82.7,0,2982.8,0.8,15.7,1815.6,-82.4,6.2,1,46699.8,-30789.7
"TTL_25",2030.6,20,26.2,240.6,2982.6,412.4,115.7,292.2,14886.4,836.8,2731.1,5613.7,353,6238.8,143.8,5589.7,2823.6,4556.2,4226,32295.2,4588.7,8389.7,19306,66224.6,1141.9,6061.5,5947,214.9,1662.2,85425.9,8108.9,1335,297.6,122.8,842.3,586.5,4673.4,961.6,4084.9,2691.1,320.4,3495.1,5564.3,3243.1,10662.4,890.5,2671.6,422.3,1059.4,0,62983.7,4.2,7.1,54809.8,891.7,31.2,4.2,24952,-63460.3
"TTL_26",602,9,3.2,19.9,320.6,29.9,25,62.9,2909.3,678.5,1694.2,2791.9,300.4,4404.3,168.7,2483.4,1250.9,1181.9,1399.2,4554.3,25426.4,4959.5,7302,21705.6,1202.7,6265.9,3129.8,357.1,434.3,8037.1,15940.9,333.3,7.6,47.3,382.2,48.5,649.8,3861.8,13205.4,8863.9,1583.4,1277.6,16568.8,3358.4,23486.7,1444.1,7572.5,232.7,2402.8,0,152684.7,213.2,45.7,319805.5,4884.8,138.3,191,103559.1,-306912.2
"TTL_27",2593.5,2.7,0.4,13.3,185.4,39.5,13.5,172.8,731.6,47,1299.9,383.2,33,521.1,36.5,826.4,150.3,861.6,679.1,1381.1,1082.7,5961.3,7318.1,4873.4,85,637,1111.4,36.2,378.7,23749.3,2130.8,161.9,5.4,7.9,91.9,11.1,732,58.8,2695.9,821.1,85.7,797.6,2419.8,1022.5,3652.9,476.2,884.3,145.9,1918,0,78999.5,3.4,3.9,64515.9,1115.6,91.3,84.1,28386.2,-103168.4
"TTL_28",2854.3,27.2,1.4,627.6,8295.8,1213.8,711.9,1148.9,4349.7,75.1,548.1,1826.5,98.4,2769.1,90.5,1761.5,343.7,603.5,549,2774.3,556.2,1154.4,24093.4,22959.3,404,2174.6,3031.5,680.2,2190.2,37420.7,4235.4,242.3,9.6,28.2,2521.5,89.5,1272.7,556.7,1661.6,1649.5,509.3,708.9,2357.9,2534.9,3917.5,2546.5,1191.1,132.1,783.7,0,28395.5,35.4,8.5,286416.7,4922.7,34.7,10,92602.3,-164698.6
