"","D01","D02","D03","D05","D06","D07","D08","D09","D10T12","D13T15","D16","D17T18","D19","D20","D21","D22","D23","D24A","D24B","D25","D26","D27","D28","D29","D301","D302T309","D31T33","D35","D36T39","D41T43","D45T47","D49","D50","D51","D52","D53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T75","D77T82","D84","D85","D86T88","D90T93","D94T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_01",72324.2,330,21.8,3.4,1.5,12.3,11.6,13.8,175588.1,2074.8,429,181.2,2.9,3762.9,23.4,49.1,2,0.8,0.5,2.9,1,0.7,4.1,11.3,0.4,2.5,140.8,1.4,1.6,2174.8,2322,7,57.2,0.5,2.3,0.3,293.2,37.8,4.5,6.4,9.2,21.2,591.3,933.1,3153.7,190.9,21.5,527.5,31.5,0,165524.8,534.3,0.5,93.3,71.7,538.2,220.1,44395.5,-34410.3
"TTL_02",57,2167.1,0,11.4,0.1,0.1,0.1,0.1,230.6,18.6,4335.1,1760.5,6.4,109.1,0.2,428,0.4,0.1,0.2,0.3,0.1,0.2,0.3,0.9,0,0.2,57.5,0.3,0,172,4.2,0.5,0.1,0,0.2,0.1,1.4,0.2,0.3,0.4,0.3,4.5,4.2,1.8,212.2,7.6,0.7,0.4,0.3,0,11275.4,139.8,0.1,36.2,0.1,6.6,0,987.3,-1908.1
"TTL_03",19.4,0,102.4,0,0.2,0,0,0,4740.1,0.2,0.1,0.3,0.4,7.2,0.2,0.5,0.1,0.1,0,0.2,0.1,0,0.1,0.2,0.2,0.2,0.1,0.1,0,0.7,319.3,0.1,3,0,0.2,0.1,2508.7,0.1,0.1,0.1,0.1,0.2,69,0.2,262.7,40.8,39.1,98.2,59.2,0,5353.3,41.4,0,4.3,4.8,32.2,5.3,2786,-11467.6
"TTL_05",413.6,0.6,0,409.5,257.3,25.6,42.6,26.3,529.5,24.9,3.6,325.3,697,132.8,1.2,45.5,421.6,917.9,138.7,6.5,1.5,2.9,5.9,14.4,0.2,2.4,3.4,6586.1,1.8,64.4,33.2,7.5,0.1,0.4,6.5,2,220.4,0.4,6.4,1,10.6,318.2,77.9,2.8,5021.8,158.6,38,7.1,24.7,0,13.5,0.4,0,3527.4,-5.1,2.3,0,4699.6,-229.6
"TTL_06",354.8,6.2,3.5,170.5,23741.7,298.9,417,547.4,154,5.3,24.2,60.3,179254,1535.1,3.4,39.3,401.4,44.3,21.4,31,6.8,68.4,42.2,31.7,1,6.9,29.1,21154,48.7,2300.5,271.7,965.4,80.3,410.6,148.3,291.1,110.9,16.8,20.2,42.9,255.7,286,149.2,235,10712.8,651.3,164.9,31.6,64.2,0,4879.8,1.5,0.2,18852.9,-92.8,8.1,33.2,65053.5,-87485.2
"TTL_07",6.9,0,0,4.6,145.2,2800.7,42.7,78.8,21.2,0.9,1.5,5.8,71.7,1163.1,1.1,5.4,67.3,5239.7,3721.4,348.6,13.4,87.2,93.4,84.9,2.5,19,119.9,22.5,33.5,534.5,46.4,5.9,0.1,0.4,4,1.6,53.2,53.3,43.7,329,15.8,196.7,347.3,259,149.5,127.7,26.5,361.2,1062.3,0,17.9,0.4,0.1,2291.5,-19.4,7.1,0,9670.4,-3113.3
"TTL_08",1812.2,0.1,0,130.9,380.9,26.6,930.9,72.1,294.8,24.8,8.8,314.3,203.4,1417.8,12.1,160.7,7689.3,453.9,11.8,44.6,9.9,25.2,32.6,58.6,10.4,54.5,34.2,304.7,171.9,20574.7,65.7,120.8,0.4,0.9,16.8,3.9,25.1,4.9,80.2,9,20.7,662,384.2,36.4,1871.5,46.5,58.2,4.2,45.6,0,621.5,1.1,0.1,6165.2,-1.9,4.2,0.8,1540.3,-4142.6
"TTL_09",49.4,0.2,0.2,275.9,9336,486.7,687.3,883.6,118.1,6.2,16.2,43.1,3506,61.4,2.8,37.4,331.1,26,23.2,202.9,24.7,47.8,105.5,371.5,8.5,44.6,40.9,692.7,16.3,2528.3,137.5,42.9,4,6.3,25,13.2,51.3,7.9,47.1,17.7,43.4,1120.5,113.2,28.6,885.6,73.1,33.9,7.1,60.7,0,431.2,1.7,0.2,41819.3,-1.6,2.7,0.5,1752.9,-2528.4
"TTL_10T12",23839.1,13.7,72.8,2,31.9,3.6,4.2,5.2,95374.1,462.7,36.4,993.1,263.9,1346.9,467.8,279.8,155.7,16.7,9.1,60.9,26.6,20.2,51.2,107.3,3.8,26.9,47.6,16.6,8.8,209.8,3360.1,31.8,143.3,270.5,11.9,5.3,27219.1,47.1,20.7,78.5,33.9,64.4,2316,74.2,18138,6574.4,8190,1929.3,831.1,0,832260.2,969.7,3.3,646.4,24.3,1598.8,1382.9,47224,-87204.2
"TTL_13T15",332.9,0.2,1.1,3.1,41.8,5,5.2,6.7,289,4607,228.2,1684.6,74.5,693,29.8,1109.2,244.9,10.8,4.8,150,19.8,20.5,538.8,3199.4,74.6,419.5,1671.9,15.6,283.4,1295.8,8974.3,10.6,15.8,1.1,14.9,72.8,727.8,99.4,26,18.8,9.8,194.7,280.8,491.9,3356.5,293.9,1826.2,64.6,1279,0,145908.9,64,2.4,4641,-98.7,707.9,231,13648.9,-135820.7
"TTL_16",641.3,2.6,25.3,1,9.8,123,142.7,165.7,515.7,57.2,25073.5,5325.7,11.9,301.4,13.2,1319.5,287.9,62.2,837.2,912.7,85,604.6,588.5,2980.5,101.6,189.1,6084.1,11.2,24.4,44211.3,5394.4,1764.4,1.6,3.1,216.3,58.4,1208.4,186.3,800.6,1027.7,82.4,5113.3,526.9,703.2,891.6,1583.9,1006.8,101.7,400.6,0,9324.7,0.9,13.7,17171,-91.9,70,75.1,3942,-17708.5
"TTL_17T18",625,1.2,0.2,19.2,114.3,66,44.3,46.3,30167.1,589.2,621.8,36522.4,217.7,4867,331,4117.7,1451.9,834.4,700.7,2306,402.3,1105,2025.7,3719.6,46.7,584.3,2413.1,69.2,303.2,4776.6,23044,1451.9,28.5,33.6,2434.6,853.4,5582.6,8078.9,1146.6,5927.8,5907.3,1726.4,13374.5,6432.2,10068.6,8480.8,7728.6,888.9,2808.9,0,54632.2,6.2,15.7,1025.8,-7.5,214,289.9,18584,-21093.8
"TTL_19",8057.1,130,73,320.3,3275.9,529.7,646,1090.3,3184.7,263.8,522,1509.9,6385.5,8155.1,122.2,1818.7,4582.3,851.4,218.5,741.2,169.4,1467.4,746.2,656.1,19.2,118.9,672.4,16511.9,949.6,23318.6,5307.5,20321.4,1694.3,8670.3,3100.5,6139,2035.9,323.5,355.7,853.4,5309.8,4660,2304.7,5046.6,37206.1,13739.2,3531.3,632.4,1341.8,0,105329.9,28.1,1.9,652,6.1,295.6,707.1,53493,-31052
