,D01,D02,D03,D04,D05,HFCE,GFCF,INVNT,EXPO
TTL_01,79826.0,27.0,13975.0,0.0,0.0,75521.0,0.0,252.0,37863.0
TTL_02,1344.0,11827.0,14360.0,7.0,150.0,173.0,99971.0,-13.0,18894.0
TTL_03,21535.0,4860.0,261205.0,7983.0,67705.0,256406.0,1628.0,11477.0,176484.0
TTL_04,63.0,218.0,4972.0,35051.0,15437.0,73169.0,236359.0,2961.0,95283.0
TTL_05,2552.0,2006.0,3779.0,3628.0,188024.0,230503.0,327271.0,11407.0,132264.0
VALU,139228.0,100328.0,355847.0,211680.0,200823.0,0.0,0.0,0.0,0.0
OUTPUT,396102.0,204977.0,941408.0,301947.0,697428.0,0.0,0.0,0.0,0.0
