"","D01","D02","D03","D05","D06","D07","D08","D09","D10T12","D13T15","D16","D17T18","D19","D20","D21","D22","D23","D24A","D24B","D25","D26","D27","D28","D29","D301","D302T309","D31T33","D35","D36T39","D41T43","D45T47","D49","D50","D51","D52","D53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T75","D77T82","D84","D85","D86T88","D90T93","D94T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_01",70711.1,1114.8,23,14.3,1.6,18.8,15.7,34.8,216933.7,2148.1,662.6,235.5,5.1,6244.3,131.2,97.8,1.5,1.2,0.9,2.6,0.7,0.6,3.8,9.8,0.3,2.2,259,2.2,0.7,1777.1,2294.1,23.3,40.1,0.9,2,0.4,517.7,43.6,3.1,4.1,6.4,15.3,528.6,658,2315.4,252.1,13.7,324.9,39.1,0,149316.8,411.4,0.4,171,252.6,1155.9,574.4,48991.1,-30936.4
"TTL_02",19.1,3830.6,0,29.1,0.6,0.1,0.2,0.7,166.4,20.6,4410.2,1537.3,4,172.3,0.3,622.2,0.9,0.3,0.4,0.8,0.2,0.2,1,2.1,0.1,0.5,84.6,1.7,0.1,148.7,5.2,1.5,0.1,0.2,0.6,0.2,2.6,0.3,0.9,0.8,1.5,22.9,6.8,1.6,303.6,15.3,1.5,0.3,0.9,0,10639.3,113.9,0.1,191.3,6.6,10.3,0,1920.7,-2235.7
"TTL_03",29.6,0,78.1,0,0.2,0,0,0.1,5036,0.3,0.1,0.3,0.7,18.4,0.3,0.4,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.3,0.9,0.8,0.2,0.2,0,0.5,366.4,0.2,2,0.1,0.2,0.2,2893.3,0.1,0.1,0.1,0.2,0.6,49.6,0.2,227.3,49,35.6,82,77.6,0,4168.2,31.1,0,30.2,15.7,75.8,10.4,3754.8,-11412.5
"TTL_05",1133.3,3.2,0,2820.8,658.7,69,87.4,90.4,1302.8,83.3,9.9,1146.3,1175.7,364,12.8,99.4,1036,3574.2,546.4,12.5,2,7.3,15,28.9,0.5,6.6,6.7,10060,4,90.4,41.4,14.9,0.2,1.5,12.8,3,351.7,0.8,10.2,0.9,21.5,503.8,102.9,4,6740.5,232.2,64.2,9.7,23.8,0,171,0.7,0,6373.9,-9.4,1.9,0,6891,-610.9
"TTL_06",601.7,39.9,12.1,477.4,61301.6,566.4,668.8,1265.8,233,16.5,58.9,215,497307.2,9953.8,31.9,94.9,512.4,140.4,103.7,65.7,15.1,93.9,139.1,56.3,3.1,27,59.6,55959.4,104.6,2707,533,2612.6,277.1,1790.7,244.9,386.4,232.1,25.5,30.3,52.8,396.5,435.1,211.1,312.7,23189.3,1308.9,308.4,49.9,137.3,0,9673.2,2,0.3,35230.7,-67.6,25,100.1,30273.4,-277782.4
"TTL_07",8.4,0,0,7.7,183.3,1380.7,42.7,200.3,30.1,1.6,1.7,6.9,89.6,1649.3,2.5,9.3,124.2,6677.7,4806,449.5,20.2,139,172.7,117.9,4.3,36.7,217,21.4,59.1,432.7,31.9,5.2,0.1,0.5,3.6,1.1,56.6,55.2,56.9,249.5,8.6,156.7,265.4,272.8,102.7,163,22.8,561.6,515.9,0,20.9,0.3,0,2512.5,15.7,10.7,0,11970.3,-4267.1
"TTL_08",1194,0.5,0,396.5,451.9,32.9,969.8,116.4,331.4,38.4,12.1,356.4,227.4,2876.2,52.2,191.8,8174.9,1586.8,39.9,49.1,13.8,29.5,47.4,58.4,13.5,91,47.4,870.3,349.2,12740.5,39.5,105.6,1,2.6,14.5,3.2,15.8,5.4,68.4,6.2,16.4,372.6,370.4,29.1,1573.5,39.9,96,3.7,25,0,599.7,0.7,0.1,4430.6,3.4,6.6,3.4,2110.6,-2524.4
"TTL_09",48.5,0.8,0.2,952.8,25318.7,1260.6,1520.8,2741,72.4,4.8,10,30.1,11539.5,61.9,9,25.2,527.3,24.7,16.2,84.9,16.3,21.5,61,159.3,3.7,26.2,24.1,1358,15.5,3093.8,117.5,53.4,3.4,7.8,33.8,12,43.2,8.7,42.6,11.8,71.7,1532.4,118,24.5,994.5,103.9,35.6,9.8,49.8,0,210.8,2.4,0.2,98536.8,6.9,10,0.9,3617.5,-2123.5
"TTL_10T12",24309.9,42.5,81.4,12.3,53.9,8.8,7.4,23.2,108778.3,1046.3,54.2,1169.8,157.2,2470.7,1010.1,448,143.2,46.6,25.4,116,35.9,43,108.2,156.5,6.2,71.1,95.6,44,12.9,273.9,4234,59.3,160.8,206.2,18.5,11.7,37395.7,59,28.5,53,24.8,95.9,2432.7,86.9,17901.4,9772.5,9906,2667.8,1167.1,0,707962.7,683,2.6,1027.9,312.9,3977.7,3549.4,53904.4,-72423.2
"TTL_13T15",553.6,1,13.8,12.7,47,8.2,6.2,20.1,280.4,6944.9,305.3,2087.6,48.7,1164.4,121.6,1494,214.2,24.7,12.3,168.8,27.6,33.3,625.6,3484.4,68.6,476.5,2449.2,24,77.6,1312.8,3922.1,24.9,102.4,8.1,26.7,40.5,1024.2,75,433.5,21.9,10.2,171.5,220.6,345.1,2257.7,489.6,1939.8,224.8,1064.8,0,151025.3,45.3,2.7,5507.1,532.1,2000.3,673,18145.3,-137422.8
