"","D01","D02","D03","D05","D06","D07","D08","D09","D10T12","D13T15","D16","D17T18","D19","D20","D21","D22","D23","D24A","D24B","D25","D26","D27","D28","D29","D301","D302T309","D31T33","D35","D36T39","D41T43","D45T47","D49","D50","D51","D52","D53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T75","D77T82","D84","D85","D86T88","D90T93","D94T96","D97T98"
"TTL_23",0.003,0.0031,8e-04,0.0083,0.0059,0.0142,0.009,0.0105,0.0091,0.0062,0.0109,0.0044,0.0047,0.0056,0.0022,0.0104,1.0964,0.0221,0.005,0.0084,0.0021,0.0173,0.0109,0.0225,0.0048,0.0035,0.0066,0.0034,0.0043,0.0589,0.0022,0.0021,0.0021,0.0018,0.0031,0.0019,0.0044,0.0012,0.0056,0.0021,0.0013,0.0036,0.0026,0.0023,0.0054,0.0016,0.0031,0.0017,0.0044,0
"TTL_24A",0.0058,0.0027,0.002,0.0077,0.0355,0.0252,0.0123,0.012,0.0071,0.0086,0.0127,0.0084,0.0207,0.0095,0.0015,0.0141,0.0147,1.2187,0.0193,0.168,0.005,0.0472,0.1028,0.0827,0.0335,0.0271,0.0273,0.0063,0.0119,0.0189,0.0028,0.0053,0.0082,0.005,0.0057,0.0047,0.0027,0.0032,0.0035,0.0018,0.0012,0.0026,0.0019,0.0027,0.0038,0.002,0.0018,0.0024,0.003,0
"TTL_24B",0.0041,0.0015,0.0013,0.0036,0.0054,0.0076,0.0037,0.0042,0.0135,0.0041,0.0111,0.0106,0.0037,0.0053,0.0011,0.0083,0.0052,0.1025,1.5424,0.0985,0.0135,0.1159,0.0509,0.0665,0.0325,0.0414,0.028,0.0025,0.0065,0.0115,0.0022,0.002,0.0048,0.0015,0.0027,0.0021,0.0022,0.0037,0.0041,0.0019,8e-04,0.0012,0.0017,0.0017,0.0031,0.0011,0.0013,0.0015,0.0024,0
"TTL_25",0.0138,0.0052,0.005,0.0156,0.0121,0.0293,0.0117,0.0145,0.0266,0.0196,0.0374,0.0313,0.0097,0.0224,0.0038,0.032,0.023,0.0501,0.0611,1.1065,0.0147,0.0709,0.0708,0.1565,0.0491,0.0413,0.035,0.0057,0.023,0.0569,0.0065,0.0074,0.0284,0.0047,0.0094,0.0093,0.008,0.0039,0.0109,0.0052,0.0025,0.0051,0.0047,0.0056,0.0089,0.0033,0.004,0.0044,0.0068,0
"TTL_26",0.0048,0.0022,0.0015,0.0033,0.0037,0.0052,0.0037,0.0052,0.0074,0.0125,0.0111,0.0124,0.0034,0.0119,0.0028,0.012,0.009,0.0125,0.0165,0.0142,1.059,0.0314,0.0225,0.0357,0.0541,0.044,0.0123,0.0028,0.0078,0.0075,0.006,0.0031,0.0048,0.0025,0.004,0.0025,0.0033,0.0051,0.0223,0.0099,0.0028,0.0017,0.0074,0.005,0.0088,0.0024,0.0046,0.0024,0.007,0
"TTL_27",0.0056,9e-04,5e-04,0.0017,0.0017,0.0033,0.0019,0.0039,0.003,0.0018,0.0128,0.0027,0.0014,0.0024,7e-04,0.0036,0.002,0.0087,0.009,0.0058,0.0029,1.0394,0.0216,0.0112,0.0051,0.0055,0.0051,0.0011,0.0047,0.0138,0.0013,0.0011,0.0013,8e-04,0.0015,8e-04,0.0014,5e-04,0.0044,0.0014,6e-04,0.0012,0.0013,0.0015,0.0022,9e-04,9e-04,0.0012,0.0042,0
"TTL_28",0.0113,0.0046,0.0014,0.0254,0.0221,0.0512,0.021,0.0301,0.0096,0.0045,0.0088,0.0109,0.0136,0.009,0.0017,0.0103,0.0068,0.0123,0.0127,0.0126,0.0027,0.0134,1.0689,0.0503,0.0165,0.0141,0.0173,0.0067,0.0234,0.0233,0.0032,0.0036,0.0045,0.0038,0.011,0.0035,0.0029,0.002,0.0045,0.0029,0.0014,0.0021,0.002,0.0033,0.0041,0.0031,0.0017,0.0019,0.0041,0
"TTL_29",0.0051,0.0024,0.0026,0.0061,0.0038,0.0107,0.0076,0.005,0.007,0.0043,0.0091,0.0072,0.0029,0.005,0.0018,0.0054,0.0065,0.0078,0.0056,0.006,0.002,0.006,0.0296,1.2017,0.009,0.0133,0.0059,0.0019,0.009,0.0048,0.008,0.0062,0.0037,0.0024,0.0093,0.0059,0.0023,0.002,0.0021,0.0014,9e-04,9e-04,0.0021,0.0049,0.0031,0.0018,0.0018,0.0024,0.0026,0
"TTL_301",1e-04,1e-04,0.0016,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,0,1e-04,1e-04,1e-04,1e-04,1e-04,0,1e-04,1e-04,2e-04,1.109,0.0111,2e-04,1e-04,1e-04,1e-04,1e-04,2e-04,0.0077,3e-04,3e-04,4e-04,1e-04,0,0,0,1e-04,1e-04,1e-04,1e-04,0.001,0,0,1e-04,2e-04,0
"TTL_302T309",9e-04,7e-04,0.0063,0.0011,8e-04,0.0011,9e-04,8e-04,0.0011,0.001,0.0016,0.0011,8e-04,0.001,5e-04,0.0012,0.001,0.0013,0.0012,0.0014,4e-04,0.0012,0.0015,0.0037,0.0287,1.2284,0.0023,8e-04,0.0017,0.001,9e-04,0.0039,0.0298,0.004,0.0038,0.0063,7e-04,4e-04,6e-04,5e-04,0.0013,5e-04,9e-04,9e-04,0.0131,4e-04,6e-04,7e-04,0.0021,0
"TTL_31T33",0.0037,0.0117,0.0061,0.0022,0.0021,0.0036,0.0028,0.0027,0.0053,0.0072,0.0108,0.007,0.0028,0.0061,0.0027,0.0072,0.0055,0.0082,0.0089,0.0066,0.0032,0.0083,0.0099,0.0098,0.005,0.0047,1.0279,0.002,0.0082,0.0134,0.0058,0.0033,0.0032,0.0022,0.0045,0.0023,0.0057,0.0017,0.003,0.0026,0.0024,0.0026,0.003,0.0047,0.0043,0.0019,0.0105,0.0044,0.0049,0
