"","D01","D02","D03","D05","D06","D07","D08","D09","D10T12","D13T15","D16","D17T18","D19","D20","D21","D22","D23","D24A","D24B","D25","D26","D27","D28","D29","D301","D302T309","D31T33","D35","D36T39","D41T43","D45T47","D49","D50","D51","D52","D53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T75","D77T82","D84","D85","D86T88","D90T93","D94T96","D97T98"
"TTL_01",1.1675,0.0581,0.0096,0.0019,0.001,0.0027,0.002,0.0015,0.3146,0.03,0.0121,0.0071,0.0015,0.0285,0.0037,0.0096,0.0024,0.002,0.0015,0.0019,8e-04,0.0018,0.0018,0.0028,0.0011,0.0013,0.0043,9e-04,0.0014,0.0036,0.0022,0.001,0.0028,0.0019,0.0011,0.0012,0.0142,8e-04,8e-04,8e-04,9e-04,6e-04,0.0016,0.0018,0.0043,0.003,0.0024,0.0052,0.0019,0
"TTL_02",3e-04,1.1682,3e-04,6e-04,1e-04,2e-04,2e-04,2e-04,8e-04,6e-04,0.0532,0.0072,1e-04,8e-04,2e-04,0.0041,4e-04,3e-04,5e-04,3e-04,1e-04,4e-04,5e-04,9e-04,3e-04,2e-04,0.002,1e-04,2e-04,0.0018,2e-04,2e-04,1e-04,1e-04,2e-04,2e-04,3e-04,2e-04,2e-04,2e-04,1e-04,2e-04,1e-04,2e-04,3e-04,2e-04,2e-04,1e-04,2e-04,0
"TTL_03",5e-04,1e-04,1.0142,0,0,0,0,1e-04,0.0062,2e-04,1e-04,1e-04,0,2e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,0,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,2e-04,0,1e-04,2e-04,1e-04,1e-04,0.0036,1e-04,1e-04,1e-04,1e-04,0,1e-04,1e-04,2e-04,1e-04,1e-04,4e-04,2e-04,0
"TTL_05",0.0033,0.0012,7e-04,1.0604,0.0037,0.0052,0.0046,0.0017,0.004,0.0034,0.0021,0.007,0.005,0.003,7e-04,0.0028,0.0114,0.0374,0.0096,0.0069,7e-04,0.0035,0.0047,0.0043,0.0017,0.0019,0.0021,0.0229,0.0013,0.002,9e-04,0.0013,0.0015,0.0017,0.0021,0.0011,0.0018,5e-04,6e-04,4e-04,7e-04,9e-04,6e-04,6e-04,0.0039,8e-04,6e-04,8e-04,8e-04,0
"TTL_06",0.0542,0.0613,0.0495,0.0779,1.1557,0.1021,0.0808,0.0497,0.0373,0.038,0.0432,0.0439,0.7863,0.0787,0.0144,0.0491,0.0868,0.0592,0.0356,0.0296,0.0079,0.0318,0.0262,0.0275,0.0117,0.0154,0.0242,0.1791,0.0343,0.0485,0.0167,0.1218,0.1424,0.1946,0.0501,0.0788,0.0205,0.0077,0.0092,0.0102,0.016,0.0112,0.01,0.0157,0.0505,0.0327,0.0121,0.0153,0.0169,0
"TTL_07",0.0011,6e-04,3e-04,0.0012,0.0023,1.0646,0.0025,0.0024,0.0015,0.0018,0.0016,0.0016,0.002,0.0057,5e-04,0.0027,0.0024,0.0705,0.0622,0.0156,0.0015,0.0106,0.0097,0.0087,0.0035,0.0042,0.0044,7e-04,0.0021,0.0024,4e-04,7e-04,9e-04,8e-04,7e-04,6e-04,5e-04,7e-04,7e-04,7e-04,2e-04,3e-04,5e-04,7e-04,6e-04,4e-04,3e-04,0.0028,0.002,0
"TTL_08",0.0045,9e-04,3e-04,0.0093,0.0017,0.0025,1.0234,0.0016,0.0026,0.0026,0.0017,0.0033,0.0018,0.0078,9e-04,0.0038,0.0582,0.0093,0.0013,0.0023,4e-04,0.0021,0.002,0.0026,0.0011,0.0012,0.0015,0.002,0.0035,0.0142,4e-04,8e-04,6e-04,7e-04,8e-04,6e-04,7e-04,3e-04,6e-04,3e-04,3e-04,8e-04,5e-04,4e-04,0.0014,4e-04,5e-04,4e-04,6e-04,0
"TTL_09",0.0039,0.004,0.0032,0.026,0.0544,0.0435,0.0374,1.0197,0.0028,0.0028,0.0032,0.0033,0.05,0.0056,0.0011,0.0036,0.0111,0.0076,0.0049,0.003,7e-04,0.0028,0.0025,0.0028,0.0011,0.0014,0.002,0.0124,0.0026,0.0059,0.0013,0.0079,0.0091,0.0124,0.0036,0.0052,0.0016,6e-04,8e-04,8e-04,0.0012,0.0015,8e-04,0.0011,0.0038,0.0022,9e-04,0.0012,0.0014,0
"TTL_10T12",0.0659,0.0078,0.017,0.0015,0.0011,0.0019,0.0016,0.0016,1.1522,0.0208,0.0037,0.0106,0.0017,0.0104,0.0055,0.0068,0.0032,0.0025,0.0019,0.0022,0.001,0.002,0.0022,0.0028,0.0012,0.0017,0.0028,0.0013,0.0022,0.0018,0.0028,0.0014,0.0041,0.0047,0.0015,0.0019,0.0474,0.0013,0.0013,0.0016,0.002,0.001,0.0029,0.0019,0.0092,0.0088,0.007,0.0119,0.0042,0
"TTL_13T15",0.0024,8e-04,0.0032,9e-04,5e-04,0.0011,8e-04,7e-04,0.0023,1.1028,0.0057,0.0119,7e-04,0.0045,0.0012,0.0093,0.0029,0.0014,0.0011,0.0014,5e-04,0.0013,0.0032,0.0095,0.003,0.0033,0.0119,4e-04,0.0018,0.0022,0.0019,6e-04,0.0028,6e-04,8e-04,0.001,0.0017,6e-04,0.001,4e-04,4e-04,3e-04,5e-04,8e-04,0.0014,7e-04,0.0015,0.0013,0.003,0
"TTL_16",0.0024,0.0017,0.0071,0.0025,8e-04,0.0024,0.0023,0.0024,0.0036,0.0028,1.2588,0.0269,0.0012,0.0027,0.0012,0.0085,0.0048,0.0034,0.0077,0.0043,0.0015,0.0041,0.0056,0.0118,0.0044,0.0026,0.032,0.0013,0.0018,0.036,0.0026,0.0037,0.0013,0.0013,0.0029,0.002,0.0032,0.0014,0.0023,0.0031,0.001,0.0033,0.0013,0.002,0.0025,0.0026,0.0021,0.0017,0.0024,0
