"","D01","D02","D03","D05","D06","D07","D08","D09","D10T12","D13T15","D16","D17T18","D19","D20","D21","D22","D23","D24A","D24B","D25","D26","D27","D28","D29","D301","D302T309","D31T33","D35","D36T39","D41T43","D45T47","D49","D50","D51","D52","D53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T75","D77T82","D84","D85","D86T88","D90T93","D94T96","D97T98"
"TTL_01",1.2125,0.0227,0.0091,6e-04,8e-04,0.0014,0.001,9e-04,0.2389,0.046,0.0071,0.004,0.0013,0.0133,0.001,0.0038,0.0013,9e-04,7e-04,9e-04,3e-04,8e-04,9e-04,0.0015,6e-04,7e-04,0.0019,5e-04,8e-04,0.0023,0.0015,6e-04,0.0034,0.0014,5e-04,4e-04,0.0082,5e-04,5e-04,4e-04,5e-04,4e-04,9e-04,0.0014,0.0033,0.0015,0.0013,0.0048,0.0011,0
"TTL_02",5e-04,1.1207,3e-04,6e-04,1e-04,4e-04,3e-04,3e-04,9e-04,7e-04,0.049,0.0103,2e-04,6e-04,1e-04,0.0029,4e-04,4e-04,8e-04,4e-04,1e-04,5e-04,4e-04,7e-04,3e-04,2e-04,0.0017,1e-04,1e-04,0.0015,2e-04,3e-04,1e-04,1e-04,2e-04,2e-04,3e-04,2e-04,2e-04,2e-04,1e-04,2e-04,1e-04,2e-04,3e-04,2e-04,1e-04,1e-04,2e-04,0
"TTL_03",5e-04,0,1.0209,0,0,0,0,0,0.0055,1e-04,0,1e-04,0,1e-04,0,1e-04,0,0,0,0,0,0,0,1e-04,0,0,0,0,0,0,1e-04,0,1e-04,2e-04,0,0,0.0031,0,0,0,0,0,1e-04,0,1e-04,1e-04,1e-04,5e-04,2e-04,0
"TTL_05",0.0017,2e-04,2e-04,1.0169,0.002,0.002,0.0016,8e-04,0.0014,0.001,6e-04,0.0021,0.0036,0.0011,1e-04,0.001,0.0037,0.0112,0.0026,0.0017,2e-04,9e-04,0.0011,0.0011,4e-04,4e-04,5e-04,0.0145,4e-04,6e-04,4e-04,4e-04,4e-04,5e-04,7e-04,3e-04,8e-04,2e-04,2e-04,1e-04,3e-04,6e-04,3e-04,2e-04,0.0019,3e-04,2e-04,3e-04,4e-04,0
"TTL_06",0.0203,0.0067,0.0114,0.0181,1.1205,0.0337,0.0253,0.0233,0.0107,0.0095,0.0093,0.0108,0.6079,0.0222,0.0018,0.0137,0.0287,0.0156,0.0087,0.0072,0.0017,0.0122,0.0061,0.0073,0.0028,0.0033,0.0055,0.0734,0.0086,0.0142,0.0047,0.0284,0.0355,0.0557,0.013,0.0258,0.006,0.0022,0.0029,0.0025,0.0037,0.0046,0.003,0.005,0.0142,0.0084,0.0032,0.0047,0.0049,0
"TTL_07",8e-04,1e-04,2e-04,6e-04,0.0033,1.1185,0.0019,0.0022,9e-04,0.001,9e-04,0.001,0.0023,0.004,1e-04,0.0016,0.0016,0.068,0.0554,0.0111,7e-04,0.0069,0.0061,0.0058,0.0023,0.0025,0.0027,5e-04,0.0011,0.0017,3e-04,4e-04,5e-04,4e-04,4e-04,3e-04,4e-04,4e-04,5e-04,6e-04,1e-04,3e-04,4e-04,5e-04,4e-04,2e-04,2e-04,0.0018,0.0028,0
"TTL_08",0.006,3e-04,2e-04,0.0061,0.0027,0.0025,1.0234,0.0023,0.0022,0.0015,0.001,0.0023,0.0029,0.0045,2e-04,0.0023,0.0542,0.0066,8e-04,0.0014,2e-04,0.0015,0.0011,0.002,8e-04,7e-04,8e-04,0.0014,0.0019,0.0147,4e-04,7e-04,4e-04,5e-04,6e-04,4e-04,6e-04,2e-04,6e-04,2e-04,3e-04,0.001,4e-04,3e-04,0.0016,3e-04,3e-04,4e-04,8e-04,0
"TTL_09",0.0015,4e-04,7e-04,0.0124,0.0434,0.0226,0.018,1.0153,0.001,8e-04,8e-04,0.001,0.0345,0.0016,2e-04,0.0012,0.0049,0.0028,0.002,0.0014,2e-04,0.0014,0.001,0.0016,6e-04,6e-04,6e-04,0.005,8e-04,0.0027,4e-04,0.0017,0.0022,0.0032,0.001,0.0016,5e-04,2e-04,3e-04,2e-04,3e-04,7e-04,3e-04,4e-04,0.0012,6e-04,3e-04,4e-04,6e-04,0
"TTL_10T12",0.0734,0.0025,0.0172,5e-04,9e-04,9e-04,8e-04,9e-04,1.1221,0.0125,0.0017,0.0062,0.0019,0.0054,0.0024,0.0033,0.0021,0.0012,9e-04,0.0011,5e-04,9e-04,0.001,0.0015,7e-04,8e-04,0.0011,6e-04,0.0012,0.001,0.0017,9e-04,0.0053,0.0048,8e-04,7e-04,0.0348,7e-04,7e-04,7e-04,0.001,6e-04,0.0017,0.001,0.0075,0.0056,0.0046,0.0096,0.0027,0
"TTL_13T15",0.0022,4e-04,6e-04,5e-04,8e-04,9e-04,7e-04,7e-04,0.0021,1.0786,0.0034,0.0092,0.001,0.0029,6e-04,0.0068,0.0027,0.0012,9e-04,0.0014,3e-04,0.0011,0.0028,0.0085,0.0028,0.0029,0.0079,4e-04,0.0031,0.0018,0.0031,6e-04,0.001,5e-04,6e-04,9e-04,0.0014,6e-04,5e-04,3e-04,3e-04,3e-04,4e-04,8e-04,0.0017,5e-04,0.0012,6e-04,0.0033,0
