"","D01","D02","D03","D05","D06","D07","D08","D09","D10T12","D13T15","D16","D17T18","D19","D20","D21","D22","D23","D24A","D24B","D25","D26","D27","D28","D29","D301","D302T309","D31T33","D35","D36T39","D41T43","D45T47","D49","D50","D51","D52","D53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T75","D77T82","D84","D85","D86T88","D90T93","D94T96","D97T98"
"TTL_01",1.197,0.0473,0.0106,0.0012,8e-04,0.002,0.0011,9e-04,0.2721,0.0306,0.0055,0.0043,0.001,0.0155,0.0012,0.0048,0.0015,0.0011,8e-04,0.0011,4e-04,0.001,0.001,0.0017,5e-04,6e-04,0.0016,5e-04,8e-04,0.0029,0.0017,6e-04,0.0024,0.0013,6e-04,5e-04,0.0097,5e-04,5e-04,4e-04,5e-04,5e-04,0.0011,0.0011,0.0034,0.0019,0.0016,0.0048,0.0011,0
"TTL_02",4e-04,1.2177,5e-04,9e-04,1e-04,4e-04,3e-04,2e-04,9e-04,7e-04,0.0396,0.0093,1e-04,6e-04,1e-04,0.0028,3e-04,3e-04,6e-04,4e-04,1e-04,5e-04,3e-04,7e-04,2e-04,2e-04,0.0016,1e-04,1e-04,0.0015,2e-04,2e-04,1e-04,1e-04,2e-04,1e-04,3e-04,2e-04,2e-04,2e-04,1e-04,2e-04,1e-04,1e-04,3e-04,2e-04,1e-04,1e-04,2e-04,0
"TTL_03",4e-04,1e-04,1.0233,0,0,0,0,0,0.0057,1e-04,1e-04,1e-04,0,1e-04,0,1e-04,1e-04,1e-04,0,1e-04,0,0,1e-04,1e-04,0,0,0,0,1e-04,0,2e-04,0,2e-04,2e-04,0,0,0.0041,0,0,0,0,0,1e-04,1e-04,2e-04,1e-04,1e-04,6e-04,2e-04,0
"TTL_05",0.0014,4e-04,2e-04,1.023,0.0012,0.0019,0.0013,5e-04,0.0012,0.001,5e-04,0.0019,0.0019,8e-04,1e-04,9e-04,0.0033,0.0097,0.0027,0.002,2e-04,0.001,0.0012,0.0012,4e-04,4e-04,5e-04,0.0128,4e-04,6e-04,4e-04,4e-04,3e-04,4e-04,7e-04,3e-04,8e-04,2e-04,2e-04,2e-04,3e-04,6e-04,2e-04,2e-04,0.0019,3e-04,2e-04,3e-04,3e-04,0
"TTL_06",0.0278,0.0309,0.0298,0.0389,1.1905,0.0563,0.0339,0.026,0.0171,0.0183,0.0159,0.0218,0.7004,0.0404,0.0036,0.0273,0.0522,0.0242,0.0156,0.014,0.0033,0.019,0.0113,0.0138,0.0045,0.0055,0.0097,0.1332,0.015,0.0252,0.0097,0.0406,0.0363,0.083,0.0244,0.0422,0.0119,0.004,0.0052,0.0046,0.0065,0.0093,0.0053,0.009,0.0283,0.0186,0.0059,0.0091,0.008,0
"TTL_07",9e-04,3e-04,3e-04,0.001,0.003,1.1539,0.0018,0.0021,0.0012,0.0014,0.0012,0.0015,0.0021,0.0052,2e-04,0.0024,0.0024,0.0684,0.0662,0.0161,9e-04,0.0094,0.0087,0.0078,0.0025,0.003,0.0034,6e-04,0.0016,0.0023,4e-04,5e-04,5e-04,5e-04,6e-04,4e-04,5e-04,6e-04,7e-04,0.001,2e-04,4e-04,6e-04,7e-04,6e-04,4e-04,3e-04,0.0024,0.0015,0
"TTL_08",0.0041,5e-04,3e-04,0.0087,0.0018,0.0023,1.0195,0.0016,0.0019,0.0016,8e-04,0.0019,0.0018,0.0042,3e-04,0.0026,0.0495,0.0056,8e-04,0.0016,3e-04,0.0015,0.0012,0.002,7e-04,7e-04,8e-04,0.0014,0.0021,0.0145,4e-04,6e-04,3e-04,4e-04,6e-04,4e-04,6e-04,2e-04,6e-04,2e-04,3e-04,0.0013,5e-04,3e-04,0.0016,3e-04,4e-04,4e-04,6e-04,0
"TTL_09",8e-04,7e-04,7e-04,0.013,0.0162,0.0144,0.0103,1.0079,5e-04,5e-04,5e-04,7e-04,0.0149,0.001,1e-04,8e-04,0.0032,0.0017,0.0013,7e-04,1e-04,7e-04,5e-04,7e-04,2e-04,3e-04,4e-04,0.0033,5e-04,0.0017,3e-04,9e-04,8e-04,0.0018,7e-04,9e-04,4e-04,1e-04,2e-04,2e-04,2e-04,7e-04,2e-04,3e-04,9e-04,5e-04,2e-04,3e-04,3e-04,0
"TTL_10T12",0.0593,0.0045,0.0187,8e-04,9e-04,0.0012,8e-04,8e-04,1.1152,0.0111,0.0017,0.0067,0.0013,0.0058,0.003,0.0038,0.0023,0.0014,0.001,0.0013,5e-04,0.0011,0.0012,0.0017,6e-04,8e-04,0.0012,7e-04,0.0012,0.0012,0.0019,9e-04,0.0036,0.0039,9e-04,7e-04,0.0364,8e-04,8e-04,7e-04,0.001,7e-04,0.0017,0.0011,0.0071,0.0063,0.005,0.0099,0.0026,0
"TTL_13T15",0.0015,6e-04,6e-04,7e-04,6e-04,9e-04,5e-04,5e-04,0.0015,1.0714,0.0028,0.0091,7e-04,0.0025,4e-04,0.007,0.0023,0.001,7e-04,0.0012,3e-04,0.001,0.0023,0.007,0.0012,0.0014,0.0073,3e-04,0.0014,0.0015,0.0018,4e-04,6e-04,4e-04,5e-04,9e-04,0.0014,5e-04,4e-04,3e-04,2e-04,3e-04,4e-04,5e-04,0.0012,5e-04,0.0014,0.0018,0.0012,0
"TTL_16",0.0036,0.0023,0.0133,0.0017,0.0016,0.0097,0.0067,0.0047,0.005,0.0039,1.286,0.0403,0.0021,0.0034,0.001,0.0122,0.0054,0.0048,0.0158,0.0069,0.0012,0.0113,0.0058,0.0132,0.0047,0.003,0.0383,0.0017,0.002,0.0411,0.0044,0.006,0.0012,0.0016,0.0033,0.0018,0.0045,0.0018,0.0035,0.0029,0.0011,0.0053,0.0016,0.0021,0.0034,0.0032,0.0022,0.0022,0.0029,0
"TTL_17T18",0.0081,0.0036,0.0028,0.0044,0.0042,0.0078,0.0042,0.0036,0.0429,0.0181,0.0113,1.1675,0.0042,0.0167,0.004,0.0285,0.0157,0.0149,0.0148,0.0139,0.0033,0.016,0.0128,0.0177,0.0042,0.0064,0.0147,0.0027,0.0061,0.009,0.0115,0.0066,0.0043,0.0044,0.0132,0.0079,0.012,0.0161,0.0063,0.0081,0.0041,0.0026,0.0076,0.0076,0.0071,0.0089,0.0065,0.0068,0.0094,0
"TTL_19",0.0345,0.0395,0.0385,0.038,0.0254,0.0569,0.0332,0.0269,0.0199,0.0208,0.0186,0.0248,1.0409,0.0418,0.004,0.0317,0.0635,0.026,0.0152,0.0152,0.0036,0.023,0.0127,0.0154,0.0049,0.0061,0.0111,0.0634,0.0181,0.0308,0.0101,0.0523,0.0471,0.109,0.0275,0.0551,0.0116,0.0045,0.0057,0.0052,0.0072,0.0083,0.0057,0.0107,0.0276,0.0234,0.0065,0.0103,0.0091,0
"TTL_20",0.1029,0.0105,0.0065,0.0405,0.032,0.0483,0.0247,0.0196,0.0485,0.1622,0.0276,0.093,0.0398,1.2354,0.0231,0.2754,0.0497,0.0289,0.0168,0.0371,0.0095,0.0353,0.026,0.051,0.0128,0.0135,0.0379,0.0139,0.0179,0.0281,0.009,0.0086,0.0072,0.0117,0.0134,0.01,0.011,0.0054,0.0072,0.0054,0.0038,0.0079,0.0086,0.012,0.0181,0.0088,0.0106,0.008,0.0148,0
"TTL_21",0.0082,0.0013,8e-04,0.0025,0.0023,0.0031,0.0018,0.0016,0.0057,0.0085,0.0038,0.0056,0.0026,0.0128,1.1279,0.0137,0.0034,0.0029,0.002,0.0032,0.0012,0.0029,0.0027,0.004,0.0015,0.0018,0.0028,0.0014,0.0017,0.0027,0.0016,0.001,9e-04,0.001,0.0012,9e-04,0.0014,9e-04,0.0012,8e-04,7e-04,7e-04,0.0041,0.0012,0.0027,7e-04,0.0099,0.0022,0.0013,0
"TTL_22",0.0113,0.0039,0.0025,0.0123,0.0041,0.0161,0.0071,0.0084,0.0322,0.0179,0.0114,0.0247,0.0047,0.0251,0.0043,1.0772,0.0136,0.0157,0.0107,0.0168,0.0046,0.0204,0.024,0.0684,0.0078,0.0144,0.0307,0.0026,0.0059,0.0284,0.0104,0.0042,0.0027,0.0031,0.0053,0.0127,0.0106,0.0039,0.0076,0.003,0.0019,0.0031,0.0041,0.0046,0.0075,0.0033,0.007,0.0031,0.0047,0
"TTL_23",0.0025,0.0022,0.0011,0.0086,0.0068,0.0118,0.0078,0.0088,0.0082,0.0049,0.009,0.0041,0.0053,0.0051,0.0011,0.0102,1.1017,0.019,0.0043,0.0083,0.0019,0.016,0.0083,0.0239,0.0035,0.0032,0.0054,0.0027,0.0041,0.0554,0.0021,0.0018,0.0012,0.0017,0.0027,0.0015,0.0045,0.001,0.005,0.0018,0.0011,0.004,0.0023,0.002,0.0051,0.0013,0.0026,0.0016,0.0048,0
"TTL_24A",0.0059,0.0033,0.0037,0.0088,0.0469,0.0261,0.0112,0.0115,0.0079,0.01,0.0123,0.0105,0.0288,0.0097,0.0011,0.0174,0.0194,1.2615,0.0216,0.2079,0.0058,0.0671,0.1209,0.0951,0.0293,0.0286,0.0316,0.0071,0.012,0.0229,0.0033,0.0054,0.0048,0.0055,0.006,0.004,0.0034,0.0033,0.0041,0.0022,0.0012,0.0033,0.0024,0.0031,0.0046,0.0022,0.0021,0.0026,0.003,0
"TTL_24B",0.0032,0.0013,0.0015,0.0029,0.0057,0.0059,0.0025,0.003,0.0096,0.0037,0.0074,0.0091,0.0039,0.0041,6e-04,0.0075,0.0049,0.0946,1.5112,0.0807,0.0104,0.1067,0.0406,0.0505,0.0179,0.0277,0.0218,0.0018,0.0046,0.0097,0.0019,0.0015,0.0018,0.0013,0.0019,0.0013,0.0019,0.0024,0.0032,0.0015,6e-04,0.0011,0.0015,0.0014,0.0027,8e-04,0.0012,0.0012,0.0018,0
"TTL_25",0.0113,0.0043,0.0074,0.0143,0.0139,0.025,0.0081,0.0111,0.0246,0.0204,0.0291,0.0329,0.0108,0.0191,0.0023,0.0327,0.0249,0.0467,0.0543,1.098,0.0133,0.0769,0.0688,0.1401,0.0369,0.037,0.0304,0.0047,0.0185,0.0552,0.006,0.0061,0.012,0.0045,0.0074,0.0063,0.0085,0.0037,0.0108,0.0048,0.0021,0.0054,0.0045,0.0052,0.009,0.0029,0.0037,0.0042,0.0057,0
"TTL_26",0.0055,0.003,0.0026,0.0038,0.0047,0.0059,0.0036,0.0044,0.0086,0.016,0.0184,0.0177,0.0045,0.0132,0.0024,0.017,0.0124,0.0152,0.0198,0.0192,1.0582,0.0441,0.0278,0.0494,0.0358,0.0348,0.0167,0.003,0.0074,0.0101,0.0071,0.0036,0.003,0.0029,0.0044,0.0023,0.0041,0.0079,0.0263,0.0106,0.0028,0.0023,0.0086,0.0054,0.0111,0.0026,0.0054,0.0032,0.0078,0
"TTL_27",0.0071,0.001,7e-04,0.0017,0.0019,0.0036,0.0016,0.0046,0.0034,0.002,0.0117,0.0033,0.0016,0.0022,5e-04,0.0049,0.0021,0.0085,0.0088,0.0063,0.003,1.0456,0.0224,0.0123,0.0034,0.0044,0.0058,9e-04,0.0041,0.0144,0.0013,0.0011,8e-04,8e-04,0.0013,6e-04,0.0016,6e-04,0.0054,0.0013,6e-04,0.0013,0.0014,0.0014,0.0024,8e-04,9e-04,0.0011,0.0046,0
"TTL_28",0.0097,0.0035,0.002,0.0259,0.0242,0.0505,0.0196,0.0253,0.0093,0.0045,0.0073,0.0115,0.0154,0.009,0.0011,0.0116,0.0065,0.0111,0.0112,0.0117,0.0023,0.0126,1.0685,0.0475,0.0127,0.0129,0.0141,0.0055,0.0194,0.0234,0.003,0.0028,0.0025,0.0036,0.0099,0.0027,0.0031,0.0018,0.0044,0.0026,0.0012,0.0023,0.002,0.0031,0.0041,0.003,0.0017,0.0019,0.0032,0
"TTL_29",0.0042,0.0026,0.0041,0.0052,0.0043,0.0089,0.0049,0.0041,0.0061,0.0036,0.0076,0.0076,0.0033,0.0043,0.0012,0.0055,0.0063,0.0072,0.0048,0.0062,0.0018,0.0057,0.0285,1.2244,0.0068,0.0132,0.0053,0.0016,0.0077,0.0046,0.0074,0.005,0.0019,0.0022,0.0074,0.0035,0.0024,0.0018,0.0019,0.0013,8e-04,9e-04,0.002,0.0046,0.0031,0.0017,0.0018,0.0018,0.0023,0
"TTL_301",1e-04,1e-04,0.003,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,0,1e-04,1e-04,1e-04,1e-04,1e-04,0,1e-04,1e-04,2e-04,1.0862,0.0103,2e-04,1e-04,1e-04,1e-04,1e-04,2e-04,0.0049,3e-04,4e-04,3e-04,1e-04,0,0,0,1e-04,1e-04,1e-04,1e-04,0.0014,0,1e-04,1e-04,1e-04,0
"TTL_302T309",5e-04,5e-04,0.0065,6e-04,5e-04,7e-04,5e-04,4e-04,6e-04,6e-04,8e-04,7e-04,5e-04,5e-04,2e-04,7e-04,6e-04,8e-04,7e-04,9e-04,3e-04,8e-04,0.0013,0.0031,0.0126,1.1303,0.0014,5e-04,0.0014,6e-04,5e-04,0.002,0.0104,0.0023,0.0024,0.0034,4e-04,3e-04,4e-04,3e-04,0.001,4e-04,6e-04,7e-04,0.0103,2e-04,4e-04,5e-04,9e-04,0
"TTL_31T33",0.0031,0.0128,0.0066,0.002,0.0023,0.0032,0.0021,0.0021,0.0047,0.0074,0.0068,0.0065,0.0028,0.005,0.0017,0.0072,0.0053,0.0071,0.0079,0.0062,0.0036,0.0084,0.0095,0.0093,0.003,0.0036,1.0245,0.0017,0.0074,0.0117,0.0057,0.003,0.0018,0.0023,0.0039,0.0018,0.0056,0.0017,0.003,0.0028,0.0019,0.0026,0.0031,0.0045,0.0062,0.0017,0.0106,0.0032,0.0042,0
