"","D01","D02","D03","D05","D06","D07","D08","D09","D10T12","D13T15","D16","D17T18","D19","D20","D21","D22","D23","D24A","D24B","D25","D26","D27","D28","D29","D301","D302T309","D31T33","D35","D36T39","D41T43","D45T47","D49","D50","D51","D52","D53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T75","D77T82","D84","D85","D86T88","D90T93","D94T96","D97T98"
"TTL_01",1.1955,0.0746,0.0102,0.0018,8e-04,0.0024,0.0017,0.0015,0.3187,0.0467,0.0166,0.0067,9e-04,0.0205,0.0042,0.0078,0.002,0.0017,0.0013,0.0017,6e-04,0.0016,0.0016,0.0026,0.0011,0.0012,0.0039,8e-04,0.0013,0.0034,0.0021,9e-04,0.0029,0.0016,0.001,0.0011,0.0155,8e-04,9e-04,8e-04,9e-04,6e-04,0.0015,0.0018,0.0043,0.0032,0.0026,0.0054,0.002,0
"TTL_02",4e-04,1.2102,5e-04,0.0011,1e-04,3e-04,3e-04,3e-04,9e-04,8e-04,0.0692,0.0101,1e-04,9e-04,3e-04,0.0044,5e-04,4e-04,6e-04,5e-04,1e-04,5e-04,6e-04,0.0011,4e-04,3e-04,0.0025,2e-04,2e-04,0.0023,3e-04,3e-04,2e-04,1e-04,3e-04,3e-04,3e-04,3e-04,2e-04,3e-04,1e-04,2e-04,2e-04,2e-04,4e-04,3e-04,2e-04,2e-04,3e-04,0
"TTL_03",5e-04,1e-04,1.0142,0,0,1e-04,1e-04,1e-04,0.0065,2e-04,1e-04,1e-04,0,2e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,0,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,2e-04,1e-04,1e-04,2e-04,1e-04,1e-04,0.0038,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,2e-04,1e-04,2e-04,4e-04,3e-04,0
"TTL_05",0.0043,0.0013,7e-04,1.0677,0.0031,0.0053,0.0043,0.0016,0.0041,0.0032,0.0021,0.0074,0.0042,0.0029,8e-04,0.0028,0.0108,0.0345,0.0091,0.0066,6e-04,0.0036,0.0044,0.0041,0.0018,0.0017,0.002,0.0235,0.0013,0.0019,9e-04,0.0012,0.0013,0.0014,0.0021,0.001,0.0018,6e-04,6e-04,4e-04,6e-04,0.001,6e-04,6e-04,0.0036,8e-04,6e-04,8e-04,8e-04,0
"TTL_06",0.0537,0.0588,0.0521,0.0795,1.1786,0.1023,0.0801,0.0488,0.0365,0.0389,0.0438,0.0484,0.8141,0.0928,0.0177,0.0537,0.075,0.0576,0.0362,0.029,0.0074,0.0364,0.0272,0.0279,0.0137,0.0154,0.0236,0.1999,0.0355,0.0438,0.0167,0.1169,0.1321,0.2013,0.0501,0.0713,0.0207,0.0081,0.0103,0.0095,0.0135,0.0122,0.0102,0.0159,0.0488,0.0301,0.0122,0.0145,0.0165,0
"TTL_07",0.0011,5e-04,4e-04,0.0012,0.0022,1.0506,0.0023,0.0025,0.0015,0.0016,0.0016,0.0015,0.0018,0.0051,6e-04,0.0026,0.0023,0.0634,0.0583,0.0151,0.0013,0.0113,0.0089,0.0083,0.0039,0.0039,0.0042,7e-04,0.002,0.0023,4e-04,7e-04,9e-04,7e-04,7e-04,6e-04,5e-04,8e-04,7e-04,8e-04,2e-04,3e-04,5e-04,7e-04,6e-04,4e-04,3e-04,0.0025,0.0017,0
"TTL_08",0.0044,0.0011,4e-04,0.0108,0.0021,0.0032,1.0272,0.0021,0.0027,0.0027,0.0019,0.0032,0.0021,0.008,0.0013,0.0041,0.0681,0.0161,0.0017,0.0035,5e-04,0.0028,0.0028,0.0033,0.0016,0.0014,0.0017,0.003,0.0046,0.0148,5e-04,9e-04,8e-04,8e-04,0.001,7e-04,8e-04,4e-04,8e-04,4e-04,4e-04,0.001,6e-04,5e-04,0.0016,4e-04,6e-04,5e-04,7e-04,0
"TTL_09",0.0046,0.0047,0.004,0.0292,0.0665,0.0531,0.047,1.0222,0.0033,0.0033,0.0038,0.0042,0.0623,0.0074,0.0015,0.0046,0.013,0.0089,0.0058,0.0035,7e-04,0.0038,0.003,0.0033,0.0015,0.0016,0.0023,0.0161,0.0032,0.0068,0.0015,0.0091,0.0102,0.0153,0.0042,0.0056,0.0018,7e-04,0.001,9e-04,0.0012,0.0017,0.001,0.0014,0.0042,0.0025,0.0011,0.0014,0.0016,0
"TTL_10T12",0.0709,0.0082,0.0179,0.0016,0.001,0.0019,0.0016,0.0018,1.1537,0.0227,0.0039,0.0086,0.0013,0.0093,0.0069,0.0063,0.003,0.0024,0.0019,0.0022,9e-04,0.002,0.0021,0.0028,0.0014,0.0017,0.0026,0.0014,0.0022,0.0018,0.0029,0.0014,0.0051,0.0041,0.0016,0.0019,0.0519,0.0014,0.0016,0.0016,0.0019,0.0011,0.003,0.0021,0.0095,0.0097,0.0077,0.0131,0.0046,0
"TTL_13T15",0.0026,9e-04,0.0031,0.0011,5e-04,0.0012,9e-04,8e-04,0.0023,1.1035,0.0056,0.0117,6e-04,0.0041,0.0015,0.0096,0.0028,0.0014,0.0011,0.0015,4e-04,0.0014,0.0032,0.0099,0.0033,0.0031,0.0121,5e-04,0.0017,0.0023,0.002,6e-04,0.0029,6e-04,9e-04,0.0011,0.002,7e-04,0.0014,4e-04,4e-04,3e-04,5e-04,9e-04,0.0015,8e-04,0.0016,0.0013,0.0032,0
