"","D01","D02","D03","D05","D06","D07","D08","D09","D10T12","D13T15","D16","D17T18","D19","D20","D21","D22","D23","D24A","D24B","D25","D26","D27","D28","D29","D301","D302T309","D31T33","D35","D36T39","D41T43","D45T47","D49","D50","D51","D52","D53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T75","D77T82","D84","D85","D86T88","D90T93","D94T96","D97T98"
"TTL_01",1.2065,0.0712,0.01,0.0017,8e-04,0.0025,0.0018,0.0015,0.288,0.0295,0.0172,0.0062,9e-04,0.02,0.0033,0.0067,0.0019,0.0016,0.0012,0.0015,6e-04,0.0013,0.0014,0.0021,9e-04,0.001,0.0037,8e-04,0.0011,0.0033,0.002,8e-04,0.0033,0.0014,9e-04,9e-04,0.0128,8e-04,8e-04,6e-04,7e-04,7e-04,0.0014,0.0017,0.0044,0.0032,0.0023,0.0055,0.0018,0
"TTL_02",4e-04,1.1964,3e-04,0.001,1e-04,4e-04,3e-04,3e-04,8e-04,6e-04,0.0676,0.0094,1e-04,8e-04,2e-04,0.0038,5e-04,4e-04,6e-04,5e-04,1e-04,5e-04,5e-04,9e-04,4e-04,3e-04,0.0023,2e-04,2e-04,0.0022,3e-04,3e-04,2e-04,1e-04,3e-04,3e-04,3e-04,2e-04,2e-04,2e-04,1e-04,2e-04,1e-04,2e-04,4e-04,3e-04,2e-04,2e-04,2e-04,0
"TTL_03",6e-04,1e-04,1.0141,0,0,1e-04,0,1e-04,0.0065,2e-04,1e-04,1e-04,0,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,0,0,1e-04,1e-04,0,0,1e-04,1e-04,1e-04,0,1e-04,0,1e-04,2e-04,1e-04,1e-04,0.003,0,1e-04,1e-04,1e-04,0,1e-04,1e-04,2e-04,1e-04,1e-04,4e-04,2e-04,0
"TTL_05",0.004,9e-04,5e-04,1.0591,0.0037,0.006,0.0047,0.0019,0.0035,0.0028,0.0019,0.0064,0.0046,0.0027,6e-04,0.0025,0.0093,0.0325,0.0081,0.0055,6e-04,0.0027,0.0035,0.0032,0.0014,0.0013,0.0016,0.0243,0.001,0.0017,8e-04,9e-04,0.0011,0.0012,0.0018,7e-04,0.0015,4e-04,5e-04,3e-04,5e-04,0.001,5e-04,5e-04,0.0033,7e-04,5e-04,7e-04,7e-04,0
"TTL_06",0.0271,0.0241,0.0193,0.0449,1.1173,0.0658,0.0505,0.0336,0.0179,0.0199,0.0245,0.0237,0.6629,0.0529,0.0076,0.0261,0.0416,0.0333,0.0194,0.0154,0.004,0.0189,0.0141,0.0137,0.0066,0.0073,0.0127,0.1179,0.0176,0.0236,0.008,0.0578,0.0725,0.1169,0.0225,0.0373,0.0097,0.0039,0.0051,0.0045,0.0069,0.0073,0.0051,0.0079,0.0259,0.0148,0.0063,0.0072,0.0083,0
"TTL_07",9e-04,3e-04,2e-04,0.0011,0.0024,1.0947,0.0024,0.0025,0.0011,0.0014,0.0014,0.0012,0.0018,0.0047,4e-04,0.0021,0.0018,0.0604,0.0524,0.0123,0.0011,0.0078,0.0069,0.0061,0.0029,0.0028,0.0034,6e-04,0.0014,0.0019,3e-04,5e-04,7e-04,5e-04,6e-04,4e-04,4e-04,6e-04,6e-04,5e-04,2e-04,3e-04,4e-04,5e-04,5e-04,3e-04,3e-04,0.0019,0.0013,0
"TTL_08",0.0046,8e-04,3e-04,0.0118,0.0031,0.0039,1.0291,0.0026,0.0024,0.0023,0.0017,0.0031,0.0028,0.0067,9e-04,0.0032,0.0602,0.0137,0.0015,0.0027,4e-04,0.0022,0.0021,0.0025,0.0014,0.0012,0.0014,0.0036,0.0055,0.0152,4e-04,8e-04,7e-04,7e-04,9e-04,6e-04,7e-04,3e-04,6e-04,3e-04,3e-04,0.001,5e-04,4e-04,0.0017,4e-04,4e-04,4e-04,7e-04,0
"TTL_09",0.0033,0.0027,0.0021,0.0285,0.0868,0.0611,0.053,1.0307,0.0023,0.0024,0.003,0.003,0.0715,0.0059,9e-04,0.0032,0.0122,0.0082,0.0051,0.0027,6e-04,0.0028,0.0022,0.0023,0.0011,0.0011,0.0017,0.0142,0.0024,0.0063,0.001,0.0063,0.0079,0.0125,0.0027,0.0041,0.0013,5e-04,7e-04,6e-04,8e-04,0.0013,7e-04,0.001,0.003,0.0017,8e-04,0.001,0.0012,0
"TTL_10T12",0.0822,0.0082,0.0196,0.0015,0.0011,0.002,0.0017,0.002,1.1598,0.0214,0.004,0.0087,0.0013,0.0087,0.0062,0.0056,0.003,0.0023,0.0017,0.002,8e-04,0.0017,0.0019,0.0025,0.0013,0.0015,0.0025,0.0014,0.002,0.0017,0.0028,0.0013,0.0059,0.0041,0.0015,0.0017,0.0473,0.0014,0.0015,0.0014,0.0017,0.0012,0.0029,0.0019,0.0109,0.0108,0.0074,0.0138,0.0047,0
"TTL_13T15",0.0024,7e-04,0.0018,0.001,5e-04,0.0012,9e-04,8e-04,0.002,1.0974,0.0053,0.0101,5e-04,0.0038,0.0012,0.0086,0.0027,0.0013,9e-04,0.0015,4e-04,0.0012,0.0027,0.0084,0.0027,0.0027,0.0108,4e-04,0.0016,0.0021,0.0017,5e-04,0.0024,5e-04,8e-04,9e-04,0.0016,5e-04,0.0013,3e-04,3e-04,3e-04,4e-04,8e-04,0.0015,8e-04,0.0014,0.0011,0.0026,0
