"","D01","D02","D03","D05","D06","D07","D08","D09","D10T12","D13T15","D16","D17T18","D19","D20","D21","D22","D23","D24A","D24B","D25","D26","D27","D28","D29","D301","D302T309","D31T33","D35","D36T39","D41T43","D45T47","D49","D50","D51","D52","D53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T75","D77T82","D84","D85","D86T88","D90T93","D94T96","D97T98"
"TTL_01",1.2105,0.2201,0.002,0.001,8e-04,0.0014,0.0013,0.0011,0.2526,0.0313,0.0166,0.0045,0.0016,0.0256,0.0012,0.0075,0.0017,0.0014,0.001,0.0012,5e-04,0.0013,0.0011,0.0021,0.0014,8e-04,0.0025,6e-04,0.001,0.0021,0.0012,7e-04,0.0015,9e-04,8e-04,6e-04,0.0108,5e-04,6e-04,5e-04,4e-04,5e-04,0.0011,0.0012,0.0027,0.002,0.0019,0.0027,0.0011,0
"TTL_02",4e-04,1.1757,0.001,8e-04,1e-04,6e-04,4e-04,3e-04,0.0012,8e-04,0.0625,0.0072,2e-04,6e-04,1e-04,0.0037,3e-04,3e-04,6e-04,3e-04,2e-04,5e-04,4e-04,9e-04,6e-04,2e-04,0.0021,1e-04,1e-04,0.0021,3e-04,3e-04,2e-04,1e-04,2e-04,2e-04,3e-04,1e-04,2e-04,1e-04,1e-04,2e-04,1e-04,2e-04,2e-04,2e-04,2e-04,1e-04,2e-04,0
"TTL_03",3e-04,1e-04,1.0265,0,0,0,0,0,0.0059,1e-04,0,1e-04,0,1e-04,0,1e-04,0,0,0,0,0,0,0,1e-04,0,0,0,0,0,0,1e-04,0,1e-04,1e-04,0,0,0.0025,0,0,0,0,0,0,0,1e-04,1e-04,1e-04,3e-04,1e-04,0
"TTL_05",0.0024,7e-04,5e-04,1.0425,0.0038,0.0054,0.0036,0.0023,0.0035,0.0019,0.0013,0.0076,0.0045,0.0021,4e-04,0.0021,0.0099,0.0252,0.0069,0.0042,5e-04,0.0021,0.0027,0.0027,0.0013,0.0012,0.0011,0.0137,8e-04,0.0014,5e-04,8e-04,0.001,7e-04,7e-04,6e-04,0.0017,3e-04,4e-04,2e-04,2e-04,5e-04,4e-04,3e-04,0.0016,6e-04,5e-04,5e-04,5e-04,0
"TTL_06",0.0407,0.0154,0.0432,0.0263,1.1563,0.0543,0.0414,0.0318,0.0216,0.0237,0.0239,0.0253,0.6777,0.051,0.0059,0.0302,0.05,0.0356,0.0185,0.0163,0.0048,0.0142,0.0127,0.0155,0.0103,0.0081,0.0127,0.122,0.019,0.0252,0.0093,0.0577,0.09,0.0858,0.031,0.049,0.0117,0.0037,0.0052,0.0059,0.0055,0.0065,0.0053,0.0083,0.0168,0.0176,0.0065,0.0073,0.0081,0
"TTL_07",0.001,3e-04,6e-04,7e-04,0.0013,1.1326,0.0021,0.0023,0.0011,0.0015,0.0012,0.0014,0.0012,0.0062,3e-04,0.0024,0.0019,0.0571,0.06,0.0129,0.0015,0.0084,0.0069,0.0072,0.0037,0.0027,0.0028,4e-04,0.0012,0.0019,3e-04,5e-04,0.0011,4e-04,6e-04,5e-04,5e-04,6e-04,8e-04,3e-04,2e-04,3e-04,5e-04,9e-04,4e-04,5e-04,3e-04,0.0028,0.0021,0
"TTL_08",0.005,0.0014,5e-04,0.0057,9e-04,0.0022,1.0297,0.0026,0.0025,0.0023,0.0016,0.0032,0.0015,0.0075,5e-04,0.0033,0.0749,0.014,0.0015,0.0028,5e-04,0.0023,0.0021,0.0029,0.0016,0.0015,0.0014,0.0024,0.0028,0.0149,5e-04,8e-04,7e-04,4e-04,7e-04,5e-04,8e-04,3e-04,7e-04,3e-04,3e-04,0.0011,6e-04,4e-04,0.0013,5e-04,6e-04,4e-04,7e-04,0
"TTL_09",0.0031,0.0012,0.0032,0.0068,0.0694,0.0185,0.0225,1.0348,0.0018,0.0018,0.0019,0.0021,0.0488,0.0039,5e-04,0.0024,0.0072,0.0039,0.0023,0.0016,4e-04,0.0013,0.0012,0.0014,0.001,7e-04,0.0011,0.0092,0.0015,0.0036,8e-04,0.0042,0.0065,0.0061,0.0024,0.0036,0.001,3e-04,5e-04,5e-04,5e-04,9e-04,5e-04,7e-04,0.0014,0.0014,6e-04,6e-04,8e-04,0
"TTL_10T12",0.047,0.0092,0.0024,7e-04,7e-04,0.001,9e-04,0.001,1.1166,0.0059,0.0022,0.003,0.0012,0.0067,0.0019,0.0036,0.0025,0.0014,0.001,0.0012,5e-04,0.0011,0.0012,0.0016,0.0011,0.001,0.0012,9e-04,0.0011,0.0011,0.0017,9e-04,0.0037,0.0019,8e-04,8e-04,0.0356,8e-04,8e-04,9e-04,7e-04,7e-04,0.0018,9e-04,0.0049,0.0063,0.006,0.0073,0.0025,0
"TTL_13T15",0.0019,6e-04,0.0026,6e-04,4e-04,8e-04,7e-04,6e-04,0.0019,1.0716,0.0035,0.0104,8e-04,0.0032,5e-04,0.0074,0.0017,0.001,7e-04,9e-04,4e-04,0.001,0.0018,0.0063,0.0043,0.0027,0.008,3e-04,0.0012,0.0018,0.0014,5e-04,0.0013,4e-04,6e-04,7e-04,0.0014,4e-04,6e-04,2e-04,2e-04,3e-04,4e-04,6e-04,9e-04,6e-04,0.0013,9e-04,0.002,0
