"","D01","D02","D03","D05","D06","D07","D08","D09","D10T12","D13T15","D16","D17T18","D19","D20","D21","D22","D23","D24A","D24B","D25","D26","D27","D28","D29","D301","D302T309","D31T33","D35","D36T39","D41T43","D45T47","D49","D50","D51","D52","D53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T75","D77T82","D84","D85","D86T88","D90T93","D94T96","D97T98"
"TTL_01",1.2184,0.0507,0.0117,0.0013,9e-04,0.0023,0.0013,7e-04,0.3193,0.0342,0.0065,0.0048,0.0011,0.017,0.0012,0.0053,0.0017,0.0013,9e-04,0.0012,4e-04,0.0011,0.0011,0.0019,7e-04,9e-04,0.0019,6e-04,9e-04,0.0033,0.002,7e-04,0.0036,0.0014,7e-04,6e-04,0.0111,7e-04,7e-04,5e-04,6e-04,6e-04,0.0013,0.0013,0.0039,0.0027,0.0018,0.0054,0.0013,0
"TTL_02",5e-04,1.2338,5e-04,0.001,1e-04,4e-04,3e-04,1e-04,0.0011,8e-04,0.0466,0.0107,1e-04,6e-04,1e-04,0.0032,4e-04,3e-04,7e-04,4e-04,1e-04,5e-04,4e-04,8e-04,3e-04,2e-04,0.0019,1e-04,1e-04,0.0016,3e-04,3e-04,1e-04,1e-04,2e-04,2e-04,3e-04,2e-04,2e-04,2e-04,1e-04,2e-04,1e-04,2e-04,3e-04,2e-04,2e-04,2e-04,2e-04,0
"TTL_03",4e-04,1e-04,1.0237,0,0,0,0,0,0.0062,1e-04,1e-04,1e-04,0,1e-04,0,1e-04,1e-04,1e-04,0,1e-04,0,0,1e-04,1e-04,0,1e-04,1e-04,0,1e-04,0,2e-04,1e-04,2e-04,2e-04,1e-04,1e-04,0.0046,1e-04,1e-04,1e-04,0,1e-04,1e-04,1e-04,2e-04,1e-04,1e-04,6e-04,3e-04,0
"TTL_05",0.0015,4e-04,3e-04,1.0238,0.0013,0.002,0.0013,4e-04,0.0013,0.001,5e-04,0.002,0.0018,9e-04,1e-04,0.001,0.0034,0.0112,0.0031,0.0023,2e-04,0.0011,0.0015,0.0014,5e-04,6e-04,6e-04,0.0134,4e-04,7e-04,5e-04,4e-04,4e-04,4e-04,8e-04,3e-04,0.001,2e-04,3e-04,2e-04,3e-04,8e-04,3e-04,3e-04,0.002,5e-04,3e-04,4e-04,3e-04,0
"TTL_06",0.0368,0.0411,0.04,0.0491,1.2106,0.0727,0.0439,0.0233,0.0247,0.0233,0.0222,0.0295,0.6823,0.0497,0.0046,0.0345,0.0704,0.0336,0.021,0.0185,0.0046,0.0255,0.0158,0.0186,0.0072,0.0092,0.0134,0.1567,0.0213,0.0348,0.0138,0.0592,0.0646,0.1054,0.0325,0.0581,0.0168,0.0063,0.0079,0.0069,0.0091,0.0127,0.0073,0.0127,0.0369,0.0325,0.0083,0.0128,0.0116,0
"TTL_07",9e-04,4e-04,4e-04,9e-04,0.003,1.1421,0.0017,0.0017,0.0012,0.0013,0.0012,0.0014,0.0019,0.0047,2e-04,0.0022,0.0023,0.0683,0.0658,0.0159,9e-04,0.0088,0.009,0.0077,0.003,0.0036,0.0034,7e-04,0.0016,0.0022,5e-04,6e-04,7e-04,5e-04,6e-04,4e-04,6e-04,7e-04,8e-04,0.0011,2e-04,4e-04,6e-04,7e-04,6e-04,5e-04,3e-04,0.0023,0.0015,0
"TTL_08",0.0042,5e-04,3e-04,0.0086,0.0016,0.0021,1.02,0.0011,0.0022,0.0016,9e-04,0.002,0.0015,0.0042,3e-04,0.0026,0.0515,0.0063,8e-04,0.0017,3e-04,0.0016,0.0013,0.0021,9e-04,9e-04,9e-04,0.0014,0.0022,0.0155,4e-04,7e-04,4e-04,4e-04,6e-04,4e-04,7e-04,2e-04,7e-04,3e-04,3e-04,0.0014,5e-04,4e-04,0.0016,5e-04,4e-04,4e-04,7e-04,0
"TTL_09",9e-04,8e-04,8e-04,0.0115,0.0144,0.0129,0.0094,1.0049,7e-04,6e-04,6e-04,8e-04,0.0125,0.0011,1e-04,9e-04,0.0034,0.0017,0.0013,8e-04,2e-04,8e-04,6e-04,8e-04,3e-04,4e-04,4e-04,0.0033,6e-04,0.0018,4e-04,0.0012,0.0013,0.0019,8e-04,0.0011,5e-04,2e-04,3e-04,2e-04,3e-04,8e-04,2e-04,3e-04,0.0011,7e-04,2e-04,4e-04,4e-04,0
"TTL_10T12",0.0539,0.0042,0.0168,8e-04,9e-04,0.0011,8e-04,5e-04,1.1113,0.0096,0.0016,0.0065,0.0012,0.0054,0.0025,0.0036,0.0022,0.0014,9e-04,0.0013,5e-04,0.0011,0.0012,0.0017,7e-04,0.001,0.0012,7e-04,0.0012,0.0012,0.0019,9e-04,0.0043,0.0033,9e-04,7e-04,0.035,0.001,9e-04,8e-04,0.001,7e-04,0.0017,0.0011,0.0068,0.0074,0.0048,0.009,0.0027,0
"TTL_13T15",0.0014,5e-04,5e-04,6e-04,5e-04,8e-04,5e-04,3e-04,0.0014,1.0661,0.0024,0.0079,6e-04,0.0021,4e-04,0.0058,0.002,9e-04,6e-04,0.001,3e-04,8e-04,0.0021,0.008,0.0012,0.0014,0.0067,3e-04,0.0014,0.0013,0.0017,5e-04,7e-04,4e-04,4e-04,0.0012,0.0014,5e-04,4e-04,3e-04,2e-04,3e-04,3e-04,5e-04,0.0012,5e-04,0.0013,0.0022,0.0014,0
