"","D01","D02","D03","D05","D06","D07","D08","D09","D10T12","D13T15","D16","D17T18","D19","D20","D21","D22","D23","D24A","D24B","D25","D26","D27","D28","D29","D301","D302T309","D31T33","D35","D36T39","D41T43","D45T47","D49","D50","D51","D52","D53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T75","D77T82","D84","D85","D86T88","D90T93","D94T96","D97T98"
"TTL_01",1.2213,0.0417,0.0081,0.0012,8e-04,0.0022,0.0013,0.0011,0.2626,0.0249,0.0084,0.0045,0.0011,0.0156,0.0014,0.0046,0.0015,0.0011,8e-04,0.0011,4e-04,9e-04,0.001,0.0016,6e-04,7e-04,0.0022,6e-04,9e-04,0.0024,0.0018,7e-04,0.0034,0.0013,7e-04,6e-04,0.0084,6e-04,6e-04,5e-04,6e-04,5e-04,0.0011,0.0019,0.0035,0.0024,0.0016,0.0045,0.0013,0
"TTL_02",5e-04,1.1719,2e-04,9e-04,1e-04,4e-04,3e-04,2e-04,9e-04,6e-04,0.0448,0.0086,2e-04,6e-04,1e-04,0.003,3e-04,3e-04,6e-04,3e-04,1e-04,4e-04,3e-04,6e-04,2e-04,2e-04,0.0015,1e-04,1e-04,0.0013,2e-04,3e-04,1e-04,1e-04,2e-04,2e-04,2e-04,2e-04,2e-04,2e-04,1e-04,2e-04,1e-04,2e-04,3e-04,2e-04,1e-04,1e-04,2e-04,0
"TTL_03",5e-04,1e-04,1.012,0,0,0,0,0,0.0065,1e-04,1e-04,1e-04,0,1e-04,0,1e-04,1e-04,1e-04,0,0,0,0,0,1e-04,0,0,0,0,1e-04,0,1e-04,0,1e-04,1e-04,0,0,0.0031,0,0,0,0,0,1e-04,1e-04,2e-04,1e-04,1e-04,5e-04,2e-04,0
"TTL_05",0.0023,4e-04,2e-04,1.0362,0.0023,0.0034,0.0024,9e-04,0.002,0.0015,0.001,0.004,0.0036,0.0015,3e-04,0.0014,0.0054,0.0145,0.0035,0.0024,3e-04,0.0012,0.0016,0.0015,6e-04,6e-04,8e-04,0.0178,6e-04,9e-04,5e-04,6e-04,6e-04,7e-04,0.0011,5e-04,0.001,2e-04,3e-04,2e-04,3e-04,8e-04,3e-04,3e-04,0.0024,6e-04,3e-04,5e-04,4e-04,0
"TTL_06",0.0279,0.0153,0.0103,0.0353,1.1163,0.0573,0.0386,0.0278,0.0157,0.0154,0.0166,0.018,0.5852,0.0334,0.004,0.0212,0.0407,0.0221,0.0126,0.0109,0.0028,0.0166,0.0096,0.0108,0.0045,0.0052,0.0087,0.1012,0.0137,0.02,0.0075,0.0465,0.0489,0.0737,0.0211,0.0453,0.0086,0.0034,0.0043,0.0041,0.0061,0.0074,0.0047,0.0078,0.0242,0.0167,0.0051,0.0073,0.007,0
"TTL_07",8e-04,2e-04,1e-04,8e-04,0.002,1.0745,0.0017,0.002,0.001,0.0011,0.0011,0.0011,0.0014,0.0046,2e-04,0.0018,0.0017,0.0527,0.0447,0.0103,7e-04,0.0062,0.0057,0.0053,0.0023,0.0023,0.0026,5e-04,0.0012,0.0016,3e-04,4e-04,6e-04,4e-04,5e-04,4e-04,4e-04,4e-04,5e-04,5e-04,2e-04,3e-04,4e-04,6e-04,4e-04,3e-04,2e-04,0.0022,0.0014,0
"TTL_08",0.0061,5e-04,2e-04,0.0133,0.0031,0.0035,1.033,0.0024,0.0026,0.002,0.0016,0.0029,0.0028,0.0056,4e-04,0.003,0.0659,0.0126,0.0011,0.0024,4e-04,0.002,0.0019,0.0026,0.0012,0.001,0.0012,0.0029,0.0036,0.0166,5e-04,9e-04,7e-04,6e-04,8e-04,6e-04,7e-04,3e-04,7e-04,3e-04,4e-04,0.0012,6e-04,5e-04,0.0019,5e-04,5e-04,5e-04,8e-04,0
"TTL_09",0.0024,0.0012,8e-04,0.016,0.0577,0.0318,0.024,1.015,0.0015,0.0014,0.0016,0.0018,0.0418,0.0028,4e-04,0.002,0.0071,0.0039,0.0026,0.0019,4e-04,0.002,0.0014,0.0021,8e-04,8e-04,0.001,0.0081,0.0014,0.0037,7e-04,0.0035,0.0038,0.0053,0.0018,0.0034,9e-04,3e-04,5e-04,4e-04,6e-04,0.0012,5e-04,7e-04,0.0022,0.0014,5e-04,7e-04,8e-04,0
"TTL_10T12",0.0718,0.0053,0.0156,8e-04,8e-04,0.0013,0.001,0.001,1.1227,0.0088,0.002,0.0065,0.0014,0.0053,0.0027,0.0031,0.0021,0.0014,9e-04,0.0012,5e-04,0.001,0.0011,0.0015,7e-04,8e-04,0.0012,8e-04,0.0012,0.001,0.0021,0.001,0.0059,0.0037,9e-04,8e-04,0.0323,0.001,8e-04,7e-04,0.0011,7e-04,0.0019,0.0012,0.0079,0.008,0.005,0.0107,0.0031,0
"TTL_13T15",0.0021,5e-04,5e-04,9e-04,6e-04,0.0013,8e-04,7e-04,0.002,1.0846,0.0046,0.0118,8e-04,0.0033,6e-04,0.0078,0.0031,0.0011,8e-04,0.0013,3e-04,0.0011,0.0026,0.0088,0.0032,0.003,0.0092,4e-04,0.0017,0.002,0.0021,6e-04,0.0016,5e-04,7e-04,0.001,0.0018,6e-04,0.0015,4e-04,3e-04,4e-04,5e-04,8e-04,0.0015,8e-04,0.0014,0.0012,0.0028,0
