"","D01","D02","D03","D05","D06","D07","D08","D09","D10T12","D13T15","D16","D17T18","D19","D20","D21","D22","D23","D24A","D24B","D25","D26","D27","D28","D29","D301","D302T309","D31T33","D35","D36T39","D41T43","D45T47","D49","D50","D51","D52","D53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T75","D77T82","D84","D85","D86T88","D90T93","D94T96","D97T98"
"TTL_01",1.3529,0.115,0.211,0.0258,0.0191,0.03,0.0313,0.0316,0.6263,0.251,0.1264,0.1724,0.0187,0.0625,0.3068,0.0442,0.0275,0.026,0.03,0.031,0.0361,0.0346,0.0318,0.0309,0.0344,0.038,0.0927,0.0243,0.0527,0.0398,0.0228,0.0211,0.0147,0.06,0.0254,0.0457,0.3014,0.07,0.0262,0.0346,0.0283,0.0137,0.0695,0.0455,0.0379,0.0327,0.1103,0.0837,0.0276,0
"TTL_02",0.0059,1.2274,0.0096,0.0155,0.0035,0.0067,0.0054,0.0075,0.0074,0.0052,0.3447,0.0303,0.0035,0.0146,0.0052,0.0605,0.0064,0.0041,0.0044,0.0079,0.0069,0.0082,0.0064,0.0082,0.0062,0.0083,0.0785,0.0053,0.0073,0.016,0.0026,0.0032,0.0022,0.0054,0.0034,0.0058,0.0053,0.0062,0.0023,0.0042,0.0023,0.0013,0.007,0.0029,0.0026,0.0024,0.0025,0.0042,0.0024,0
"TTL_03",0.008,0.0023,1.1064,0.0025,0.002,0.0033,0.0032,0.003,0.0571,0.0044,0.0055,0.0048,0.002,0.0054,0.0058,0.0035,0.0026,0.0029,0.0031,0.0032,0.0037,0.0035,0.0034,0.003,0.0035,0.0038,0.0038,0.0026,0.0041,0.0032,0.0024,0.003,0.0017,0.007,0.0031,0.004,0.0901,0.0071,0.0026,0.0035,0.0045,0.0016,0.0084,0.0053,0.005,0.0039,0.0031,0.0076,0.0027,0
"TTL_05",0.0175,0.0132,0.0123,1.288,0.0324,0.0606,0.0687,0.0448,0.0178,0.0218,0.0262,0.0456,0.0721,0.0798,0.0209,0.0439,0.1046,0.0984,0.0597,0.0521,0.0279,0.0386,0.0353,0.0306,0.0371,0.0335,0.0297,0.2338,0.0318,0.0463,0.0098,0.0227,0.0255,0.026,0.0218,0.0174,0.0148,0.0174,0.0124,0.0123,0.0062,0.0047,0.0197,0.0076,0.0089,0.0088,0.0112,0.0092,0.0091,0
"TTL_06",0.0339,0.0285,0.0295,0.0385,1.067,0.0962,0.0935,0.0843,0.0283,0.0358,0.0454,0.0472,0.635,0.1741,0.0339,0.0934,0.0709,0.0961,0.0752,0.0647,0.0421,0.0549,0.0501,0.0474,0.0555,0.0519,0.0493,0.1602,0.0467,0.0563,0.0212,0.0683,0.1884,0.1612,0.1178,0.0476,0.0249,0.0277,0.0162,0.0193,0.0118,0.0074,0.0427,0.0215,0.0158,0.0143,0.0177,0.0155,0.015,0
"TTL_07",0.0053,0.0057,0.0056,0.0236,0.0166,1.1907,0.0188,0.0405,0.0053,0.0061,0.0092,0.0188,0.0127,0.0223,0.0067,0.0165,0.0244,0.2494,0.2934,0.1089,0.0367,0.0868,0.0654,0.0544,0.0635,0.0627,0.0304,0.0154,0.0121,0.0452,0.0058,0.0088,0.0098,0.0118,0.0112,0.0092,0.0045,0.0069,0.0066,0.0079,0.0028,0.0022,0.014,0.0045,0.0036,0.003,0.004,0.0034,0.0053,0
"TTL_08",0.0029,0.0024,0.0016,0.0028,0.004,0.0052,1.0251,0.0125,0.0026,0.003,0.0039,0.0072,0.0035,0.02,0.0042,0.0091,0.099,0.0049,0.0058,0.0052,0.0068,0.009,0.0045,0.006,0.0051,0.0051,0.0053,0.0029,0.0038,0.0304,0.0013,0.0017,0.0017,0.0022,0.0022,0.002,0.0018,0.0025,0.0013,0.0017,8e-04,9e-04,0.0031,0.001,0.0012,0.0013,0.0018,0.0012,0.0013,0
"TTL_09",0.0032,0.0027,0.0028,0.0063,0.095,0.0104,0.0128,1.0115,0.0029,0.0034,0.0043,0.0045,0.0592,0.0163,0.0032,0.0087,0.0079,0.0095,0.0075,0.0063,0.0041,0.0053,0.0048,0.0046,0.0053,0.005,0.0047,0.0152,0.0045,0.006,0.002,0.0064,0.0176,0.0151,0.011,0.0045,0.0024,0.0026,0.0015,0.0018,0.0011,7e-04,0.004,0.002,0.0015,0.0014,0.0017,0.0015,0.0014,0
"TTL_10T12",0.1487,0.0258,0.1796,0.0229,0.0195,0.0367,0.0359,0.0284,1.2703,0.063,0.0401,0.0444,0.021,0.0626,0.0791,0.0374,0.0257,0.0334,0.0417,0.0368,0.0437,0.0404,0.0389,0.0316,0.041,0.0445,0.0391,0.0303,0.0526,0.0294,0.0229,0.0235,0.0157,0.0913,0.0291,0.0425,0.3489,0.0543,0.0275,0.0318,0.0268,0.0147,0.056,0.033,0.034,0.0431,0.0423,0.1223,0.0293,0
"TTL_13T15",0.0137,0.0144,0.0129,0.0446,0.0264,0.0311,0.036,0.0724,0.0238,1.8673,0.0336,0.091,0.0235,0.0362,0.073,0.0568,0.0381,0.0255,0.0248,0.0362,0.0381,0.0391,0.0354,0.0551,0.0502,0.0588,0.2088,0.0264,0.0826,0.0298,0.0291,0.0276,0.0201,0.0462,0.0334,0.082,0.0442,0.1328,0.0222,0.0238,0.0318,0.0134,0.0584,0.0409,0.0881,0.0198,0.0676,0.0839,0.0238,0
