"","D01","D02","D03","D05","D06","D07","D08","D09","D10T12","D13T15","D16","D17T18","D19","D20","D21","D22","D23","D24A","D24B","D25","D26","D27","D28","D29","D301","D302T309","D31T33","D35","D36T39","D41T43","D45T47","D49","D50","D51","D52","D53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T75","D77T82","D84","D85","D86T88","D90T93","D94T96","D97T98"
"TTL_01",1.2692,0.0946,0.1426,0.0235,0.0132,0.0308,0.0321,0.0301,0.589,0.2915,0.1089,0.1514,0.0167,0.0844,0.3668,0.0655,0.0404,0.0294,0.0321,0.0377,0.0361,0.0389,0.0373,0.0365,0.0328,0.0364,0.0998,0.0213,0.0474,0.0483,0.0237,0.0347,0.042,0.0671,0.1487,0.0426,0.2774,0.0778,0.0321,0.0361,0.0314,0.017,0.0678,0.0513,0.0436,0.0343,0.1555,0.1616,0.0656,0
"TTL_02",0.0044,1.1485,0.0043,0.0128,0.0022,0.0063,0.0057,0.0072,0.0062,0.0059,0.311,0.0265,0.0027,0.0164,0.0053,0.0683,0.0088,0.0052,0.0057,0.0102,0.0083,0.0097,0.009,0.0085,0.0075,0.0102,0.068,0.0051,0.0079,0.018,0.0025,0.0046,0.0024,0.0076,0.0041,0.0056,0.0042,0.0066,0.0032,0.0052,0.0029,0.002,0.0074,0.0043,0.0028,0.0026,0.0037,0.0105,0.006,0
"TTL_03",0.0112,0.0026,1.1844,0.0027,0.0015,0.0037,0.0038,0.0033,0.0606,0.0073,0.0062,0.0065,0.0019,0.0088,0.0086,0.0056,0.0042,0.0035,0.0037,0.0043,0.0041,0.0044,0.0044,0.0036,0.0037,0.004,0.0056,0.0026,0.0073,0.0042,0.0029,0.0039,0.0093,0.0074,0.0059,0.0063,0.0947,0.0078,0.0036,0.0039,0.0054,0.0022,0.01,0.0071,0.0055,0.005,0.0055,0.0109,0.0071,0
"TTL_05",0.0165,0.0135,0.0095,1.227,0.0281,0.0598,0.0553,0.0598,0.0185,0.0267,0.0313,0.0537,0.0613,0.0908,0.0272,0.058,0.1178,0.1156,0.0781,0.0737,0.0321,0.0502,0.0497,0.0388,0.0438,0.0439,0.041,0.2774,0.0454,0.0576,0.0115,0.0291,0.023,0.0309,0.0245,0.0214,0.0133,0.0228,0.0163,0.0181,0.0099,0.0084,0.027,0.0173,0.0135,0.0094,0.0205,0.024,0.0283,0
"TTL_06",0.0338,0.0332,0.0302,0.0367,1.058,0.0777,0.0789,0.078,0.0306,0.0407,0.0477,0.0601,0.6729,0.1831,0.0403,0.0961,0.084,0.095,0.0795,0.074,0.0475,0.0626,0.0575,0.049,0.0541,0.0553,0.0528,0.174,0.0527,0.0642,0.021,0.1031,0.1701,0.2076,0.1096,0.0499,0.0231,0.0369,0.0218,0.0291,0.0186,0.0125,0.0581,0.0566,0.0281,0.0156,0.0298,0.0367,0.0425,0
"TTL_07",0.0052,0.0055,0.0038,0.0268,0.0166,1.2089,0.0274,0.0398,0.006,0.0079,0.0126,0.0165,0.0137,0.0271,0.0106,0.0211,0.0365,0.3495,0.3148,0.1379,0.037,0.103,0.0894,0.0657,0.0807,0.0766,0.0429,0.0178,0.0287,0.0679,0.0069,0.0137,0.011,0.0168,0.015,0.0155,0.0045,0.0093,0.0149,0.0141,0.0057,0.0055,0.0231,0.0131,0.0065,0.0035,0.0089,0.0098,0.0141,0
"TTL_08",0.0038,0.0035,0.0022,0.0069,0.0454,0.0099,1.0243,0.0128,0.0039,0.0049,0.0057,0.0076,0.0299,0.0269,0.0058,0.0131,0.0975,0.0113,0.0103,0.0096,0.0078,0.0117,0.0077,0.0078,0.0072,0.0077,0.0089,0.0103,0.0065,0.0306,0.002,0.0064,0.0084,0.0108,0.0071,0.0055,0.0025,0.005,0.003,0.0038,0.0021,0.0022,0.0062,0.0044,0.003,0.0019,0.004,0.0051,0.0053,0
"TTL_09",0.0028,0.0027,0.0025,0.006,0.0783,0.0085,0.0106,1.0109,0.0029,0.0033,0.0039,0.0049,0.054,0.0147,0.0033,0.0078,0.0091,0.0086,0.0072,0.0064,0.004,0.0054,0.0049,0.0042,0.0046,0.0047,0.0044,0.0143,0.0045,0.0067,0.0017,0.0084,0.0137,0.0168,0.0089,0.0041,0.002,0.0031,0.0018,0.0024,0.0015,0.0011,0.0048,0.0046,0.0023,0.0013,0.0025,0.0031,0.0035,0
"TTL_10T12",0.1902,0.0337,0.1789,0.0276,0.0175,0.0404,0.0423,0.0315,1.3797,0.1028,0.0484,0.063,0.0235,0.1011,0.1222,0.0634,0.046,0.039,0.0436,0.0469,0.0457,0.0482,0.0465,0.0378,0.0408,0.044,0.0566,0.0279,0.0595,0.0432,0.0283,0.0381,0.0573,0.1158,0.0796,0.0522,0.4315,0.0788,0.0389,0.038,0.0373,0.0215,0.0681,0.057,0.0548,0.0483,0.0794,0.1409,0.0921,0
"TTL_13T15",0.0101,0.0105,0.0062,0.0215,0.0118,0.0272,0.0246,0.0342,0.0154,1.7761,0.0278,0.0526,0.0122,0.0361,0.0579,0.109,0.0451,0.0245,0.0266,0.0353,0.0278,0.036,0.0373,0.0689,0.0356,0.044,0.1946,0.0169,0.0579,0.0362,0.0161,0.0265,0.0139,0.0324,0.0356,0.0318,0.029,0.1363,0.0169,0.0192,0.0274,0.0151,0.0416,0.0455,0.0794,0.0115,0.0678,0.0612,0.0464,0
