"","D01","D02","D03","D05","D06","D07","D08","D09","D10T12","D13T15","D16","D17T18","D19","D20","D21","D22","D23","D24A","D24B","D25","D26","D27","D28","D29","D301","D302T309","D31T33","D35","D36T39","D41T43","D45T47","D49","D50","D51","D52","D53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T75","D77T82","D84","D85","D86T88","D90T93","D94T96","D97T98"
"TTL_01",1.3235,0.1067,0.1992,0.0264,0.0204,0.0287,0.0319,0.0311,0.6047,0.2493,0.1131,0.1567,0.0207,0.0641,0.2849,0.0445,0.0289,0.0277,0.0295,0.0309,0.0337,0.0338,0.0326,0.029,0.0317,0.0353,0.0878,0.0268,0.0496,0.0411,0.0212,0.0194,0.015,0.0619,0.0241,0.0444,0.2827,0.0666,0.0261,0.0332,0.0272,0.0131,0.0662,0.0441,0.0368,0.0257,0.1054,0.0805,0.034,0
"TTL_02",0.0052,1.1956,0.008,0.0156,0.0038,0.0065,0.0055,0.0076,0.0072,0.0053,0.3262,0.0295,0.0039,0.0143,0.0051,0.0625,0.0069,0.0045,0.0045,0.0079,0.0067,0.0083,0.0068,0.0081,0.006,0.0085,0.0791,0.006,0.0072,0.0164,0.0025,0.003,0.0023,0.0054,0.0033,0.006,0.005,0.0065,0.0024,0.0044,0.0026,0.0013,0.0071,0.003,0.0029,0.0019,0.0025,0.0045,0.003,0
"TTL_03",0.0088,0.0023,1.094,0.0026,0.0023,0.0033,0.0035,0.003,0.0607,0.005,0.0055,0.0051,0.0023,0.006,0.0061,0.0038,0.0029,0.0032,0.0032,0.0034,0.0036,0.0035,0.0036,0.0029,0.0033,0.0036,0.004,0.0029,0.0042,0.0033,0.0023,0.0028,0.0018,0.0073,0.003,0.004,0.0787,0.0065,0.0027,0.0033,0.0041,0.0016,0.0082,0.0053,0.0047,0.003,0.0033,0.0077,0.0034,0
"TTL_05",0.0168,0.013,0.0118,1.2762,0.0311,0.0591,0.0677,0.0454,0.0177,0.0224,0.0274,0.0456,0.0816,0.0806,0.0208,0.0448,0.108,0.1017,0.0611,0.0538,0.0277,0.0399,0.0353,0.0303,0.036,0.0337,0.0308,0.2528,0.0313,0.0479,0.0097,0.0207,0.0271,0.0277,0.0218,0.0178,0.0146,0.0184,0.0127,0.012,0.0065,0.0047,0.0199,0.0079,0.0094,0.0069,0.0117,0.0097,0.0114,0
"TTL_06",0.0281,0.0246,0.0244,0.0362,1.0589,0.0832,0.0858,0.0751,0.0245,0.0321,0.0415,0.0428,0.6034,0.1514,0.0291,0.0812,0.0672,0.091,0.0672,0.0585,0.0364,0.0494,0.0436,0.04,0.0469,0.045,0.0445,0.1491,0.0402,0.0523,0.0178,0.0592,0.1697,0.1481,0.1025,0.0426,0.0208,0.0256,0.0143,0.0164,0.0103,0.0065,0.0368,0.0196,0.0134,0.0096,0.0158,0.0144,0.0162,0
"TTL_07",0.005,0.0055,0.0051,0.0249,0.0195,1.1581,0.0194,0.0418,0.0053,0.0063,0.0095,0.0209,0.0146,0.0222,0.0066,0.0167,0.0257,0.2658,0.2808,0.1095,0.0356,0.0859,0.0614,0.0529,0.0607,0.0613,0.0304,0.0178,0.0117,0.0483,0.0056,0.0087,0.0101,0.0121,0.0108,0.0098,0.0044,0.0076,0.0067,0.0079,0.0031,0.0022,0.0142,0.0047,0.004,0.0025,0.0049,0.0037,0.0057,0
"TTL_08",0.0027,0.0023,0.0015,0.0029,0.0038,0.0049,1.024,0.0116,0.0025,0.0031,0.004,0.0071,0.0036,0.0199,0.004,0.009,0.1001,0.0054,0.0059,0.0054,0.0065,0.0089,0.0048,0.0057,0.0048,0.005,0.0053,0.0032,0.0037,0.0306,0.0012,0.0015,0.0017,0.0022,0.0021,0.002,0.0018,0.0027,0.0013,0.0017,9e-04,8e-04,0.0031,0.001,0.0014,0.001,0.0018,0.0013,0.0015,0
"TTL_09",0.0028,0.0024,0.0025,0.0062,0.0994,0.0095,0.0123,1.0106,0.0027,0.0032,0.0041,0.0043,0.0596,0.015,0.0029,0.0081,0.0078,0.0095,0.007,0.006,0.0037,0.0051,0.0044,0.0041,0.0048,0.0046,0.0045,0.015,0.0041,0.0058,0.0018,0.0059,0.0168,0.0147,0.0102,0.0042,0.0021,0.0026,0.0014,0.0017,0.001,7e-04,0.0037,0.002,0.0014,0.001,0.0016,0.0015,0.0016,0
"TTL_10T12",0.1697,0.0292,0.2051,0.0283,0.0248,0.0405,0.0429,0.0342,1.3285,0.0773,0.0466,0.0512,0.0276,0.0811,0.0902,0.0471,0.0326,0.0411,0.0461,0.0424,0.047,0.0459,0.0449,0.0348,0.043,0.0469,0.0467,0.0381,0.0584,0.0361,0.0253,0.0257,0.0191,0.1073,0.0325,0.0494,0.4114,0.0616,0.0332,0.0344,0.0313,0.0163,0.066,0.0387,0.0407,0.0398,0.0494,0.1292,0.0401,0
"TTL_13T15",0.0119,0.0124,0.0113,0.0436,0.0287,0.0282,0.0347,0.0651,0.0222,1.8479,0.0315,0.0966,0.0252,0.0326,0.0619,0.0535,0.0384,0.0254,0.0234,0.0343,0.0337,0.0365,0.0384,0.0498,0.0444,0.0533,0.1998,0.0281,0.0701,0.0281,0.0257,0.0223,0.0193,0.0434,0.0296,0.0726,0.0388,0.1223,0.0199,0.0223,0.0285,0.0119,0.0511,0.034,0.0783,0.0144,0.063,0.0788,0.0267,0
"TTL_16",0.0025,0.003,0.0025,0.044,0.005,0.0117,0.008,0.0076,0.004,0.0051,1.4193,0.0275,0.0061,0.0088,0.0045,0.0089,0.0129,0.0083,0.0076,0.0191,0.0079,0.009,0.0093,0.0095,0.0092,0.0091,0.2157,0.0135,0.0086,0.0368,0.003,0.0036,0.0035,0.0073,0.0041,0.0063,0.0031,0.0073,0.003,0.0053,0.0041,0.0021,0.0084,0.0031,0.0047,0.0028,0.0026,0.0097,0.0034,0
