"","D01","D02","D03","D05","D06","D07","D08","D09","D10T12","D13T15","D16","D17T18","D19","D20","D21","D22","D23","D24A","D24B","D25","D26","D27","D28","D29","D301","D302T309","D31T33","D35","D36T39","D41T43","D45T47","D49","D50","D51","D52","D53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T75","D77T82","D84","D85","D86T88","D90T93","D94T96","D97T98"
"TTL_01",1.3689,0.1249,0.2254,0.026,0.0192,0.029,0.0311,0.0331,0.6326,0.2494,0.1279,0.1794,0.0231,0.0714,0.3457,0.049,0.0296,0.029,0.0301,0.033,0.0378,0.0371,0.0339,0.0336,0.0384,0.0416,0.096,0.029,0.0591,0.0424,0.0234,0.0241,0.0168,0.0598,0.0289,0.0464,0.307,0.0724,0.027,0.0375,0.0292,0.0138,0.0734,0.0472,0.0395,0.036,0.1247,0.0834,0.0295,0
"TTL_02",0.0057,1.2265,0.0093,0.0143,0.0032,0.0058,0.0051,0.0071,0.0071,0.0049,0.3471,0.0316,0.0037,0.0163,0.0053,0.0619,0.0064,0.0042,0.004,0.0077,0.0067,0.0081,0.0063,0.0079,0.0063,0.0085,0.0734,0.0055,0.0076,0.016,0.0025,0.0033,0.0023,0.0044,0.0035,0.0056,0.0052,0.0062,0.0022,0.0044,0.0022,0.0012,0.0069,0.0028,0.0024,0.0025,0.0025,0.004,0.0024,0
"TTL_03",0.0085,0.0024,1.0973,0.0025,0.0021,0.0032,0.0033,0.0031,0.0589,0.0046,0.0055,0.0052,0.0024,0.0062,0.0064,0.0039,0.0028,0.0033,0.0032,0.0035,0.0039,0.0037,0.0037,0.0033,0.0039,0.0042,0.0039,0.0031,0.0046,0.0035,0.0025,0.0034,0.0019,0.007,0.0036,0.0041,0.0913,0.0072,0.0027,0.0037,0.0046,0.0016,0.0089,0.0055,0.0054,0.0045,0.0035,0.0075,0.0029,0
"TTL_05",0.0162,0.0125,0.0116,1.2698,0.0305,0.0578,0.0717,0.0426,0.0158,0.02,0.0259,0.044,0.0772,0.0818,0.0199,0.0439,0.1068,0.0942,0.0574,0.0516,0.0272,0.0378,0.0346,0.0298,0.0383,0.0332,0.0289,0.2553,0.033,0.0469,0.0097,0.0263,0.0259,0.0266,0.0219,0.0175,0.0142,0.0165,0.0124,0.0122,0.0062,0.0044,0.0194,0.0075,0.0088,0.009,0.0111,0.0089,0.009,0
"TTL_06",0.0288,0.0247,0.0249,0.0344,1.0524,0.0787,0.089,0.073,0.024,0.0307,0.0406,0.0422,0.6055,0.1637,0.0296,0.084,0.067,0.0943,0.0658,0.0602,0.0378,0.0496,0.0459,0.0427,0.0529,0.0475,0.0437,0.1782,0.0457,0.0551,0.0189,0.0703,0.1645,0.1552,0.1113,0.0459,0.0224,0.0243,0.0152,0.0176,0.0117,0.0066,0.0395,0.0192,0.0146,0.0139,0.0162,0.0137,0.0137,0
"TTL_07",0.0056,0.0062,0.0064,0.0282,0.0192,1.2031,0.0216,0.0482,0.0056,0.0066,0.0102,0.0207,0.0156,0.0251,0.0074,0.0191,0.0298,0.3289,0.3119,0.1361,0.0414,0.0965,0.079,0.0631,0.0823,0.0742,0.0346,0.0199,0.0141,0.0596,0.0066,0.0115,0.0144,0.0135,0.0122,0.0106,0.005,0.0074,0.0072,0.0088,0.0031,0.0024,0.016,0.0051,0.004,0.0035,0.0047,0.0037,0.0061,0
"TTL_08",0.0025,0.0021,0.0014,0.0026,0.0036,0.0045,1.0258,0.0122,0.0022,0.0027,0.0036,0.0073,0.0035,0.0199,0.0038,0.0087,0.1001,0.005,0.0052,0.005,0.0062,0.0085,0.0043,0.0057,0.0051,0.0051,0.0048,0.0031,0.0037,0.0312,0.0012,0.0018,0.0017,0.0021,0.0023,0.0019,0.0016,0.0024,0.0012,0.0017,8e-04,8e-04,0.003,9e-04,0.0012,0.0013,0.0017,0.0011,0.0012,0
"TTL_09",0.0027,0.0023,0.0024,0.0063,0.0931,0.009,0.0125,1.0103,0.0024,0.0029,0.0038,0.004,0.0561,0.0153,0.0028,0.0078,0.0075,0.0094,0.0067,0.0059,0.0036,0.0048,0.0044,0.0041,0.0051,0.0046,0.0042,0.0168,0.0043,0.0058,0.0018,0.0066,0.0153,0.0144,0.0103,0.0043,0.0022,0.0023,0.0014,0.0017,0.0011,6e-04,0.0037,0.0018,0.0014,0.0013,0.0015,0.0013,0.0013,0
"TTL_10T12",0.1567,0.0277,0.1927,0.0231,0.0196,0.0351,0.0353,0.0298,1.2796,0.0649,0.0413,0.0477,0.0274,0.0721,0.0876,0.0418,0.0277,0.0368,0.0414,0.039,0.0449,0.043,0.0411,0.0346,0.0452,0.0486,0.0399,0.036,0.0592,0.0324,0.0236,0.0274,0.0185,0.0902,0.0336,0.0427,0.3605,0.0559,0.0283,0.0336,0.0278,0.0146,0.0597,0.0348,0.0348,0.047,0.0473,0.1169,0.0314,0
"TTL_13T15",0.0144,0.0154,0.0138,0.0489,0.0288,0.0318,0.0363,0.0804,0.0244,1.8777,0.0358,0.1025,0.0291,0.0422,0.0755,0.0663,0.044,0.0309,0.0269,0.0414,0.0448,0.0455,0.0417,0.0639,0.0602,0.0681,0.2242,0.0346,0.096,0.0354,0.0316,0.0315,0.0241,0.0499,0.0411,0.0885,0.0488,0.1465,0.0249,0.0277,0.0347,0.0146,0.0652,0.0461,0.0963,0.022,0.0763,0.0976,0.0262,0
"TTL_16",0.002,0.0023,0.0019,0.0378,0.0033,0.009,0.0064,0.006,0.003,0.0041,1.3684,0.0257,0.0047,0.0077,0.0036,0.0082,0.0108,0.0066,0.0059,0.0172,0.0071,0.0079,0.0081,0.008,0.0086,0.008,0.1803,0.0112,0.0073,0.0345,0.0024,0.0033,0.0029,0.0047,0.0036,0.0047,0.0024,0.0056,0.0022,0.0043,0.0027,0.0015,0.0064,0.0023,0.0031,0.0027,0.0021,0.0077,0.0021,0
"TTL_17T18",0.0115,0.0099,0.0122,0.0152,0.0118,0.0159,0.0214,0.0193,0.0289,0.0209,0.027,1.4229,0.0121,0.0259,0.0442,0.0284,0.0389,0.0147,0.0151,0.0214,0.0356,0.035,0.0251,0.0241,0.0243,0.0255,0.0727,0.016,0.0181,0.0283,0.0342,0.0143,0.0118,0.0208,0.0154,0.0934,0.0217,0.1806,0.0216,0.1098,0.0409,0.0163,0.1211,0.0387,0.0369,0.0366,0.0195,0.0221,0.0098,0
"TTL_19",0.0363,0.0333,0.0366,0.0389,0.0432,0.1009,0.1201,0.1022,0.0313,0.0386,0.0507,0.0499,1.1033,0.193,0.0371,0.0977,0.0847,0.1366,0.0756,0.0732,0.0473,0.0608,0.0568,0.0532,0.0664,0.0579,0.0548,0.0689,0.0528,0.0756,0.027,0.1092,0.2946,0.2759,0.1943,0.0721,0.0288,0.0311,0.0168,0.0226,0.0167,0.0086,0.0574,0.0299,0.0203,0.0192,0.0206,0.0178,0.0172,0
"TTL_20",0.1643,0.1316,0.0543,0.0656,0.1278,0.1319,0.1889,0.1798,0.1002,0.1671,0.201,0.2136,0.1243,1.5439,0.1334,0.576,0.1349,0.0826,0.1004,0.096,0.1105,0.1547,0.0874,0.1085,0.1135,0.1243,0.1953,0.0616,0.1609,0.1207,0.0356,0.0452,0.0514,0.0679,0.0536,0.0624,0.0686,0.0893,0.0268,0.0467,0.0222,0.0123,0.1103,0.0325,0.0312,0.041,0.057,0.0354,0.0557,0
"TTL_21",0.0137,0.005,0.0147,0.002,0.0019,0.002,0.0022,0.0022,0.0085,0.0038,0.0035,0.0081,0.002,0.006,1.3123,0.0042,0.0034,0.0021,0.0017,0.0026,0.004,0.0027,0.0028,0.0021,0.0023,0.0027,0.0036,0.0018,0.0048,0.0041,0.0013,0.0012,0.0015,0.0026,0.0018,0.0032,0.0049,0.003,0.0024,0.0026,0.0014,7e-04,0.0091,0.0014,0.002,0.0035,0.3975,0.0019,0.0016,0
"TTL_22",0.0271,0.0175,0.0155,0.019,0.0201,0.0316,0.0274,0.081,0.0309,0.0372,0.029,0.053,0.0206,0.054,0.026,1.2787,0.032,0.021,0.0209,0.0346,0.0712,0.0859,0.0595,0.0954,0.0468,0.1062,0.0827,0.0205,0.0502,0.0406,0.0179,0.0346,0.0148,0.0206,0.0358,0.0478,0.0204,0.0202,0.0141,0.0196,0.0069,0.0041,0.0287,0.012,0.009,0.0071,0.0146,0.012,0.0169,0
"TTL_23",0.0052,0.0055,0.0072,0.0136,0.0119,0.016,0.0375,0.0565,0.0096,0.0059,0.0112,0.0101,0.0154,0.0174,0.0173,0.0169,1.2431,0.032,0.0307,0.0342,0.0521,0.0584,0.0287,0.0422,0.0301,0.0287,0.0198,0.0184,0.0145,0.2271,0.0057,0.0093,0.0087,0.0107,0.0095,0.0079,0.007,0.0072,0.0076,0.0084,0.0033,0.0046,0.0131,0.0042,0.0054,0.0069,0.0086,0.0048,0.005,0
"TTL_24A",0.0088,0.0111,0.0136,0.0855,0.0525,0.0453,0.0427,0.1307,0.0097,0.0106,0.0181,0.019,0.0384,0.0257,0.0113,0.0285,0.0618,1.2895,0.0363,0.3293,0.0505,0.0848,0.1807,0.1151,0.2184,0.1286,0.0501,0.0391,0.0235,0.1865,0.0098,0.0222,0.0358,0.0249,0.0251,0.0183,0.0088,0.0104,0.0099,0.0115,0.0054,0.0053,0.0258,0.009,0.0074,0.0061,0.0072,0.0067,0.0097,0
"TTL_24B",0.0113,0.0123,0.0132,0.03,0.0255,0.0442,0.0376,0.0605,0.0124,0.014,0.0209,0.0742,0.0215,0.0421,0.0159,0.04,0.0466,0.0528,1.5988,0.2022,0.1423,0.3829,0.1683,0.1715,0.1328,0.2103,0.1055,0.0486,0.0332,0.0547,0.0195,0.028,0.0244,0.0334,0.027,0.0281,0.0115,0.0212,0.0228,0.0284,0.0079,0.0046,0.0409,0.0126,0.0097,0.0083,0.0116,0.0089,0.0163,0
