"","D01","D02","D03","D05","D06","D07","D08","D09","D10T12","D13T15","D16","D17T18","D19","D20","D21","D22","D23","D24A","D24B","D25","D26","D27","D28","D29","D301","D302T309","D31T33","D35","D36T39","D41T43","D45T47","D49","D50","D51","D52","D53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T75","D77T82","D84","D85","D86T88","D90T93","D94T96","D97T98"
"TTL_01",1.3762,0.1311,0.23,0.0276,0.0209,0.0305,0.0328,0.035,0.6412,0.2635,0.1359,0.1911,0.0222,0.0741,0.3542,0.0512,0.0309,0.0304,0.0316,0.0348,0.0402,0.0391,0.036,0.0354,0.0406,0.044,0.1023,0.0279,0.0626,0.0456,0.0247,0.025,0.0171,0.0623,0.0301,0.0489,0.3135,0.0761,0.0286,0.0396,0.0306,0.0146,0.078,0.0498,0.041,0.0352,0.131,0.0867,0.0333,0
"TTL_02",0.0052,1.22,0.0087,0.0142,0.0033,0.0057,0.005,0.007,0.0066,0.0047,0.3442,0.0309,0.0034,0.0156,0.0049,0.0617,0.0062,0.0041,0.0039,0.0076,0.0067,0.008,0.0063,0.0078,0.0062,0.0084,0.0729,0.0051,0.0074,0.0161,0.0024,0.0032,0.0022,0.0042,0.0033,0.0054,0.0049,0.006,0.0021,0.0043,0.0021,0.0011,0.0068,0.0028,0.0024,0.0022,0.0024,0.0038,0.0024,0
"TTL_03",0.0088,0.0025,1.0994,0.0027,0.0023,0.0034,0.0035,0.0033,0.0602,0.005,0.0059,0.0056,0.0024,0.0065,0.0066,0.0041,0.003,0.0034,0.0034,0.0037,0.0042,0.004,0.0039,0.0035,0.0042,0.0044,0.0041,0.003,0.0048,0.0037,0.0027,0.0036,0.002,0.0073,0.0038,0.0044,0.0935,0.0076,0.0029,0.0039,0.0048,0.0017,0.0095,0.0058,0.0056,0.0044,0.0036,0.0079,0.0033,0
"TTL_05",0.0152,0.0121,0.0108,1.2943,0.0319,0.0591,0.0748,0.0436,0.0152,0.0197,0.0257,0.0451,0.0663,0.0822,0.0191,0.044,0.113,0.1011,0.0592,0.0534,0.0277,0.0388,0.0357,0.0305,0.0393,0.034,0.029,0.2426,0.0326,0.0488,0.0096,0.0253,0.0233,0.0239,0.0202,0.017,0.0136,0.0164,0.0122,0.0121,0.0061,0.0043,0.0192,0.0073,0.0086,0.0083,0.0107,0.0087,0.0095,0
"TTL_06",0.0322,0.0282,0.0273,0.0422,1.0708,0.0951,0.1069,0.0871,0.0271,0.0357,0.0478,0.05,0.6657,0.1974,0.0337,0.1017,0.0802,0.1121,0.0806,0.0733,0.0454,0.06,0.0558,0.0517,0.0641,0.0576,0.0519,0.224,0.0545,0.0656,0.022,0.0807,0.1835,0.1712,0.1251,0.0526,0.0257,0.0286,0.0183,0.0208,0.0135,0.0078,0.0458,0.0221,0.017,0.0149,0.0186,0.0159,0.017,0
"TTL_07",0.0045,0.0051,0.0052,0.0244,0.0172,1.1806,0.0187,0.0422,0.0046,0.0055,0.0086,0.0179,0.0135,0.0214,0.0061,0.0164,0.0256,0.2948,0.2795,0.1204,0.0367,0.0862,0.07,0.0558,0.0726,0.0657,0.0303,0.0162,0.012,0.0523,0.0057,0.0097,0.0123,0.0115,0.0104,0.0091,0.0041,0.0063,0.0061,0.0075,0.0027,0.002,0.0136,0.0043,0.0034,0.0028,0.0038,0.0031,0.0053,0
"TTL_08",0.0024,0.0021,0.0013,0.0026,0.0038,0.0046,1.0271,0.0127,0.0021,0.0026,0.0035,0.0073,0.0034,0.0198,0.0036,0.0087,0.1026,0.005,0.0053,0.0051,0.0063,0.0086,0.0044,0.0058,0.0052,0.0051,0.0048,0.0029,0.0036,0.0323,0.0012,0.0018,0.0017,0.002,0.0023,0.0019,0.0016,0.0023,0.0012,0.0017,7e-04,8e-04,0.0029,9e-04,0.0011,0.0012,0.0017,0.0011,0.0013,0
"TTL_09",0.0031,0.0027,0.0026,0.0071,0.0971,0.0106,0.0143,1.0117,0.0027,0.0034,0.0045,0.0048,0.0624,0.0186,0.0032,0.0096,0.0088,0.0112,0.0081,0.0072,0.0044,0.0059,0.0054,0.005,0.0062,0.0056,0.005,0.0213,0.0052,0.0069,0.0021,0.0076,0.0172,0.0161,0.0118,0.005,0.0025,0.0027,0.0018,0.002,0.0013,7e-04,0.0044,0.0021,0.0016,0.0014,0.0018,0.0015,0.0016,0
"TTL_10T12",0.1617,0.0289,0.1979,0.0242,0.021,0.0363,0.0367,0.0309,1.2867,0.0698,0.0432,0.0502,0.0252,0.0743,0.0899,0.0431,0.0284,0.038,0.0431,0.0406,0.0471,0.0449,0.043,0.0361,0.0473,0.0508,0.0419,0.0337,0.0623,0.034,0.0247,0.0281,0.0184,0.0933,0.0344,0.0443,0.3682,0.0582,0.0296,0.0349,0.0288,0.0152,0.0628,0.0364,0.036,0.0457,0.0487,0.1205,0.0346,0
"TTL_13T15",0.0135,0.0146,0.013,0.0486,0.0296,0.0315,0.0362,0.0808,0.023,1.8623,0.0349,0.1014,0.0275,0.0407,0.0716,0.0658,0.0432,0.0305,0.0265,0.0412,0.0448,0.0452,0.0416,0.0628,0.0604,0.0679,0.2227,0.032,0.0946,0.0352,0.0311,0.0306,0.0235,0.0488,0.0401,0.0874,0.0469,0.1434,0.0244,0.0272,0.0339,0.0143,0.0641,0.0449,0.0924,0.0199,0.0713,0.0941,0.0272,0
