"","D01","D02","D03","D05","D06","D07","D08","D09","D10T12","D13T15","D16","D17T18","D19","D20","D21","D22","D23","D24A","D24B","D25","D26","D27","D28","D29","D301","D302T309","D31T33","D35","D36T39","D41T43","D45T47","D49","D50","D51","D52","D53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T75","D77T82","D84","D85","D86T88","D90T93","D94T96","D97T98"
"TTL_01",1.2784,0.0833,0.091,0.0322,0.0167,0.0441,0.0426,0.0395,0.6339,0.315,0.1104,0.1738,0.0258,0.112,0.3735,0.0753,0.0511,0.0358,0.0402,0.0451,0.0416,0.0455,0.0429,0.0376,0.0385,0.0372,0.0976,0.0289,0.0515,0.055,0.0262,0.038,0.0345,0.1006,0.0933,0.0555,0.2932,0.096,0.0336,0.0392,0.0355,0.02,0.0677,0.0493,0.045,0.0374,0.1368,0.123,0.0561,0
"TTL_02",0.0061,1.2476,0.005,0.0167,0.0026,0.0081,0.0067,0.0083,0.0063,0.0062,0.33,0.0203,0.004,0.0172,0.005,0.0652,0.0099,0.006,0.0067,0.0109,0.0084,0.0098,0.0092,0.0075,0.0065,0.0075,0.0764,0.0065,0.0078,0.0177,0.0026,0.0059,0.0032,0.019,0.0044,0.0061,0.0044,0.0061,0.0035,0.0047,0.0029,0.0023,0.0067,0.0036,0.0028,0.0024,0.0045,0.0072,0.0047,0
"TTL_03",0.0142,0.0033,1.422,0.0038,0.0019,0.0054,0.005,0.0044,0.0426,0.0082,0.0069,0.0105,0.0028,0.0114,0.0085,0.0068,0.0055,0.0045,0.0046,0.0052,0.0049,0.0052,0.0051,0.0039,0.0043,0.004,0.0074,0.0037,0.0108,0.0051,0.0034,0.0046,0.0247,0.0087,0.0069,0.0121,0.1058,0.0094,0.0035,0.0044,0.0064,0.0026,0.0099,0.0073,0.0055,0.0054,0.0055,0.0111,0.0054,0
"TTL_05",0.0189,0.0143,0.0071,1.2556,0.0298,0.0625,0.0532,0.0598,0.0182,0.0245,0.0286,0.0476,0.0872,0.0931,0.0246,0.0596,0.0961,0.1193,0.0766,0.0705,0.0312,0.0487,0.0462,0.0344,0.0377,0.0348,0.0361,0.2821,0.0416,0.0525,0.0114,0.0302,0.0296,0.0344,0.0263,0.0216,0.0129,0.02,0.013,0.0175,0.0092,0.0087,0.0248,0.0145,0.0116,0.0084,0.0225,0.0188,0.0187,0
"TTL_06",0.0291,0.0244,0.0162,0.033,1.0555,0.0652,0.061,0.07,0.0244,0.0301,0.035,0.0451,0.5872,0.1335,0.0276,0.071,0.0631,0.0813,0.0626,0.0569,0.0351,0.0471,0.0425,0.0337,0.0385,0.0344,0.0385,0.1476,0.0388,0.0493,0.0161,0.0736,0.1341,0.1382,0.0857,0.0407,0.0175,0.0259,0.0152,0.0203,0.0133,0.01,0.0408,0.0369,0.0187,0.0109,0.0276,0.0208,0.0218,0
"TTL_07",0.0054,0.0049,0.0028,0.0264,0.0135,1.1943,0.0287,0.0405,0.0059,0.0071,0.0111,0.0213,0.0125,0.0218,0.0126,0.0227,0.0337,0.277,0.2805,0.114,0.0352,0.0951,0.073,0.0476,0.0566,0.051,0.0356,0.0186,0.0273,0.0547,0.0068,0.0117,0.0095,0.0124,0.012,0.0109,0.0042,0.0087,0.0136,0.0131,0.0051,0.0052,0.0201,0.0092,0.0052,0.003,0.0092,0.0064,0.0089,0
"TTL_08",0.0062,0.0049,0.0026,0.0149,0.1118,0.0193,1.0345,0.0184,0.006,0.0067,0.0077,0.0116,0.0644,0.0343,0.0067,0.0167,0.1006,0.0176,0.0158,0.0136,0.0101,0.015,0.0105,0.0101,0.0097,0.0088,0.0103,0.0209,0.0089,0.033,0.0031,0.0103,0.0158,0.0173,0.0116,0.0073,0.0037,0.0063,0.0039,0.0048,0.0028,0.003,0.0082,0.0057,0.0038,0.0024,0.0067,0.005,0.0049,0
"TTL_09",0.0025,0.002,0.0014,0.0064,0.0756,0.0078,0.011,1.0122,0.0026,0.0026,0.003,0.0038,0.0478,0.0111,0.0024,0.006,0.0077,0.0076,0.0059,0.0051,0.0031,0.0043,0.0038,0.003,0.0034,0.003,0.0033,0.0124,0.0035,0.0056,0.0014,0.0061,0.011,0.0114,0.0071,0.0034,0.0016,0.0022,0.0013,0.0018,0.0012,9e-04,0.0035,0.0031,0.0016,9e-04,0.0023,0.0018,0.0019,0
"TTL_10T12",0.2213,0.045,0.1196,0.0368,0.0209,0.0559,0.0535,0.0411,1.3909,0.1113,0.0582,0.0749,0.0361,0.1247,0.116,0.0704,0.0563,0.0465,0.0531,0.0547,0.051,0.0549,0.0521,0.0387,0.044,0.042,0.0613,0.0365,0.0626,0.0498,0.0299,0.04,0.0429,0.158,0.0748,0.0625,0.4313,0.1092,0.0363,0.0418,0.0402,0.0232,0.0663,0.0505,0.0524,0.05,0.076,0.1069,0.082,0
"TTL_13T15",0.015,0.0135,0.0066,0.033,0.0163,0.0423,0.0364,0.0533,0.0199,1.7969,0.0402,0.0929,0.0193,0.0479,0.0798,0.1222,0.0611,0.0328,0.0355,0.0452,0.0345,0.0442,0.0457,0.0693,0.0556,0.0553,0.1961,0.0256,0.0652,0.0473,0.0205,0.0326,0.0181,0.0388,0.0371,0.0444,0.0328,0.1575,0.0214,0.0241,0.0327,0.0195,0.0493,0.047,0.082,0.0128,0.0704,0.0541,0.04,0
