"","D01","D02","D03","D05","D06","D07","D08","D09","D10T12","D13T15","D16","D17T18","D19","D20","D21","D22","D23","D24A","D24B","D25","D26","D27","D28","D29","D301","D302T309","D31T33","D35","D36T39","D41T43","D45T47","D49","D50","D51","D52","D53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T75","D77T82","D84","D85","D86T88","D90T93","D94T96","D97T98"
"TTL_55T56",0.0067,0.0075,0.0046,0.0165,0.0075,0.0217,0.0183,0.0166,0.0109,0.011,0.0133,0.0164,0.0083,0.017,0.0207,0.0167,0.0205,0.0176,0.0172,0.0213,0.0198,0.0205,0.023,0.0162,0.0182,0.0178,0.0159,0.0144,0.0218,0.0205,0.0142,0.0265,0.0113,0.0297,0.0204,0.0248,1.0081,0.0462,0.0128,0.0198,0.044,0.0134,0.0424,0.0391,0.0376,0.0179,0.0142,0.0151,0.0181,0
"TTL_58T60",7e-04,6e-04,4e-04,0.0022,0.001,0.0033,0.0021,0.0019,0.0011,0.0015,0.0017,0.0021,0.0011,0.002,0.0023,0.0025,0.0028,0.0025,0.0025,0.0029,0.0025,0.0027,0.003,0.0019,0.0021,0.0022,0.0021,0.0027,0.0033,0.0026,0.0013,0.0022,0.0015,0.0045,0.0021,0.0039,0.0016,1.0232,0.0047,0.0023,0.0037,0.002,0.0033,0.0014,0.0089,0.0038,0.0022,0.0035,0.0023,0
"TTL_61",0.004,0.0038,0.003,0.0072,0.0039,0.0109,0.0082,0.0071,0.0049,0.0056,0.0066,0.0077,0.0042,0.0076,0.0068,0.0073,0.0095,0.0088,0.009,0.0101,0.0109,0.0092,0.0104,0.0071,0.0084,0.0077,0.0075,0.0104,0.0128,0.0214,0.0065,0.0118,0.0324,0.014,0.0146,0.0339,0.0069,0.0191,1.123,0.112,0.0282,0.0095,0.0125,0.007,0.0312,0.015,0.0148,0.0089,0.0076,0
"TTL_62T63",0.0025,0.0029,0.0017,0.0065,0.0034,0.009,0.0089,0.0083,0.0035,0.0053,0.0055,0.0062,0.0037,0.0061,0.0046,0.0065,0.0082,0.0078,0.0073,0.0086,0.0201,0.0083,0.0097,0.0062,0.0084,0.0071,0.0069,0.0091,0.0091,0.0105,0.006,0.0075,0.0112,0.0231,0.0118,0.0231,0.0036,0.0158,0.025,1.1201,0.0226,0.0062,0.0096,0.006,0.011,0.0053,0.0059,0.0096,0.0054,0
"TTL_64T66",0.0348,0.0395,0.0316,0.1039,0.0403,0.0947,0.0856,0.0735,0.0441,0.0489,0.0621,0.0761,0.0492,0.0809,0.0567,0.0735,0.0894,0.1085,0.1118,0.0972,0.0947,0.0904,0.0905,0.0708,0.106,0.0748,0.0677,0.1147,0.0898,0.0938,0.0655,0.1353,0.0961,0.0885,0.0961,0.0495,0.0383,0.053,0.0574,0.0885,1.1034,0.1252,0.1052,0.0697,0.0454,0.0388,0.045,0.0634,0.0456,0
"TTL_68",0.0064,0.0051,0.0053,0.0103,0.0053,0.0107,0.0104,0.0113,0.0097,0.0118,0.0103,0.0119,0.0068,0.0123,0.0119,0.0131,0.0124,0.0118,0.0117,0.013,0.0164,0.0133,0.0137,0.0135,0.0141,0.0136,0.0126,0.0106,0.0124,0.0124,0.0531,0.013,0.01,0.015,0.018,0.0212,0.0142,0.0154,0.018,0.0347,0.054,1.0365,0.0198,0.0123,0.0134,0.01,0.0135,0.0137,0.054,0
"TTL_69T75",0.0284,0.0307,0.0167,0.0586,0.0301,0.0766,0.0715,0.0657,0.0402,0.0392,0.0432,0.0535,0.0308,0.0636,0.0745,0.061,0.0582,0.0588,0.0546,0.0621,0.0769,0.0664,0.0741,0.0709,0.0604,0.0644,0.0539,0.0453,0.0405,0.0959,0.0844,0.0347,0.0361,0.0443,0.0427,0.0493,0.0286,0.0428,0.0507,0.0735,0.0787,0.0479,1.164,0.0334,0.0205,0.0158,0.0398,0.0299,0.0332,0
"TTL_77T82",0.0102,0.0081,0.0076,0.0315,0.0126,0.0306,0.0306,0.0248,0.0176,0.0198,0.0193,0.0251,0.0146,0.0256,0.0323,0.0267,0.0289,0.0264,0.0249,0.0299,0.0338,0.0313,0.0323,0.0292,0.0279,0.0274,0.0273,0.0222,0.0255,0.0278,0.0563,0.0247,0.0281,0.0389,0.0333,0.0319,0.0173,0.0296,0.0331,0.055,0.0519,0.0334,0.0354,1.0619,0.0323,0.0108,0.0192,0.0235,0.021,0
"TTL_84",4e-04,5e-04,3e-04,6e-04,3e-04,9e-04,6e-04,6e-04,6e-04,5e-04,9e-04,6e-04,3e-04,6e-04,7e-04,7e-04,7e-04,8e-04,7e-04,8e-04,0.0011,8e-04,9e-04,0.0015,0.0014,0.0011,8e-04,5e-04,7e-04,8e-04,5e-04,6e-04,8e-04,7e-04,7e-04,8e-04,4e-04,7e-04,0.001,0.0012,7e-04,8e-04,0.0023,0.0018,1.0018,5e-04,5e-04,6e-04,8e-04,0
"TTL_85",2e-04,2e-04,2e-04,8e-04,2e-04,7e-04,5e-04,4e-04,3e-04,4e-04,4e-04,5e-04,3e-04,5e-04,5e-04,5e-04,6e-04,6e-04,6e-04,7e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,5e-04,5e-04,9e-04,7e-04,5e-04,7e-04,4e-04,7e-04,5e-04,5e-04,3e-04,0.001,7e-04,6e-04,0.002,5e-04,9e-04,4e-04,0.0028,1.0043,9e-04,7e-04,5e-04,0
"TTL_86T88",2e-04,1e-04,1e-04,7e-04,3e-04,7e-04,8e-04,4e-04,2e-04,3e-04,4e-04,5e-04,6e-04,5e-04,3e-04,4e-04,7e-04,7e-04,6e-04,8e-04,7e-04,7e-04,9e-04,6e-04,6e-04,8e-04,4e-04,6e-04,4e-04,6e-04,3e-04,5e-04,4e-04,4e-04,5e-04,3e-04,2e-04,4e-04,2e-04,3e-04,3e-04,1e-04,4e-04,2e-04,0.0019,3e-04,1.0028,3e-04,3e-04,0
"TTL_90T93",2e-04,2e-04,2e-04,6e-04,3e-04,8e-04,6e-04,5e-04,4e-04,4e-04,4e-04,6e-04,3e-04,6e-04,5e-04,6e-04,6e-04,6e-04,6e-04,7e-04,6e-04,6e-04,7e-04,5e-04,6e-04,5e-04,5e-04,0.001,7e-04,7e-04,5e-04,6e-04,5e-04,5e-04,8e-04,6e-04,4e-04,0.0018,7e-04,6e-04,0.0019,6e-04,0.0012,8e-04,0.0018,2e-04,4e-04,1.0075,8e-04,0
"TTL_94T96",0.0026,0.0024,0.002,0.0104,0.0037,0.0053,0.0077,0.0058,0.0038,0.0037,0.0043,0.0065,0.0043,0.006,0.0045,0.0059,0.0073,0.0068,0.0055,0.0081,0.0071,0.0076,0.0078,0.01,0.0074,0.0069,0.0053,0.0062,0.0106,0.0081,0.0065,0.0105,0.0063,0.0052,0.0185,0.027,0.004,0.0126,0.0032,0.0039,0.003,0.0025,0.0088,0.0053,0.0101,0.0068,0.0073,0.0152,1.0118,0
"TTL_97T98",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"TOTAL",2.2578,1.9774,2.0228,2.6611,2.1011,3.022,2.7509,2.9846,2.9242,3.2574,3.1341,3.1882,2.7661,3.5071,3.0869,3.4985,3.2839,3.4787,3.5756,3.5714,3.6415,3.6447,3.5061,3.5171,3.6153,3.7179,3.2766,3.2118,2.636,3.3218,1.8339,2.5209,2.669,3.0556,2.7695,2.5215,2.4924,2.489,2.1331,2.7099,1.9352,1.672,2.9999,2.1875,1.9457,1.5512,2.6622,2.1823,2.2155,1
