"","D01","D02","D03","D05","D06","D07","D08","D09","D10T12","D13T15","D16","D17T18","D19","D20","D21","D22","D23","D24A","D24B","D25","D26","D27","D28","D29","D301","D302T309","D31T33","D35","D36T39","D41T43","D45T47","D49","D50","D51","D52","D53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T75","D77T82","D84","D85","D86T88","D90T93","D94T96","D97T98"
"TTL_01",1.3377,0.1115,0.2051,0.027,0.0205,0.0294,0.0319,0.0332,0.6195,0.2644,0.1222,0.1796,0.0251,0.0725,0.3316,0.049,0.0298,0.0291,0.0306,0.0329,0.038,0.0371,0.0337,0.0333,0.0381,0.041,0.0949,0.0274,0.0603,0.0413,0.0238,0.0244,0.0174,0.0606,0.0295,0.0459,0.3119,0.0737,0.0273,0.0376,0.0295,0.0143,0.0732,0.0474,0.0391,0.0345,0.1197,0.086,0.0404,0
"TTL_02",0.0053,1.2096,0.0086,0.0152,0.0037,0.0062,0.0055,0.0075,0.0069,0.0053,0.3458,0.0327,0.0043,0.0169,0.0052,0.0625,0.0066,0.0044,0.0043,0.0079,0.0071,0.0084,0.0066,0.0082,0.0066,0.0088,0.0756,0.0055,0.008,0.0159,0.0027,0.0036,0.0025,0.0047,0.0037,0.0059,0.0053,0.0065,0.0023,0.0047,0.0024,0.0013,0.0073,0.0031,0.0027,0.0025,0.0025,0.0043,0.0032,0
"TTL_03",0.0079,0.0021,1.0893,0.0026,0.0022,0.0032,0.0033,0.0031,0.0584,0.0047,0.0054,0.0053,0.0026,0.0063,0.0062,0.0039,0.0028,0.0032,0.0032,0.0034,0.0039,0.0037,0.0036,0.0033,0.0038,0.0041,0.0039,0.0029,0.0047,0.0034,0.0026,0.0034,0.0019,0.0071,0.0037,0.004,0.0942,0.0071,0.0027,0.0036,0.0046,0.0016,0.0088,0.0054,0.0049,0.0042,0.0033,0.0076,0.0038,0
"TTL_05",0.0148,0.0114,0.0106,1.2738,0.0321,0.0574,0.0722,0.0431,0.0151,0.021,0.0253,0.0441,0.086,0.0823,0.0192,0.0443,0.1044,0.095,0.0575,0.0514,0.0273,0.0377,0.0346,0.0297,0.0385,0.0331,0.0292,0.2372,0.0329,0.0459,0.0101,0.0264,0.0285,0.0286,0.0234,0.018,0.0136,0.0169,0.0123,0.0124,0.0065,0.0046,0.0199,0.0081,0.0091,0.0087,0.0104,0.0092,0.0118,0
"TTL_06",0.0241,0.0206,0.0209,0.0324,1.0494,0.072,0.0829,0.0677,0.021,0.0294,0.0363,0.0388,0.5796,0.1491,0.0262,0.0768,0.0608,0.0878,0.0598,0.0548,0.0348,0.0454,0.0419,0.0389,0.0485,0.0432,0.0405,0.1426,0.0419,0.0498,0.0181,0.0649,0.1586,0.1464,0.1054,0.0433,0.0198,0.023,0.0139,0.0166,0.0113,0.0064,0.037,0.0196,0.014,0.0124,0.0142,0.013,0.0163,0
"TTL_07",0.0051,0.0056,0.0059,0.0294,0.0204,1.1943,0.022,0.048,0.0054,0.0068,0.01,0.0204,0.0165,0.0246,0.0072,0.0189,0.0293,0.3179,0.3028,0.1314,0.0404,0.0919,0.0766,0.0604,0.0807,0.0712,0.034,0.0188,0.0142,0.0573,0.0069,0.0117,0.0145,0.0139,0.0126,0.011,0.0049,0.0076,0.0073,0.009,0.0033,0.0026,0.0161,0.0055,0.0042,0.0034,0.0044,0.0039,0.0067,0
"TTL_08",0.0024,0.002,0.0013,0.0028,0.004,0.0047,1.0268,0.0126,0.0022,0.003,0.0037,0.0076,0.004,0.0205,0.0038,0.0091,0.1003,0.0052,0.0055,0.0052,0.0065,0.0088,0.0045,0.0058,0.0053,0.0053,0.0051,0.0031,0.0039,0.0307,0.0013,0.0019,0.0019,0.0023,0.0025,0.002,0.0016,0.0025,0.0013,0.0018,8e-04,9e-04,0.0032,0.001,0.0013,0.0013,0.0017,0.0012,0.0016,0
"TTL_09",0.0023,0.002,0.002,0.0061,0.0941,0.0084,0.0119,1.0097,0.0021,0.0028,0.0035,0.0038,0.0547,0.0142,0.0025,0.0073,0.007,0.0089,0.0062,0.0055,0.0034,0.0045,0.0041,0.0038,0.0048,0.0042,0.0039,0.0138,0.0041,0.0054,0.0017,0.0062,0.015,0.0139,0.01,0.0041,0.0019,0.0022,0.0014,0.0016,0.0011,6e-04,0.0036,0.0019,0.0014,0.0012,0.0014,0.0013,0.0016,0
"TTL_10T12",0.1492,0.0251,0.1827,0.0247,0.0215,0.0365,0.0372,0.0308,1.2844,0.0686,0.0409,0.0486,0.0308,0.0759,0.086,0.0437,0.0287,0.038,0.0433,0.0399,0.0461,0.0442,0.0418,0.0352,0.046,0.049,0.0408,0.0348,0.0622,0.0328,0.0246,0.0285,0.0198,0.094,0.0352,0.0438,0.3792,0.0579,0.0294,0.0346,0.0285,0.0156,0.061,0.0362,0.0345,0.0464,0.0459,0.1237,0.041,0
"TTL_13T15",0.0125,0.013,0.0119,0.0477,0.0287,0.0302,0.0343,0.0744,0.0223,1.8484,0.0327,0.093,0.0294,0.0399,0.0649,0.0603,0.0413,0.0293,0.0255,0.0382,0.0419,0.0423,0.0387,0.0589,0.0556,0.0626,0.2017,0.0308,0.0903,0.0328,0.0303,0.0299,0.0232,0.0463,0.0388,0.0793,0.0409,0.1428,0.0236,0.0259,0.034,0.0144,0.061,0.0442,0.0942,0.0193,0.0623,0.0959,0.032,0
