user_sector_i,D01,D02,D03,D05,D06,D07,D08,D09,D10T12,D13T15,D16,D17T18,D19,D20,D21,D22,D23,D24A,D24B,D25,D26,D27,D28,D29,D301,D302T309,D31T33,D35,D36T39,D41T43,D45T47,D49,D50,D51,D52,D53,D55T56,D58T60,D61,D62T63,D64T66,D68,D69T75,D77T82,D84,D85,D86T88,D90T93,D94T96,D97T98
D01,0.22265881358179895,0.001231309142891655,0.000357390874668385,0.0005467899838563696,1.0660685219841169e-05,1.0832631755645058e-05,2.054761102856483e-05,9.886925808723664e-07,0.08993233688882947,0.00031358749467234404,1.9300998643986632e-05,0.0001641659550587638,0.0035611417164004107,0.06317822967715533,0.0074871969684106275,0.008246856763592212,0.00028392671724617304,0.00013312960534616168,1.5733108026055918e-05,0.0005703896458954536,0.00022069337870429256,0.00010862722399410739,0.005949221178912735,0.0006175889699736212,6.061115387087116e-06,0.0004912512527917132,0.0004639117535988947,0.00865028632322209,0.0013548957155007008,0.0007457321257814701,0.046586420651294785,0.015324133190646365,0.003378362548840876,0.001234576127071929,0.0027287055499398295,0.001354293902625387,0.0017180038124845652,4.7887110221383314e-05,0.001037568383674622,0.000262175480466981,0.00746037330882522,8.468366888341574e-06,0.005911650860839585,0.0007759517294490038,0.0001736660011619287,9.444163479028648e-05,5.22717468843825e-05,6.422203112275285e-05,0.0004906064532824486,0.0
D02,0.06931628767605096,0.17854816264737816,1.406878412062453e-05,0.0006141330111785665,1.2233725322282202e-05,9.786980257825762e-06,1.8962274249537413e-05,6.116862661141101e-07,0.0014717171562705488,0.0015591882923248666,0.00017922407597143427,0.0005193216399308794,0.004497117428470938,0.052680867982811616,0.0020907436575780284,0.003985747709999541,0.0009701344180569786,0.0008349517532457603,7.462572446592143e-05,0.002337253222822015,0.0007052742648295688,0.0009230345755661921,0.011201810591347698,0.0028865474897924854,2.4467450644564404e-06,0.0003608948970073249,0.0021268331472787607,0.0024418515743275275,0.0008025323811417124,0.0007034392060312266,0.028730292233113634,0.025136023733427125,0.0033324667777896713,0.0021035890691664242,0.0015230988026241341,0.0033899652868043984,0.004902665422904592,8.013090086094841e-05,0.0010453718287890142,0.0009101891639777959,0.014887220344685212,3.6701175966846602e-06,0.01061153334454758,0.00206872295199792,0.00020307984034988457,7.646078326426376e-05,1.1622039056168091e-05,8.135427339317665e-05,0.0008110959888673099,0.0
D03,0.08813009743590491,0.0046667668703330506,0.08210583842012868,0.0003100962976690973,2.4442884639799434e-05,1.0944575211850492e-06,1.2768671080492243e-05,7.296383474566996e-07,0.12428914983999029,0.00019554307711839547,5.5817333580437515e-05,0.0005147598541307015,0.012237494363543764,0.005471922786751519,0.008760402818738864,0.0016661291664173733,0.0017536857681121774,0.0006289482555076751,4.742649258468547e-06,0.0007569997854863258,0.00045274059459688207,0.0003090018401479123,0.020141666581542192,0.0019948312419466162,0.006890339734207342,0.0004903169694909021,0.0011028483621808014,0.0071617651994612345,0.0017431060120740552,0.00031119075519028236,0.0434543414211312,0.02036931374594868,0.006961844292258099,0.0011090502881341833,0.0025818252924755315,0.002876599184848038,0.0020615931507389045,2.3713246292342737e-05,0.001338156729235587,2.6631799682169533e-05,0.02073595701554567,2.1889150423700984e-06,0.004742284439294819,0.0018434312848493515,0.0001831392252116316,8.755660169480394e-05,4.377830084740197e-06,7.18693772244849e-05,0.0008423674721387596,0.0
D05,2.057580391657109e-05,0.0018619996318479815,6.637356102119705e-07,0.2102721050507625,0.0006064331025303372,7.522336915735666e-06,0.00031217698200303016,0.0024237412032907125,0.0023578101326763236,0.012901250300893476,0.02007070111719978,0.00015730533962023702,0.00387798592526514,0.013751274372371607,0.00036173590756552395,0.003201860583662546,0.003427309445931212,0.033372847726661284,8.894057176840407e-05,0.03140686284921343,0.0014991574982654377,0.004106532220381462,0.03407596498307917,0.0007843142460671452,3.761168457867833e-06,0.0004869606926921824,0.0015179633405547769,0.04298993422822593,0.0004916068419636662,0.0008343156620364471,0.030783615111224388,0.02439737231496821,0.005890874785834643,0.0006466997295498634,0.005266520821828583,0.0015354417116236919,0.0036220052249267233,0.000653337085651983,0.0005121826458802373,0.0003132832080200501,0.04473334643104938,0.0003398326324285289,0.022986491652860964,0.016446040949832208,0.00016327896011214475,0.0002969110629681548,0.00038341793749911506,0.000495810500828342,0.004602563966413209,0.0
D06,4.987383386908588e-06,6.219560458968357e-05,2.9337549334756404e-07,0.0011218678865610847,0.021594783314327494,1.46687746673782e-05,0.0004418234929814314,0.09019184116885491,0.0013741708108399898,0.004471335894110223,2.4350165947847815e-05,0.00015050162808730034,0.006891390338734279,0.06003606758315216,0.0005389307812794751,0.001221908929792604,0.0007225838401150502,0.018815050514859325,1.818928058754897e-05,0.0009109309068441862,0.010598483072674098,0.0014903475062056253,0.050920304253856644,0.0002525962997722526,1.46687746673782e-05,3.1684553281536916e-05,0.0031226887511914716,0.06022588152734802,0.0016514106520534378,0.0005456784176264691,0.020425388597844103,0.007531535665218663,0.002053921828926296,0.0007566153973433675,0.002052748326952906,0.00042158058394044945,0.0038329508205859238,0.0008402274129474232,0.0007572021483300628,0.00037434712951149167,0.04251010898606203,0.00019597482955617277,0.012964263051028855,0.010856360131326607,0.0001686909086748493,0.00011470981789889754,0.00011529656888559265,0.0009047700214838874,0.0015050162808730033,0.0
D07,3.0355808014692214e-05,0.0003444540992778269,1.2648253339455088e-06,0.008250034044881905,0.0008191852079520413,0.13944783628438162,0.001140872451218849,0.0013765515717773622,0.008293459714680701,0.004728338706732961,0.002710942299089874,0.0005101462180246885,0.04991253732815767,0.04852333750304085,0.00019604792676155387,0.009800709904299099,0.004389787125680213,0.007023575079399411,0.005628472736057514,0.025827733319167292,0.0011480397947778735,0.004641908975580017,0.047701201035976276,0.004547890292423401,4.6376928911335324e-06,0.00016358407652361913,0.0024634581420812027,0.10320131508106055,0.0011982111996910454,0.0004034792815286173,0.029785371789082787,0.01949770413121467,0.004619142119568998,0.0013542063242109913,0.00577898695079703,0.000497919573129882,0.006013401246021597,0.0006800544212180353,0.0016236141203413849,0.0008992908124352568,0.02634841974830819,9.275385782267065e-06,0.02223689419609599,0.009635439393996886,0.00019436149298295987,0.00011341267161044729,0.00033180584593837183,0.0004949683140173424,0.0007078805785648365,0.0
D08,0.0002598134550965389,9.721305224102126e-05,1.0415684168680849e-05,0.020617268162783257,0.0005265706996388651,0.0011596128374464678,0.020934946529928024,0.004022768685592737,0.007799611494980509,0.006691498429256963,0.0009165802068439147,0.0036744219150624106,0.06876434688163097,0.09127553361575269,0.00013308929771092194,0.005650508661509361,0.02154542135203682,0.003880999651074581,0.0002794875251929361,0.028628665235860277,0.0006382499798919431,0.008349328159438665,0.056606928860298486,0.006309590009738666,1.9095420975914887e-05,0.0005317785417232056,0.0006833846112895601,0.10041876836849302,0.00304195842637529,0.0003865376124821559,0.039309370701722,0.02250482159379642,0.006103012273726495,0.0012626123808923116,0.0050753314357499845,0.000715210312916085,0.005482700416569502,0.0005636042433497304,0.0008384625755788084,0.0008639231368800282,0.029001315269450857,0.00011746577145790068,0.023617563852483824,0.012278355687513275,0.0002268304552290496,0.0001411903853976737,0.00038769491072312046,0.000283538069036312,0.00203221571113373,0.0
D09,1.3649864593343233e-05,0.0,0.0,0.0037864724381934125,0.0023259369267056873,0.0016352537782825193,0.005353476893509216,0.0033605966628811037,0.0009609504673713637,0.029459137765353364,0.0003057569668908884,0.0012312177863195598,0.04680538569057395,0.06759958941207303,0.0001583384292827815,0.04595909408578667,0.03508015200489211,0.0672201231763781,0.009331047436009435,0.029871363676072335,0.016333427972394513,0.005399886433126584,0.09733445444221193,0.006175198742028478,8.18991875600594e-06,0.00018836813138813663,0.005361666812265222,0.030026972132436446,0.0008217218485192627,0.00042314580239364023,0.05155553856905739,0.020078950816807897,0.0036281340089106317,0.0016079540490958328,0.0054189962435572635,0.0007562024984712151,0.007125229317725168,0.0003084869398095571,0.0007370926880405347,0.0005732943129204158,0.015519896042631256,0.0005541845024897353,0.018208919367519873,0.008528435397920852,0.00015560845636411287,0.0001119288896654145,1.3649864593343233e-05,0.00016652834803878745,0.0010537695466060976,0.0
D10T12,0.375929960318361,0.0013855260672725731,0.04194673749100287,0.0014438065687123215,3.3014918203476723e-06,1.1922053795699927e-06,5.0072625941939696e-05,0.00010514334366746129,0.16394891986880422,0.0036667652070266937,0.0004444633363143053,0.009131101002126574,0.0006458543373555134,0.0029517629576561208,0.0007504015783331896,0.007899736261243013,0.0031558134937748313,0.0001721361151886828,7.272452815376956e-05,0.001958334898102894,0.000357569905764877,0.0003445015006426675,0.0010276351831362733,8.061142528015566e-05,4.1268647754345904e-07,2.7008037252566374e-05,0.0004976540378643511,0.005107224429865607,0.0008074898743933681,0.00015677500741345402,0.06985305564302216,0.018616332856038496,0.0032666885940748408,0.0010878874088576184,0.0038163869821627276,0.001583569722440373,0.0029472692604562032,0.00027443650756640023,0.00039613316438866025,0.0003638977650872101,0.0029303949689299816,8.464658194946948e-05,0.010265117588362939,0.004782027485561361,0.00011468098670402122,6.139857704785463e-05,2.4577772440366006e-05,0.0001799771582620085,0.0006364542564781346,0.0
D13T15,0.09215997546421842,2.8094804275122253e-05,0.0002459207543043169,0.0014821963902919785,4.743278643851809e-06,7.349475700913243e-06,3.1534984390443345e-05,6.776112348359728e-07,0.011678733880280272,0.4583891450433103,0.000639821377508582,0.003007655651731177,0.0009866019579211763,0.03866126537538985,0.00015949925989215975,0.00925194742862695,0.00044545120099294026,0.0003087301033794974,0.00017315573247116164,0.0015741951464062472,0.00028876663392240684,0.0003253055166624082,0.0019038790741245184,0.00013698171731914895,3.648675879886007e-07,3.440180115321092e-05,0.0006609836976119208,0.006627611240048367,0.0004269993258289453,0.0001968200017492795,0.07300765877916765,0.012691971172124616,0.0025088295350096184,0.001112794019424091,0.007274104482023026,0.0006602018384948024,0.0017111768637253961,0.0004338796860595875,0.0003966631920847502,0.00039421336685111245,0.003378048377480748,7.620520194847631e-05,0.004659671842261279,0.0031019999851968007,0.00010393513863560998,5.405252696345414e-05,5.2905800258347106e-05,0.00011722674362662328,0.0005630949361486934,0.0
