"","D01","D02","D03","D05","D06","D07","D08","D09","D10T12","D13T15","D16","D17T18","D19","D20","D21","D22","D23","D24A","D24B","D25","D26","D27","D28","D29","D301","D302T309","D31T33","D35","D36T39","D41T43","D45T47","D49","D50","D51","D52","D53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T75","D77T82","D84","D85","D86T88","D90T93","D94T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_01",75612.6,709.4,28.7,6.7,0,19.2,14.6,11.9,204061.4,1304.8,314.1,119.7,0.5,5061.4,3.3,35.5,0.2,0.1,0,0.3,0,0,0.2,0.1,0,0.1,70.8,0.6,0.3,2802.7,2801.6,8.2,36,0.1,1.9,0,362.9,36.3,2.1,3.9,4.9,17.4,949.7,550.8,3117.1,226.9,6.2,545.2,21.3,0,177714.5,396.8,0.3,18.1,87.5,0,215.1,52941.7,0,530245.8
"DOM_02",4.9,3851.4,0,16.5,0,0,0,0,97.6,16.1,3789.8,1442.1,4,102.2,0,425.5,0.3,0,0,0,0,0,0,0,0,0,54.3,0.2,0,108.8,1.4,0.1,0,0,0.1,0,0.1,0,0.1,0,0.1,4.8,4.2,0.7,172.6,5.9,0,0,0.1,0,11872.7,114.3,0.1,33.8,0.6,0,0,1239.6,0,23365.2
"DOM_03",2.1,0,31.8,0,0,0,0,0,989.2,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0.7,0,0,0,834.5,0,0,0,0,0,21.2,0,56.4,9.7,8.3,28.6,15.5,0,1055.4,6.2,0,0.2,5.4,0,6,3411.6,0,6575.3
"DOM_05",433.9,1.4,0,637.2,221.3,25,31.2,12.3,406.7,24.9,3.1,284.6,540.7,108.9,1.1,41.6,376.2,1140.1,176.6,4.9,1.1,2.3,4.9,12.1,0.1,1.6,2.3,6808.1,1.2,33.6,33.5,8.5,0.1,0.7,8.1,2.1,288.6,0.3,7.5,0.9,14.3,505.4,74.6,2.9,5081.1,163.5,27.7,8.1,13.1,0,5.1,0.5,0,4193.1,-8.1,0,0,7592.7,0,29363.8
"DOM_06",645.2,38.8,14.4,261.7,48861,293.3,327.3,298.8,252.1,12.4,59.9,161.8,229851.6,2373.1,8.2,88.7,684.3,100.5,39.8,67.5,15.4,119.5,79,57.5,1.5,10.8,51.1,30368.3,102.5,3528.3,880.9,1834.9,95.1,1121.4,407.9,636.9,389.8,37,36.8,90.6,498.8,636.1,289.2,549.5,14838.8,1896.6,342.4,94.9,119.9,0,11843.1,2.2,0.2,17257.6,-156.2,0,56.2,102975.6,0,475550.8
"DOM_07",2.7,0,0,2.4,40.5,3610.7,30.1,46.3,1.7,0.1,0.2,1,32.5,1534.5,0.1,0.7,95.4,6337.1,4451.7,461.3,1,84.5,96.6,46.2,1.3,6,105.8,13,51.9,436.9,29.3,3.8,0,0.3,3.3,1,74.1,77.6,65.5,617.4,6.4,226,519.1,353.5,128,164.9,28.2,495.5,405.1,0,1.2,0.2,0,1828.9,-17,0,0,9304,0,31808.6
"DOM_08",1251.2,0.1,0,200,367.7,24.9,755.1,40.8,260.8,16.9,6.4,210,202,1322.8,8.6,119.2,6899.9,496.2,11.4,35.3,7.2,27.1,26.1,44.2,8.1,43.7,22.8,319.9,185.7,20337.9,52.3,105.5,0.2,1.2,16.8,3.3,20.5,3.2,71.6,7.1,20.7,1059.7,395.4,25.1,1875.1,43.6,47.8,4.1,24.8,0,403.4,0.8,0,6417.2,-2.4,0,0.8,1906.2,0,45756.3
"DOM_09",30.5,0.3,0.1,320.9,5838.5,333.2,392.8,355.6,47.7,2.6,6.9,18.7,2731.1,29.1,2.3,15.9,220.3,12.7,8.8,55.4,9.1,15.1,34.8,109.9,2.1,11.9,12.9,490.8,7.8,1534.9,102.3,29.1,0.8,3.6,22.9,7.8,32.5,4.7,29.2,8.3,42,1428.1,75.5,16.4,837.5,70.4,18.7,6.2,29.6,0,206.5,1.6,0.2,35401.8,1.2,0,0.3,1781.6,0,52811.5
"DOM_10T12",21385.7,23.6,92.2,3.1,37.8,4,3.2,2.9,89325.7,434.8,43.1,1019.6,210.1,1554.3,555.9,263,155.5,28,11,61.9,17.6,21.1,50,102.1,3.1,21.8,39,23.3,6.4,208.2,4063.5,34.6,88.3,257.7,11.7,6.8,34195.1,47.9,17.2,77.2,7.6,53,2171.4,58.6,17168.5,7249.9,8912.1,2324.8,739.4,0,818248.8,791.2,1.8,582.6,107.6,0,1344.1,53453.8,0,1067723.2
"DOM_13T15",267.2,0.5,0.9,5.8,63.5,6.2,4.9,4.2,123.5,2272.7,136.6,967.7,64.7,750.6,32.3,877.6,140.1,17.9,6,104.5,19.3,21.7,265.4,1152.9,15.8,90.2,856.3,19.7,48.8,693.5,2723.5,8.9,6,2.3,15.5,26,532,51.5,11.8,17.2,6.9,127.5,168.3,171.4,1079.9,154.9,1171.6,104.1,147.3,0,36090.9,14.1,1.3,2039.8,56.4,0,220.3,15586.7,0,69567.3
