"","D01","D02","D03","D05","D06","D07","D08","D09","D10T12","D13T15","D16","D17T18","D19","D20","D21","D22","D23","D24A","D24B","D25","D26","D27","D28","D29","D301","D302T309","D31T33","D35","D36T39","D41T43","D45T47","D49","D50","D51","D52","D53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T75","D77T82","D84","D85","D86T88","D90T93","D94T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_01",98253.1,830.7,31.6,10,0,23.4,18.9,10.9,248798.6,1518,372.9,138.5,0.8,6041.9,3.6,42,0.2,0.2,0,0.3,0,0,0.2,0.2,0,0.1,91.8,0.7,0.4,3528.6,3692.1,11.7,82.1,0.1,2.3,0,536.5,50.7,2.6,5.2,6.1,21.8,1234.2,725.4,3622.7,366.8,8,759.2,30.7,0,195841.1,497.4,0.3,20.2,222.4,0,428.5,63033.7,0,630919.3
"DOM_02",6.4,4486.3,0,24.2,0.1,0,0,0,116.6,19.3,4589,1702,5.7,119.1,0,513.4,0.3,0,0,0,0,0,0,0,0,0,69,0.2,0,134.1,1.7,0.1,0,0,0.1,0,0.1,0,0.1,0,0.2,5.4,5.3,0.9,195.3,9.2,0,0.1,0.1,0,13035.2,133.7,0.1,38.6,3.3,0,0,1235,0,26450.5
"DOM_03",2.9,0,35.2,0,0,0,0,0,1275.3,0,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.4,0,1.6,0,0,0,1241,0,0,0,0,0,29.3,0,69.6,16.7,11.4,42.5,23.8,0,1304,8.2,0,0.2,6.3,0,10.5,2316.5,0,6519.3
"DOM_05",534.5,1.6,0,905.2,308.9,27.3,36.5,9.5,478.6,27.5,3.7,325.7,749.7,123.5,1.2,48.9,428.7,1500.3,227,6.1,1.4,2.7,6.3,14.3,0.2,2.7,3,8254.1,1.6,33.8,48,13.5,0.2,1.2,11.2,2.7,381.7,0.5,10.9,1.4,20.5,728.5,91.1,4.2,5633.7,255.9,34.6,11.4,20,0,6.2,0.7,0,5848.4,-6.9,0,0,13317.3,0,40501.5
"DOM_06",1095.2,60.7,20.3,409.8,79666.2,378.4,442.7,286.9,412.5,18.4,97.1,262.2,336607.5,3059.5,13.2,139.4,1030.6,181.6,64.3,108,25.2,191.3,138,93.7,3,23.9,87.4,39206.7,173.5,5453.2,1583.7,3417.6,282.9,2270.1,672.8,954.3,719.7,70.6,63.3,164.2,839.6,1104.3,460.9,952.5,18622.9,4007.8,573.6,174.9,223.1,0,14963.5,3.3,0.3,23621,-82.1,0,116.9,168510.2,0,714042.1
"DOM_07",3.1,0,0,2.3,41.7,3643.4,32,51.8,1.8,0.1,0.2,1.1,35.1,1530.3,0.1,0.7,96,7372,5058.5,475.9,1,86.3,107,47.3,1.7,8.4,115.9,13.4,56.8,458.8,33.7,4.7,0.1,0.4,3.6,0.9,96.7,95.4,71.3,712.2,7.2,254,557.7,388.9,128.7,223.2,29.3,588.6,489.1,0,1.4,0.3,0,2017.5,-9.3,0,0,9529.1,0,34467.8
"DOM_08",1496.1,0.1,0,271.5,420.5,22,891.3,29.9,295.7,16.1,6.9,231.6,222.6,1431.3,7.9,120.1,7711.3,639.2,14.3,38.3,7.6,30,31.1,47.6,11.4,67.8,26,372.2,220.6,23676,65.4,139.9,0.4,1.8,19.6,3.6,27.5,4.1,86.5,8.8,25.5,1307.4,466,28.1,2026.2,65.2,53.6,5.4,31.2,0,410.5,1,0,7585,-1.3,0,1.3,2187.4,0,52907.2
"DOM_09",44.6,0.4,0.1,381.6,7607.2,320.4,402.8,257.5,67.6,3.6,9.5,25.6,3286.7,39.5,4.1,22.6,220.7,19.3,13.1,75.3,12.8,20.6,51.4,149.9,3.6,22.1,18.7,506.8,9.8,1615.4,153.9,46.7,2.1,6.6,32.4,10.2,53.5,6.9,42.6,12.9,60.5,2067.6,88.8,24.9,1086.2,127.4,27.2,10.1,47.7,0,299.5,2.4,0.2,42373.1,8.8,0,0.7,1833.1,0,63639.2
"DOM_10T12",22446.4,23.1,80.9,4.2,55.5,4.4,3.8,2.5,88991.8,365.5,46.7,1034.3,261.6,1500.4,511.2,264.6,155.8,33.3,12.3,64.5,23.5,24.6,62.8,124.7,4.1,33.7,45.3,32.9,7.8,248.9,4338.9,47,161,290.9,14,9.4,38268,56,22.8,89.2,10.5,59.7,2352.1,71.6,17021,9549,9007.4,2516,851.3,0,858652.4,876.4,1.6,798.1,394,0,2659.9,60552.5,0,1125141.5
"DOM_13T15",263.1,0.5,0.8,6.5,78.1,5.6,4.7,2.9,127.4,2131.3,130.4,909.1,73.3,654,29.2,816.2,129.4,18.6,6,96.7,18.9,20.5,271.2,1265,18.6,117.2,869,21,53.1,674,2787.6,11.8,10.7,3.8,15,35.9,704.7,57.3,13,18.8,7.6,125.9,168.1,180.2,1039.5,200.4,1160.9,156.5,182.7,0,39842.6,16.3,1.3,2231.1,245.1,0,365.7,13928.2,0,72323.3
