"","D01","D02","D03","D05","D06","D07","D08","D09","D10T12","D13T15","D16","D17T18","D19","D20","D21","D22","D23","D24A","D24B","D25","D26","D27","D28","D29","D301","D302T309","D31T33","D35","D36T39","D41T43","D45T47","D49","D50","D51","D52","D53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T75","D77T82","D84","D85","D86T88","D90T93","D94T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_01",67826.9,505.8,18,7.8,0,16.7,14.3,20.8,171092.7,977.2,417.3,179,1.1,4399.6,37.8,56.9,0.1,0.1,0,0.2,0,0,0.2,0.2,0,0,171.4,0.7,0.3,1744.8,2636.6,18.4,60.6,0.1,1.9,0,334.3,58.6,1.7,3.1,5.2,14.1,663.1,1258.8,2639.9,277.2,4.4,451.5,32.2,0,138709.1,360.4,0.3,19.7,254.4,0,590.7,40551.9,0,436438.3
"DOM_02",2.5,2463.2,0,19.6,0,0,0,0,106.8,12.7,3181.5,1364.2,6.6,102.7,0,432.8,0.3,0,0,0,0,0,0,0,0,0,61.1,0.3,0,140.4,0.8,0.1,0,0,0.1,0,0.1,0,0.1,0,0.1,3.8,3.2,0.7,207.9,9.1,0,0,0.1,0,9110.6,99.6,0.1,31,3.4,0,0,1045.8,0,18411.6
"DOM_03",3.1,0,12.1,0,0,0,0,0,862.9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.7,0,0.4,0,0,0,512.9,0,0,0,0,0,10.2,0,45.6,9.2,6.5,19,13,0,681.6,5.2,0,0.2,18.2,0,13.3,3371.1,0,5645.3
"DOM_05",513.2,1,0,1158.9,451.5,42.2,63.8,42.4,685.2,37,7.1,666.6,1063,184.3,5.4,77.4,592.9,1367,202.2,8.5,3.8,4.8,8.8,18,0.3,3.3,4.4,8091.3,2.1,49.6,34,11.4,0.1,1.1,9.1,2.4,274.8,0.4,8,0.8,16.5,441,80.8,3.6,5549.1,241,41.2,9.2,18.6,0,13.3,0.5,0,4811.7,-0.8,0,0,7517.6,0,34441
"DOM_06",376.2,10.1,2.7,255.9,23851.8,380.2,536,770.4,148.8,8.7,33.6,92.3,177636.3,1192.8,9.6,51.8,447.5,54.9,18.7,34.7,8.2,72.3,50.7,33.5,1.2,9.9,31.9,18741.9,58.8,2373,349.3,1436.7,131.6,951.2,196.1,371.8,151.8,18.5,22.8,50.6,310.1,439.3,160.9,270.7,8868.4,1126.8,183.5,47.6,70.9,0,6393.5,1.4,0.2,29242.3,-65.3,0,93.9,87180.5,0,365299.3
"DOM_07",3.2,0,0,1.8,55.4,1549.4,34.6,102.7,2.4,0.2,0.4,1.5,40.2,1285.6,0.3,0.8,70.8,4269.9,2863.7,282.3,0.6,55.6,67.7,37.1,1.1,4.9,102.5,16,39.1,409.8,22.2,5,0.1,0.5,3.3,1.1,60.8,37.6,52.4,221.6,7.2,192.5,370.7,288.3,126.4,159.4,21.9,538,415.2,0,1.2,0.2,0,1838.3,-3.7,0,0,11124,0,26783.9
"DOM_08",1504.3,0.1,0,351.3,601.3,28.8,1335.4,105.6,223.6,19.8,8,339.3,262.9,1550.9,12.1,121.5,8427.8,1021.9,20.2,31.6,8.3,20.5,26.9,47.3,12.7,73,32.5,731.4,304.5,18879.4,46.9,160.3,0.3,1.7,16.2,3.5,22,3.9,75.8,7.6,22.1,622.7,458.2,29.9,1938.3,54.4,57.9,4.6,30.3,0,383,0.8,0,6373.8,0.6,0,2.5,1851,0,48271
"DOM_09",53.2,0.4,0.1,425.8,18078.7,668.1,959.7,1345,120.7,6.6,20.2,49.4,6012.3,72.6,5.7,42.4,389.2,33.4,27.4,221.8,33.3,50.1,128.1,450.4,8.9,51.1,46.1,890.8,20.7,2802.8,149.8,66.5,9.6,13.5,36,17,64.4,9.3,54.1,20,66.6,1645.4,120.5,34.8,1157.7,134.8,39.9,12.2,56,0,379.3,1.9,0.1,68387.2,15.1,0,1.3,2320.7,0,107828.5
"DOM_10T12",20907.1,31.1,67.8,2.5,16.5,2.5,2.6,4.4,84393.3,310.1,24.7,975.1,231.2,1123.4,414.6,172.4,126.1,13.6,5.7,34.5,11.3,12,30.2,65.5,2.3,21.4,26,13.9,4.2,114.2,3750.9,29.4,225,367.9,6.6,4.3,28804.2,38.2,9.9,41.1,6,38.8,2263.8,34.5,17102.9,9138.7,8421.9,2650.1,915.8,0,722750.6,734.9,1,413.8,317.9,0,3642.1,48738.3,0,959608.7
"DOM_13T15",294,0.2,0.9,7.4,46.3,6.7,6.4,10.3,132.2,2661.8,180,1136.1,97.9,850.2,40.2,932.4,191.5,10.8,3.8,112.1,22.3,20.4,320.8,1585.9,49,294.9,1132.8,20.9,52.9,928.7,2526.1,11.6,29.5,2.7,17.1,18.3,685.5,65.9,122.2,16.4,7.8,175.4,190.5,205.3,1170.7,252.9,1152.2,121.3,428.1,0,32896,15.5,0.5,2253.2,182.2,0,589.4,13633.1,0,67919.2
