"","D01","D02","D03","D05","D06","D07","D08","D09","D10T12","D13T15","D16","D17T18","D19","D20","D21","D22","D23","D24A","D24B","D25","D26","D27","D28","D29","D301","D302T309","D31T33","D35","D36T39","D41T43","D45T47","D49","D50","D51","D52","D53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T75","D77T82","D84","D85","D86T88","D90T93","D94T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_01",66261,1078.7,19.3,13.5,0.1,17.5,14.6,31.8,203043.4,2001,658.6,229.8,0.7,5842.5,121.6,93.1,0.2,0.2,0.1,0.4,0.1,0,0.3,0.2,0,0.1,237.5,0.9,0.3,1655.8,2126,20.2,37,0,1.3,0,386.2,42.7,1.6,2.8,4.6,12.7,487.1,614.4,2153.3,231,3.8,304.1,32.5,0,139428.2,398.4,0.3,48.6,249.9,0,574.4,48991.1,0,477475.4
"DOM_02",4.1,3475.9,0,26.3,0.4,0.1,0.2,0.5,108.9,18.3,3992.5,1392.1,3,154.3,0.1,563.4,0.5,0.1,0,0.1,0,0,0.1,0.1,0,0,74,1.5,0,118.6,1.8,0.6,0,0.1,0.4,0.1,0.4,0,0.4,0,0.9,20.8,5.2,0.4,274.6,12.9,0.3,0.1,0.6,0,9599.7,103.2,0.1,184.1,6.1,0,0,1920.7,0,22068.7
"DOM_03",3.8,0,13.9,0,0,0,0,0,753.1,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0.2,0,0,0,435.1,0,0,0,0,0.5,7.2,0,33.9,7.3,5.2,12.4,11.7,0,496.2,3.7,0,4.2,15,0,10.4,3754.8,0,5626.5
"DOM_05",1112.4,3.1,0,2775.6,655.8,68.2,85.2,89.7,1279.5,81.8,9.6,1126.1,1156.2,354.1,12.5,97.5,1006.6,3509.9,536.7,11.8,1.9,6.9,13.4,26.9,0.4,6.2,6.4,9886.3,3.4,66.8,40.3,14.6,0.2,1.4,12.6,2.9,345.5,0.7,9.9,0.7,21.3,503.7,100.3,3.6,6627.4,228.6,62.6,9.5,23.5,0,163.7,0.7,0,6360.2,-10.1,0,0,6891,0,45405.7
"DOM_06",576.7,38.4,11.6,471.1,39069.2,561,661.5,1252.1,219.4,15.5,56.1,205.6,285294.7,4007.3,28.7,89.8,493.1,125.5,55,60.6,12.6,89.8,124.6,47,2.7,24.1,55.8,32594.1,99.4,2625.3,492.9,2487,267.3,1731.7,233.7,371.5,213.2,22.5,27.3,48.1,376.6,424,192.1,296.2,10427.6,1259.5,288.6,46.7,130.4,0,9239.7,1.7,0.2,34974.5,-73.1,0,100.1,30273.4,0,462821.8
"DOM_07",3.2,0,0,7.3,179,1139,36.6,166.5,2,0.2,0.3,1.3,87.9,1326.7,0.4,0.8,99.2,5392.9,3726.5,281.2,2.5,69.2,100.8,37.8,1.6,8.7,160.7,19.4,47.5,342.7,18.7,4.5,0.1,0.4,3.1,0.9,44.9,38.8,44.2,201.2,6.6,154.4,211.3,220.4,94.4,133.8,16.1,458.2,420.3,0,1.6,0.2,0,2391.4,8.1,0,0,11970.3,0,29686
"DOM_08",1113,0.4,0,368.7,448.2,31.6,903.7,110.9,305.1,37.4,11.3,333,223,2690.9,50.4,186.3,7579,1468.5,35.5,45.6,12.8,27,37.9,49.1,12.4,83.6,44.1,809.3,323.5,11797.7,35.6,97.2,0.4,1.7,13.3,2.7,13.5,4.7,63,5.1,15.3,370.4,343.2,26.5,1472.8,37.8,88.2,3.3,23.7,0,545.8,0.7,0,4361.5,-0.8,0,3.4,2110.6,0,38779.4
"DOM_09",46.6,0.7,0.2,940.1,24968.5,1244.1,1500.4,2704.9,70.1,4.6,9.8,29.2,11184.7,51.5,8.4,24.3,514.1,22,15,83.5,15.5,21.2,59.7,157.7,3.6,25.3,23.4,1318,14.8,3041.2,110.2,52,3.3,7,33.3,11.8,41,7.7,40.6,10.1,69.2,1529.4,111.2,22.1,975.1,102.7,32.7,9.3,49.1,0,191.1,2.4,0.2,97425.8,6.6,0,0.9,3617.5,0,152565.1
"DOM_10T12",22639.5,39.3,74.2,9.1,37,6.4,5.4,16.5,101715.1,959.7,44.1,1063.6,127.8,2071.7,905.8,331.6,126.9,37.7,17.9,87.9,24.9,33.1,82.5,119.6,4.9,55.4,70.2,34.6,9.2,211.6,3925.3,48.7,147.7,183.4,13.6,9.3,34645.3,50.4,22,43.2,11.9,71.5,2239.7,62.9,16878.9,9089.2,9207.6,2438.8,1068.7,0,655793.4,636.7,1.6,836.7,288,0,3549.4,53904.4,0,926131.9
"DOM_13T15",420.5,0.7,8.4,10.7,41.1,7.1,5.4,17.1,191.2,3833,190.3,1094.7,39.5,1059.4,107.3,1023.4,137.9,19.2,9.4,123.5,23.3,27.9,386.4,1720.4,42.1,291.2,1457,21,40,821.2,2145.9,19.2,60.7,7,19.2,20.6,598.5,43.3,92.8,15.4,7.7,130,149.7,187.2,1137.7,201.1,1030.6,119.3,484,0,33027.4,16.1,1.4,3234.3,282.9,0,673,18145.3,0,75020.8
"DOM_16",292,2.2,25.5,37.9,5.3,12.3,9.8,108.4,330.6,39.7,17500.9,3670.5,9.2,185.8,13.6,973.2,253.9,39,321.8,529.6,132,164.6,861.3,2783.6,77.3,139.9,5043.2,10.8,16.5,29197,3042.8,943.7,1.2,4,145.4,54.5,997.8,143.7,489.2,858,54.2,3063.5,444,805.3,816.1,1396.8,894.2,104.4,296.7,0,6927.3,0.3,1.4,7684.8,464.7,0,186.5,5076.2,0,97684.2
"DOM_17T18",527,3.7,0.8,69.5,95.7,74.5,52.2,111.3,22675.2,665.8,617.3,42538.8,80.1,4880.8,2070.6,3927.1,1086.3,976.7,837.7,2141.9,576.7,1027.1,2224.7,3098.4,50.8,662,2722.1,92.9,279.2,2803.7,20282.6,1039,54.1,61.6,2098.3,1071.7,5496.7,8154.1,963.9,3767.1,4825.9,1088,9277.4,5886.6,10804.9,8790.3,9722.9,1031.9,2432.7,0,47884,5.6,9.6,1576.9,162,0,725.2,23190.5,0,267374.4
"DOM_19",13613.6,857.3,259.5,2326.2,6039.8,1663.2,1627.7,4478.9,4671.2,609.7,1283.1,4911.8,17061.6,21722.7,947.2,3329,6225.3,2585.7,643.2,1417.6,310.8,2036.5,2621.2,977,56.7,454.4,1355.6,27353.3,2130.4,32646.3,10528.5,55245.4,5990.1,38816.1,5159.9,8299.9,4582.6,467.4,477.3,1032.2,8198.9,5183.5,3543.9,6661.5,77405.9,28013.8,6474.1,1017,2844,0,208175.7,22.9,1.4,789.9,413.5,0,2260.1,97860.9,0,745682.7
"DOM_20",32061.2,14.1,2.2,1020.8,4456.4,750.8,550.5,1740.8,6570.8,9219.2,2152.1,14391.7,3873.1,127309.6,12082.3,45721.3,2994.7,1229.4,523.3,6780,2168.2,2400.9,3858.2,7769.1,224.5,1030.7,6422,1649.6,830,10819.7,3234.7,540.7,37.8,179.4,1090,188.1,1257.7,777.7,493.5,772,286.6,7461.6,7848.4,5356.5,18734.6,4054.4,7560,405.3,3137.4,0,97697.3,59.2,2.8,4385.6,453.1,0,867.9,100959.5,0,578459.1
"DOM_21",1445,6.8,1,22.9,97,16.4,13.8,53.3,1239.4,132.1,99.4,296,124,2728,20519.3,606.8,94.8,99.8,53.8,245.1,78.4,93.3,247.7,344.7,16.2,174.8,197.9,140.9,29.6,707.2,924.3,128.3,14.7,71.9,37.3,28.3,152.8,87.4,86.3,74.8,82.1,155.3,2478.5,203.1,2450.7,181.9,24163.7,221.1,96.2,0,135352.7,115.5,7.3,17642.2,236,0,525.3,33974.9,0,249417.9
"DOM_22",1311.9,30.4,0.5,376.5,94.3,356.4,170.6,875.9,15697.9,481.3,652.6,2979.5,137.8,7314.3,2166.1,13491.6,893.2,957.1,405.5,2806.9,1210.7,1457.3,6468.2,20828.7,157.3,2253.3,8035.9,49.2,280.1,22900.8,14626.9,537.5,7.4,32.6,544.6,2454.6,4286.2,1385.7,2240.7,795,351.7,509,3613.4,2626.8,6738.2,1188.4,6837.9,145.1,1008.2,0,40774.3,1.9,3.3,2099.6,152.2,0,20.1,23434.7,0,231257.7
"DOM_23",89.8,83.3,0.6,131.9,665.6,183.3,164.2,703.6,4405.2,140,704.3,403.1,23.5,1376.5,495.2,1347.4,9643.2,2067.9,187.9,1117.4,324.3,1537.1,2180,6307.1,55.2,241.8,943.1,81.5,146.3,57870.1,1339,56.8,2.7,10.9,135.1,32.1,1629.5,257.6,1667.5,564.2,81.6,241.4,2184.1,1151.3,4040.7,373.3,3158.3,109.2,635.6,0,14188.8,0.7,0.5,1365.9,31.8,0,5.8,9291.1,0,136176
"DOM_24A",143.6,3.8,1.1,37.6,5488,201.2,152.1,522.5,95.7,200.3,205.6,95.4,71.4,748.1,6.6,877.1,453,21092.3,497.4,39057.7,504.3,3432.7,24212.6,17055.5,514.7,3035.8,3701.1,114.1,455.3,4689.4,492.8,870.8,26.2,155,266.7,38.9,57.9,1253.2,190.5,94.6,36.9,1122.1,566.7,418.4,565.3,232.6,276.3,168.2,146.9,0,1019,0.4,0.2,615.7,-3.6,0,9.9,13632.9,0,149920.6
"DOM_24B",42.8,0.7,0.1,3.1,34.9,3.4,2.3,10.5,4649.7,10.2,163.7,605.7,9,240.7,14.3,314.4,47.7,6922,39073,15148.5,2817.1,9133.5,6546.4,11057.4,368.4,4258,3077.4,191.3,59.7,1555.8,1005,16.1,3.4,4.9,7.8,6.6,74.8,1129.1,485.7,292,5.1,49.6,470,55.1,699,22.9,52.1,25.8,125.6,0,638.1,0.3,0.3,753.1,-34,0,3,33441.3,0,145694.4
"DOM_25",1842.9,82.1,23.6,357,1302.5,381.9,144.6,1122.7,12293.4,630.8,2051.2,4515.1,178,5838.9,492.4,4874.6,1917.9,3970.9,3846.6,28009.5,4431.1,6697.9,18964.4,56722.4,1114.5,6997.4,6173.7,184.8,1490.1,52445.2,4701,1401,857.7,183.8,732.6,821.5,2382.4,1204.1,3095.8,1839.2,270.9,1993.7,3386.6,2696.9,8502.7,636.9,1668.3,554.8,1260.6,0,28959.7,3.8,2.8,47014.2,2736.3,0,11.9,29668.2,0,375685.5
