"","D01","D02","D03","D05","D06","D07","D08","D09","D10T12","D13T15","D16","D17T18","D19","D20","D21","D22","D23","D24A","D24B","D25","D26","D27","D28","D29","D301","D302T309","D31T33","D35","D36T39","D41T43","D45T47","D49","D50","D51","D52","D53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T75","D77T82","D84","D85","D86T88","D90T93","D94T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_23",94.5,65.3,3.2,132.5,437.5,122,170.8,587.5,3098.7,31.9,550.9,438.2,20.3,1045.8,202,1203.4,11377.5,2148.8,187.9,1135.1,431.8,1233.3,1559.5,6124.4,244,97.1,892,97.9,185.3,73435.1,1226.1,162.8,1.5,3.8,61.7,14.8,1831.5,184.2,1823.2,614.9,67.3,263.2,2320.6,947,3496.7,251.3,3145.3,101.4,579.8,0,17749.7,0.6,0.4,1107.4,20.4,0,2.7,7850.1,0,151182.8
"DOM_24A",114.1,0.8,1.3,15,1837.9,99.2,217.1,239.3,67.1,54.8,85.9,67.8,33.3,89.8,4.1,785.9,728.2,17122.8,385.8,32947.6,712.1,2597.3,18018.8,20856.7,266.5,3953.2,2290,54.2,125.4,2722.3,233.5,405.4,22.3,79.9,168.3,30.2,59,45.2,53.6,33.1,33.6,1399.3,339.9,279.6,212.1,179.5,232.9,134.7,115.3,0,752.6,0.4,0.2,364.1,-8.6,0,9,12952.4,0,124621.8
"DOM_24B",31.7,0.7,0.4,1.8,16,2,2.5,6.1,1393.7,6.3,75.6,535.7,12.5,74.2,6.4,245.4,61.2,4798.2,32978.5,12292.4,3081.2,6080.4,4976.7,12817.3,642.7,1540.3,1904.6,12.9,31.9,1073.6,274.2,14.9,5.4,3,7.6,2.8,73.6,47.7,170.8,51.2,9.2,39.8,349,49.4,380.3,20.2,43.8,34.8,189.9,0,614.1,0.4,0.3,653.4,-62.4,0,2.8,37728,0,125407
"DOM_25",1917.9,77.6,79.8,242.2,1497,238.1,172.8,694.3,14399.1,366.9,2326.6,4899.3,557.7,5529.4,141,5312.4,1311.4,2658.5,2685.2,29302,6979.1,7028.3,18116.5,24843.4,1250.3,7824.1,6748.8,359.7,1679,78701.6,4440.9,2098.6,1395,138.8,846.2,416.3,3662.9,665.8,3890.9,2747.8,341.5,2485.3,3742.4,2412.7,7395.5,796.8,3025.6,381.6,2176.3,0,39506,4.7,2.1,32902.7,864.7,0,12,22747.5,0,367040.3
"DOM_26",258.8,6.2,1.3,11.4,101.6,16.7,11,70.1,1311.5,121.5,326.5,627.6,115.5,1275.1,283.9,655.2,249.7,257.8,338.5,1457,11742.2,1053.2,1883.1,4831.6,739.3,4495.6,1278.1,356.8,193.2,3166.6,9043.3,189.3,11.8,51,122.6,29.2,473.7,692.8,3737,3021.9,1465,400.1,4737.5,1934.1,6346.7,742.9,2636.4,72.6,367.7,0,48483.3,136.9,12.1,160962,4188.2,0,483.2,106539.1,0,394116.6
"DOM_27",514.6,2.1,17.9,5.8,40.2,6.1,7.5,81.3,536.1,16.4,104.2,207.2,28.5,257.8,24.9,219.8,92.2,297.5,402.7,556,755.4,2130.9,2804.9,2053.6,105,399.1,329,44.6,170.5,10251,689.3,266.4,6.6,11.3,77,9.9,373.9,29.4,822.4,717.2,99.7,417,977.7,455.1,1240.2,232.9,515.7,63.9,591.2,0,32958.3,2.3,1.1,29087.8,886.5,0,243.1,30275.3,0,123513.9
"DOM_28",978.8,3.6,19.1,362.2,3494.3,364.3,480.4,1559.9,2045.9,27,212.5,961,55.3,1709.3,38.5,792.8,99.8,401.9,435.2,2498,409.5,735.5,14410.7,14541.7,632.9,2178.7,1561.2,669.7,1106.1,18220.1,1869.8,335.3,35.8,24.9,1608,44,398.4,932.7,932.6,943.6,372.8,306.9,943.3,1286.6,1624.5,1305.8,736.9,75.2,438.7,0,13328.1,23.5,2.4,172331.3,5184.2,0,15.4,89229.3,0,365335.9
"DOM_29",459.8,1.3,29.9,82.9,301.7,78.1,192.9,193.9,2719.5,77.4,755,678.7,33.5,562.7,31.8,367.5,254.5,276.3,123.3,752.5,461.1,307.4,4689.7,84849,601.1,1188.5,536.8,117.3,437.2,1488.8,13415.8,2836.7,6.6,6.2,836.6,1262.8,629.9,355.4,188,144.1,205.7,279.8,1591.8,4671.4,3842.3,1149.2,1607.7,80.2,696.7,0,178003,11,0.5,233798.5,6990.1,0,458.8,88173.5,0,643892.5
"DOM_301",3,0,6,0.5,0.4,0.5,0.9,1.3,9.5,0.4,0.8,2.6,4.5,4.3,0.9,4.4,1.1,1,0.5,2.1,1.5,0.8,3.6,7.5,24.9,1620.9,50.6,4.8,0.2,11.4,15.7,79.9,1739.1,442.9,71.3,0.8,5.6,1,2.5,1.3,4.8,61.6,3.6,3,5495.9,7.9,8.1,0.5,8.8,0,8191.8,0.1,0,16265.7,484.5,0,0.2,1809.7,0,36477.4
"DOM_302T309",61.5,1.4,0.8,5.9,33.7,6.1,5.6,14.6,171.8,10.1,35.3,54.7,24.7,99.2,17,58,23,24.1,17.2,158.2,59.4,47.6,249.5,1265.4,471.1,45441.6,324.2,107.6,46.3,478.9,476.6,684.9,130.3,1023,885.5,967.6,99.2,53.6,77.9,145.1,257.3,123.8,1510.9,244.9,30189.7,77.6,196.9,29.8,253.7,0,28172.4,28,1.8,92128.5,2576.9,0,10.5,93775.7,0,303436.5
