"","D01","D02","D03","D05","D06","D07","D08","D09","D10T12","D13T15","D16","D17T18","D19","D20","D21","D22","D23","D24A","D24B","D25","D26","D27","D28","D29","D301","D302T309","D31T33","D35","D36T39","D41T43","D45T47","D49","D50","D51","D52","D53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T75","D77T82","D84","D85","D86T88","D90T93","D94T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_01",56811.3,723.2,19.7,12.3,0,20.5,15.4,28.1,199778.9,1054.5,431.4,146.1,0.9,8710,81.4,80.3,0.2,0.2,0.1,0.4,0.1,0,0.3,0.2,0,0.1,285.2,0.7,0.3,1717.5,2360.5,17.1,38.5,0,1.4,0,426.5,41.9,1.4,3.1,5.3,11.2,568.4,624,2160.8,242.7,4.1,327.8,35.9,0,146300.8,386,0.4,33.5,239.4,0,552.7,46234.5,0,470537.2
"DOM_02",3.3,2250.5,0,14.7,0.2,0.1,0.1,0.3,96.3,9.9,2813.4,951.5,4.6,158.3,0,522.5,0.5,0.1,0,0.1,0,0,0.1,0.1,0,0,66.4,1.2,0,86.8,1.4,0.4,0,0,0.4,0.1,0.4,0,0.4,0,0.8,17.4,2.2,0.3,187,7.7,0.3,0.1,0.5,0,8695.2,97.4,0.1,148.3,5.9,0,0,1934.6,0,18082.3
"DOM_03",3.3,0,15.6,0,0,0,0,0,792.2,0,0,0,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.5,0,0.2,0,0,0,441.4,0,0,0,0,0.3,7.6,0,34.1,7.4,5.8,12.7,11.3,0,581.2,4.8,0,2.9,16,0,11.6,3599.4,0,5604.9
"DOM_05",763.7,2.5,0,2587.1,775.8,72.4,83.6,92.1,1347.3,91.8,8.9,1040.5,1557.7,372.7,10.5,95.5,1015.4,3804.5,573.7,11.8,2.4,6,14.8,25.5,0.5,7.1,6.4,8778.4,3.3,79.3,39.7,11.6,0.2,1.3,11.5,2.8,342.1,0.7,9.2,0.7,20.6,454.4,94.3,3.4,7146.3,213.2,57,9.5,22.4,0,140.1,0.7,0,6332.8,-20.3,0,0,9110.9,0,47236.2
"DOM_06",595.7,32.9,10.3,477.8,28439.2,504.9,487.6,969.1,228.9,17.2,52.4,164.8,280625.3,1094.3,23,75.7,479.5,123.2,32.5,77.4,16.3,66.9,98.7,43.9,2.2,22.8,58.6,22721.1,81.4,2379.3,492.6,2216.4,253,1468.2,218.1,376,209,22.8,26.7,57.7,445.4,405.6,181.4,264.2,5169.8,1296.5,272.5,49.8,127.8,0,8750.5,1.8,0.2,29587.1,-35.5,0,87.1,19171.9,0,411119.8
"DOM_07",2.9,0,0,9.4,181.6,1526,32.8,140,2.1,0.2,0.3,1.3,106.1,1551.4,0.4,0.7,88.9,6070.2,4145.4,298,3.2,56.6,114.3,32.2,2,13.6,157.4,17.2,49.1,328.1,18.2,3.4,0.1,0.4,2.7,0.8,46.5,36.2,44.5,139.2,6.1,133.2,192.8,234.8,85.2,141.4,18,485.1,490.6,0,2,0.2,0,2108.2,3.7,0,0,11251.6,0,30376.7
"DOM_08",1192.6,0.3,0,335.3,330.2,26.3,664.1,77.6,266,41.5,11.8,389.2,220.5,2686.4,35.7,193.1,6141.2,753.3,21.3,45.1,14.3,25.9,40.1,48.7,10.7,93.5,48,435.5,223.4,10849.4,34.3,75.8,0.4,1.6,12.1,2.6,12.4,4.6,50.8,4.7,13.2,295.7,288.8,25.8,1032.2,33.8,66.2,3.3,20.9,0,516.1,0.7,0.1,3348.8,0.7,0,3.5,1971,0,33041.1
"DOM_09",47.5,0.7,0.2,894,18384.2,1019,1005.7,1934.8,76.4,5,9.7,32.7,9311.3,58.8,8,25,387.7,23.2,16.5,85.9,18,20.4,63.5,156,3.1,27.1,25.9,943.7,12.7,2244.7,116.6,46.4,3.1,7.2,33.5,12.5,43.4,7.3,39.8,9.1,72.6,1520.6,94.8,20.4,1009.2,104,34.4,10.1,52,0,218.5,2.7,0.2,78641,8.5,0,1,3196.2,0,122146.2
"DOM_10T12",21220.4,42.9,70.3,8.9,38.2,6.4,5,12.5,98095,879.3,43.9,1385.8,269,2190.4,623.6,332.6,129.9,39.3,19.6,88.1,28.9,32.7,85.9,116.2,4.4,54.3,78.4,33.9,9.1,208.1,3545.9,47.3,101.3,210.3,13.7,10.2,29528.2,47.7,20.9,31,14.2,56.1,2120.5,61.3,16130.2,7988.2,8007.9,2059.1,887.5,0,638525.1,655.2,1.8,767.9,326.1,0,3426.9,53876.8,0,894614.8
"DOM_13T15",396.1,0.6,8.7,9.8,42.7,6.7,4.9,12.4,181.3,3786.7,184.9,1137.5,95.4,1195.8,74.1,975.2,136.7,19.9,10.3,109.9,25.1,27,394.9,1520,37.8,307.4,1465.8,17.9,40.5,686.5,1926.9,16.7,55.8,6.3,17.5,17.8,467.4,37.2,57.2,14.5,8.2,96.9,140.6,156.5,1021.8,190.7,891.5,115,432.8,0,32429.2,16.8,1.7,3263.4,349.9,0,675,17968.9,0,73288.3
