"","D01","D02","D03","D05","D06","D07","D08","D09","D10T12","D13T15","D16","D17T18","D19","D20","D21","D22","D23","D24A","D24B","D25","D26","D27","D28","D29","D301","D302T309","D31T33","D35","D36T39","D41T43","D45T47","D49","D50","D51","D52","D53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T75","D77T82","D84","D85","D86T88","D90T93","D94T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_01",56710.9,715.8,17.5,6.5,0.1,12.2,12.3,9.6,165103.6,1345.2,597.2,215.7,1.3,4377.8,55.7,60,0.2,0.1,0.1,0.4,0.1,0,0.2,0.2,0,0.1,207.1,1.1,0.3,1691,1950.5,18.4,42.3,0,2,0,309.8,51,1.9,2.7,4.5,17.6,412.2,642.7,1865.9,198.7,4.1,338.1,29.5,0,136640.6,381.6,0.3,62.7,218.1,0,580.1,42428.2,0,417346.2
"DOM_02",2.9,3069.5,0,16.2,0.1,0,0.1,0.1,102.8,15.3,4224.2,1524.2,5.7,126,0,423.1,0.4,0,0,0.1,0,0,0,0,0,0,60,0.7,0,142.7,0.9,0.2,0,0,0.2,0,0.2,0,0.2,0,0.3,8.4,2.1,0.4,201.7,7.9,0.1,0.1,0.3,0,10018,118.2,0,71.2,3.5,0,0,1451,0,21599.3
"DOM_03",3.9,0,13.2,0,0,0,0,0,913.4,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0.3,0,0,0,414,0,0,0,0,0,7.4,0,35.2,7.1,5.7,11.6,10.4,0,654.5,5.3,0,0.2,15.1,0,13.8,3415.2,0,5573
"DOM_05",628.3,1.7,0,1170.1,260.7,38.2,59.9,28,1058.5,66.4,10.4,865,755.6,326.3,7.8,92.4,816.3,1825.9,318.2,11.3,2.8,6.2,11.5,20.7,0.4,7.4,6.3,7818.1,4,50.5,30.1,11,0.3,1.1,11.3,2.3,249.6,0.4,7.3,0.6,15.1,414,85.8,3.4,5475.9,186.8,64.7,7.3,22.6,0,25.5,0.5,0,4350.9,-0.8,0,0,3466.8,0,30701.6
"DOM_06",279.5,12.3,3.2,184,10828.7,218.4,313.1,396.8,153.3,7.6,38.8,79,140801.5,914.2,8.8,38.5,319.9,52.9,18.6,40.8,8.6,45.8,45.6,22.7,1.1,10.7,32.2,15046.5,42.9,1838.8,202.7,1075.8,118.2,959.4,92.1,189.9,88.2,16.5,14.4,23.8,201.4,261.5,100.3,148,5958.2,567.1,167.6,24.7,60.5,0,4224.7,1.2,0.1,16944.9,-29.6,0,73.8,21835.2,0,225125.5
"DOM_07",4.4,0,0,1.3,15.9,3102.2,30.9,65.7,3.2,0.3,0.5,2,27.9,1231,0.3,1.1,63.3,4054.2,3195.2,275.3,3,49.4,61.4,27.8,1.4,8.6,103.9,19.6,40.1,400.9,20.5,6,0.2,0.6,4.9,1.3,46.1,35.3,58.2,186.3,8.3,226.5,206.3,233.3,137.9,139,20,487.3,563.5,0,1,0.3,0,2282.1,-2.7,0,0,7458.6,0,24911.5
"DOM_08",1368.9,0.3,0,240.8,226.6,18.1,905.8,46.8,182.4,22.8,8.7,326.3,161.1,1571.2,16.7,117.4,6825.5,563.8,15,31.5,9.4,17.2,25.9,35.9,19,120.1,34.6,700,370.5,14697,41.2,92.5,0.5,1.9,17.2,3.5,18.5,3.3,52.9,4.1,21.1,589.1,300.3,18.8,1402.7,47.3,38.8,3.8,25.9,0,556.8,0.9,0,5432.5,-0.8,0,2.6,1602.4,0,38957.1
"DOM_09",32.9,0.4,0.1,299.2,8234.1,372.9,540.3,698.6,55.3,3.5,8.3,23,3802.7,36.3,4,18.3,307,13.4,11,70.9,12.8,16.4,43,133.1,2.8,21.2,17.4,691,10.1,1966,74.9,33.6,3.4,6.1,24.2,7.9,31.9,4.7,25.5,6.8,39.6,1020.8,51.8,14.4,649.1,70.1,21.3,6.2,34,0,164.6,1.6,0.1,39161.1,3,0,0.7,2979.4,0,61882.9
"DOM_10T12",19137.2,39.2,62.7,3.8,18.7,4.8,4.3,4.9,88397.4,546.2,42.8,866.1,225.7,1349.4,413.5,246.6,133.6,22,11.6,66,22.8,24,56.2,90.2,3.3,34.2,52.3,23.2,7.2,189.1,2908.9,28,147.2,95.2,9.6,5.6,24433.3,39,17.4,31.8,9.4,72.7,2003.8,45.3,17352.5,7549.2,6743.2,1798.2,843.7,0,698254.5,754.6,1.6,798,218.9,0,3589.5,46393.9,0,926243.6
"DOM_13T15",346.2,0.5,3.2,5.6,28,6.8,5.4,6.3,169.4,3070.2,177.7,940.5,76.6,809.4,52.7,852.9,150.1,14.3,7.2,121.6,24.8,24.6,277.1,1334.9,32.4,262.2,1056.7,21.1,44.1,829.7,1708.9,12,44,4,15.2,14,479.8,33.4,59.1,12.3,7.1,140.4,129.7,147.3,902.6,181,828.7,76.1,403.2,0,34566.9,18.1,1.5,3555.6,188.1,0,686.9,16596.1,0,71564.3
"DOM_16",378.1,1.1,12.4,30,3.8,31.9,38.6,51.3,430,46,16896.7,3550.3,13.5,168.3,10.5,1014.3,282.6,32.1,364.2,669.3,136.6,199.3,635.6,2423,69.4,160.5,4930.7,13.8,13.9,33820.3,2833.5,1151.3,1.2,2.7,149.4,51.1,982.3,113,413.4,686.9,47.7,3803.8,414.1,700.3,880.3,1522.1,802.5,93,291.6,0,8041.5,0.4,1.8,10561.7,346.5,0,191.9,4502.3,0,105014.2
"DOM_17T18",544.9,2.6,0.4,37.5,50.5,57,42.9,39.3,27241.8,679.4,685.6,38819,171.9,4653.9,1068.3,3734.4,1324.8,742,713.6,2155.9,543.3,941,2001.5,2734.7,44,714.9,2478,137.3,242.5,3186.8,19871.5,947.6,50,39.3,1938.9,856.6,5409.3,6740.5,815.3,4417,4822.1,1291.8,9410.6,5904.5,10518.7,9749.2,8224.7,959.2,2611.6,0,49827.3,6.2,10,1620.2,124.7,0,748.9,20786.2,0,263491.7
"DOM_19",7626.1,326.9,84.9,778.9,1716.7,690.8,854.2,981.3,3944.4,312.2,1042.8,2162,12534.4,11614,278.1,1601.4,3901.2,1317.9,382.2,1109.7,236.7,1231.5,1124.3,566.5,26.2,229.3,885.8,14453.1,1038.2,22678.4,4836.8,28675.8,3158.8,25671,2336.6,5062.6,2237.6,258.3,291.3,572.9,5221.4,4131.8,1925.9,3898.5,36176.1,14939.9,4286.4,539.7,1428.8,0,113384.9,20.8,0.8,717.6,197.4,0,1981.1,54023.1,0,411705.9
"DOM_20",27935.2,11.1,1.3,524.6,3014.9,704.9,539.9,607.4,7426.7,7591,1941,13476.9,8270.6,92824.4,5205.4,38942.6,3748.8,951.8,337.9,6114.6,2179.8,1994.5,3306.6,6902.5,206.7,1068.1,5578.8,1842.9,939.1,10308.1,2419.8,417.6,28.5,149.5,992.2,140.7,1010.1,558.8,415.2,589.9,328.9,7774.4,6810.7,4548.1,16289.3,3949,5217.5,317.9,2834.8,0,104430.9,72.3,3.1,4554.8,322.7,0,897.5,84512.9,0,504084.9
