user_sector_i,A01,RUP,RMID,ELEC_CIT,TEQ
A01,0.9932931508700219,1.0,0.9830561707581646,0.9999259366381281,0.998340111076827
RUP,0.9974139767592866,0.2882313489641068,0.9830930799756104,0.9977702069085492,0.9982005167797708
RMID,0.9219787677611285,0.5967613032163508,0.8410291213671065,0.9889693427087011,0.9878673856135973
ELEC_CIT,0.9971735712114106,0.9551588312184198,0.8380145136733981,0.5323227783811302,0.8821707736491022
TEQ,0.9029779291778927,1.0,0.9164872145255485,0.7628201615937056,0.8856004890439308
