user_sector_i,D01,D02,D03,D04,D05
D01,0.20152889912194333,0.0033930654225426786,0.05436730943039924,0.00015904994168168806,0.0064427849392328235
D02,0.00013172209564975583,0.05769915649072823,0.023709977216956047,0.0010635339574683988,0.00978646384716334
D03,0.01484478568272205,0.015253747578095788,0.2774620568340188,0.005281450763112275,0.004014200006798327
D04,0.0,2.3182876465074996e-05,0.026438414688670527,0.11608328613962053,0.01201535368789887
D05,0.0,0.00021507596483077824,0.0970781213257856,0.022134184460618156,0.269596288075615
