"","D01","D02","D03","D05","D06","D07","D08","D09","D10T12","D13T15","D16","D17T18","D19","D20","D21","D22","D23","D24A","D24B","D25","D26","D27","D28","D29","D301","D302T309","D31T33","D35","D36T39","D41T43","D45T47","D49","D50","D51","D52","D53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T75","D77T82","D84","D85","D86T88","D90T93","D94T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_01",517972.2,11332,24157.2,9.3,1.7,7.2,44.9,0.5,819840.2,176809.3,11620.1,49474.5,6.6,19987.1,87332.1,126.8,439.8,57,17.7,104.9,8.5,27.6,163.5,65.7,10.1,17.7,9062.6,241.9,2080.5,36719.8,178.9,128.2,5.7,1.3,124.9,3.7,68524.4,76.6,1214,4.7,194.6,560.2,13414.6,8237.1,1.9,1120.5,1085.2,930.4,2240.8,0,489866.4,32.4,7.2,44830.1,632.2,886.7,140.1,17403.7,-93281
"TTL_02",2864.4,29189.5,1279.2,841.6,21.2,81.7,16.8,0,3021.6,53.9,59543.5,7472.9,25.4,9338.1,195.1,25962.5,98.9,8.6,33.6,206.2,15.3,181.7,153.8,15,19.4,0.8,8235.2,17.5,336.2,13733.5,6.4,70,2.9,60.2,0.2,0.2,618.5,0.1,44.4,0.4,7.1,20.8,769.2,297.2,0.2,149.9,11.9,30.9,81.3,0,4687.1,31.7,0.3,12.6,1.1,10.9,0,106.5,-6502.3
"TTL_03",831.4,2.3,22505.9,0.3,0.1,0.3,1.8,0,91478.8,471.8,483.5,660.1,1,1613.8,99.8,22.3,15.1,9.4,0.5,0.4,0.8,0.5,25,8.7,1.6,1.6,55.3,0.7,10.4,2,14.8,0.3,4.5,0.3,0.7,0.3,54506.3,0,109.2,0.1,17.3,50.9,2251,786.1,0.1,200.6,39.5,18.8,209.1,0,99109.2,7.2,0.3,32.3,19.8,47.5,10.4,1471.1,-3104.7
"TTL_05",1272,100.4,85,95040.3,382.4,1956.8,3563,138.7,3148.7,2843.6,441.9,6990.8,24504.6,40860.9,626.8,1205.3,60945.9,48969.5,6267.2,1198.6,83.4,422.8,1119.6,112.6,2.9,105.2,288.7,172871.3,315.3,1902.3,436.2,200.4,0.1,34.7,0.3,46.5,111.4,13.5,0.1,0.1,43.5,84.8,491.2,33,773.7,1034.6,385.9,60.1,258.7,0,2210,0,0.2,1.8,3.8,2,0,1087.7,-33093.4
"TTL_06",24.8,2,6.7,274.1,7360.8,194.3,91,85.2,7.2,9.1,3.8,283.9,479933.4,72388.8,89.8,4040.7,5605.8,2111.9,3283.4,3347,107.5,314.6,4074.7,2120.1,221.2,563.6,6.9,167296.5,7.4,147,25.9,139,69.1,29.8,65.1,5.4,5.1,1.1,2.1,2,14.2,3.4,52.1,15.1,174.2,8.1,82.8,6.2,2.3,0,340.9,0,1.6,122.7,6.5,29.5,0,4318.9,-418666.4
"TTL_07",25.2,1.6,0.3,3.4,5,33075.2,200.4,59.9,2.6,14.1,4.3,65.7,313.8,7987.1,108,50.5,2971.4,264607.7,130283.9,10967.3,232.4,810.5,320.4,249.4,5.5,50.6,81.1,3.9,85.1,1963.8,7.2,1,0.2,0.7,0.4,0.2,1.2,0.5,0.4,1,2,0.9,267.4,0.8,0.9,2.3,0.2,0.1,1.9,0,8.8,0,1.2,4.9,-11.4,5.7,0,7979.5,-225641.1
"TTL_08",47.8,3.1,3.5,141.1,150.6,270.6,3617.9,196.1,109.2,60.5,17.3,1677.4,53.3,19197.2,227,201.2,100655.7,811.4,544.1,369.5,244.4,1367.4,475.7,419.7,41.1,101.3,197.2,228.2,69.8,52409.1,256.4,171.7,1.7,0.6,157.2,0.2,13.8,3,0.2,0.8,2.9,0.8,44.8,3.2,37.9,9.6,2.7,10.5,5.8,0,220.9,0,0.4,10.2,-4.2,6,0,3630.7,-15679.9
"TTL_09",2.3,0.1,0.2,1095.5,30742.8,326.5,695.2,123.1,229.3,1.3,0.6,1.7,1460.1,73.3,0.7,5.4,673,47,25.6,6.3,3.4,2.4,5.5,3.1,0.3,0.8,0.9,270.2,10.7,1554.9,2.1,0.9,0.4,0.3,0.4,0.1,0.6,0.1,0.2,0.5,0.8,0.3,2.3,0.3,0.5,0.3,0.5,0.1,0.2,0,5.3,0,0.6,5.2,1.1,3.6,0,783.9,-1542.6
"TTL_10T12",209210,240.6,34068.7,1065.7,468.4,1967.1,1347.9,35.2,357545.1,22405.7,1638.8,2584.3,4061.5,44996.9,10243.2,1653.2,3213.8,10029.9,8969.9,7916.2,17698.1,9522.1,14726.4,5033.9,805.5,2484.4,1698.3,10845.8,7217.1,11398.2,17689,5472.3,127.1,5601.8,2601.5,1391.9,202951.6,1640.3,4165.9,3786,6251.2,6542.4,21637.2,7386.9,7763.4,20980.1,7618,11524.6,5986.5,0,1063821.9,155.4,7.6,96.6,516.2,2922.1,559.6,55181.1,-88637.9
"TTL_13T15",729.5,254.9,53.6,5831.2,1524.1,1121.5,1156.4,1079.1,7996.6,879421.5,1875.6,19694.4,1479.7,10852.5,11018.3,12615.1,10724.2,2218.3,1365.7,8177.1,11264.5,9199.1,10638.1,16533.2,1197.7,3599.9,49038.2,3117.1,10396.8,12662.4,21751.8,6120.3,475,1468.4,3157.3,3378.7,13304.2,6858.1,2053.9,439.1,16271.6,3977.6,23356.8,11618.4,49040.3,4613.8,17356.8,6395.6,3274.4,0,299339.5,33.8,1.7,87.4,1251.6,911.8,436.6,342126.6,-27433.3
