"","D01","D02","D03","D05","D06","D07","D08","D09","D10T12","D13T15","D16","D17T18","D19","D20","D21","D22","D23","D24A","D24B","D25","D26","D27","D28","D29","D301","D302T309","D31T33","D35","D36T39","D41T43","D45T47","D49","D50","D51","D52","D53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T75","D77T82","D84","D85","D86T88","D90T93","D94T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_01",398000.2,7931.7,18505.2,7.5,1.4,5.9,37.6,0.4,657959.6,129011.4,8393.8,35423.7,6.8,13730.1,62519.6,93.9,328.1,41.7,13.3,77.7,7,20,113.8,44.1,7.8,11.9,6270.1,168.8,1496.1,25982.6,130.5,87.9,4,0.8,96.5,2.9,52491.1,57.3,884.5,3.6,162.7,421.1,9523.5,5965.6,2.3,838.9,744.2,654.5,1504.1,0,399697.3,31.5,8.4,35428.4,235.5,1394.1,410.8,16758,-54178.2
"TTL_02",2523.7,23776.4,1139.1,749.5,18.6,74.4,15.3,0,2587.6,32.5,46881.1,5849.2,21.7,7035.2,148.1,20300.1,80.6,7.1,28.6,165.9,12.9,140.6,116.5,10.9,16.2,0.6,6890.3,13.4,265.7,10584.4,5.1,52.5,2.3,62.5,0.2,0.1,511.7,0,35.3,0.4,6.4,16.9,587,233.7,0.2,122.8,9.3,24.6,58,0,3709.9,31.2,0.3,9.5,0.4,22.6,0,73.9,-5785.8
"TTL_03",655.9,1.7,18597.8,0.2,0.2,0.3,1.5,0,72157.2,326.3,341.3,465.8,1.6,1083.9,69.6,16.1,11.1,7,0.5,0.3,1,0.5,17,5.7,1.1,1.1,37.6,0.6,7.6,2,10.7,0.2,3.2,0.1,0.5,0.2,40859.4,0,77.7,0.1,14.1,37.1,1538.9,555,0.1,145.6,25.2,12.2,137.3,0,80750,6.9,0.4,24.6,11.2,81.1,30.1,1147.7,-2525.1
"TTL_05",1146.3,82.3,76.1,73471.2,302.9,1517.4,2540.3,105.1,2950.4,2298.1,346.1,5267.4,23213.2,30156.7,510.4,891.4,44467.8,37932.4,4907.1,887.4,48,294.9,781,71.8,2.1,71.8,207.2,133452.3,277.1,1108.8,338.4,119.8,0.1,27.1,0.1,37.3,83.8,10.7,0,0.1,38.5,70.7,372.3,20.5,700.6,856.3,315.5,46.1,192.7,0,2089.7,0,0.2,1.2,1.2,3.6,0,827.8,-18120.6
"TTL_06",15.2,1.1,2.8,206.1,5395.9,145.8,65.8,59.8,3.7,6.4,2.3,198.7,373386.4,46017.9,68.7,2745.8,3581.8,1487.8,2406.1,2325.2,56.6,217.6,2638.3,1330.1,160.1,361,3.6,97666.9,3.2,50.9,10.5,42.5,25.3,9,21.2,1.7,1.8,0.5,0.8,0.8,4.3,1.3,20.1,5.3,143.2,3,64.6,4.3,1,0,291.8,0,2.1,61.3,4.5,37.3,0,1258.9,-273086.5
"TTL_07",7.2,0.5,0.1,2.4,2.2,26427.5,156.7,46.6,2,4.5,2,57.2,257,6694.3,85.7,21.2,2304,197367.9,107898.3,8293.5,197,715,267.7,216.3,4.6,42.2,69.5,3.9,82.4,1503.5,4.7,0.8,0.1,0.6,0.3,0.1,0.5,0.2,0.2,0.6,1.4,0.6,208,0.4,0.5,0.9,0.2,0.1,0.7,0,3.8,0,1.1,2.2,-2.3,14.5,0,4131,-169543.5
"TTL_08",29.4,1.9,2.8,113.8,119.3,228,2743.9,150.4,98.6,43,12.3,1294.8,44.2,15287.3,185.8,135.6,79426.9,651.3,443.7,275.9,176.9,1037.1,337.7,290,31.8,68.2,169,174.8,58,36912.8,213.1,123.5,1.3,0.3,108.5,0.1,9.1,2.2,0.1,0.5,2.3,0.7,31.4,2,34.2,6.9,2.1,8,3.7,0,214.4,0,0.4,7.9,-2.1,10.3,0,2553.3,-7221.2
"TTL_09",1.2,0.1,0.1,800.1,24119.3,221,513.3,94.9,219.5,1.8,0.6,1,1441.5,49.7,0.5,3.7,520,39,23.1,6.1,5.6,2.2,5.2,2.7,0.3,0.7,0.9,194.4,8.5,1174.7,1.9,0.8,0.4,0.2,0.3,0.1,0.3,0.1,0.2,0.5,0.6,0.2,2.2,0.3,0.6,0.2,0.5,0.1,0.2,0,4.3,0,0.6,6.8,1.2,7.1,0,616.8,-1132.4
"TTL_10T12",149433.7,172.2,24204.2,830.8,360.3,1567.2,1140.2,25.1,266825.8,15056.7,1232.3,1940.7,3142.9,29588.1,7508.9,1103.6,2333.9,7769.2,7010.8,5820.8,13093.4,6879.6,10617.4,3412,619.1,1738,1391.1,8533.9,5185.6,7753.3,13244.5,3847,93.3,4037.2,1858.7,1085.8,144141.8,1274.4,3067.6,2844.4,5160.6,5270.8,15147.7,5241.1,6835.5,15271.4,5268.4,9007.6,4113,0,865218.6,144.1,7.6,72.7,271.6,4903.7,1679.5,47427.3,-16556.5
"TTL_13T15",656.1,201.2,45.5,4602.2,1188.5,909.4,1024.4,820.3,7203.2,702908.4,1460.9,15456.2,1164.7,8259.4,9328.6,9215,8070.5,1676.7,1070.8,6028.3,7702.1,6600.8,7315.6,11971.8,913.9,2584.9,38225.2,2237.5,8274,8515.4,17403.5,4918.2,371.9,1095.5,2268,2631.3,9674,5498.1,1614.4,319.2,13495.6,3192.2,17974.7,9018.1,42034.1,3876.8,13291.2,4848.8,2432.8,0,259739.5,31.8,1.8,63.8,1045,2179.6,1256.8,251433.4,-30244.1
"TTL_16",38.5,21.2,13.6,7544.1,6.8,561.6,142.6,8.8,886.5,978.8,61531.4,5721.3,92.7,1743,130,1126.8,2678.8,89.1,279.3,6578.9,1463.7,1338.8,1940.8,1033.7,85.5,151.8,48730.6,190.6,525.2,74917.6,493.7,170.4,6.4,7.9,106.6,12.8,52.4,4.7,0.6,1.8,14.7,1.3,25.6,2,56.1,162.8,42,403.7,19.7,0,4489.8,0,2.8,49.3,52.8,215,60.3,12645.9,-9872.2
"TTL_17T18",354.6,70.5,129.3,58.5,42.1,103.6,579.8,35.8,18774.8,4656.7,1699.7,145309.3,152.4,6337.8,5766.6,3141.4,13615.8,183,588.1,2869.1,8618.3,8650.1,4684.7,1694.2,100.4,341.8,13467.1,169.6,587.8,3695,30512.6,464.2,10.7,125.3,376.7,4647.9,2577.2,10454.1,1386.4,23039.4,25074.3,5259.7,73372.2,11693.2,18211.5,12975.2,93.1,839.7,618.5,0,30418,0.1,11.3,5813.1,293.5,710.6,178.6,21403.6,-21221.3
"TTL_19",8142.1,660.6,3323.8,1562.4,2010.1,11018.9,9584.2,1453.8,1477.9,1613.5,937.8,1114.6,34149.8,127449,635.2,4097,27093,71206.3,10521.2,4972.8,1954.7,1709.9,4568,1742.7,434.3,457.9,1686.4,24642.8,2982.8,47390.1,11495.1,66648.1,48554.1,19471.7,31849.9,2438.8,1609,388.6,774.2,468.9,5731.8,1787.8,21036.6,7834.5,5172.8,3491.3,242,364.6,795.5,0,24943,3.4,2.4,63.6,75.7,1301.3,296.6,35561.2,-30814.2
"TTL_20",138199.8,7368.5,1397.9,5681.4,18512.2,9094.2,12654.9,2116.7,6193.7,64245.6,14693.6,35926.3,12253.5,417720.1,14622.6,167560.9,40934.1,6974.1,13787.1,15665.6,23806,36080.1,9898.4,10609.8,1522.9,2140.5,21495.8,386.5,15381.3,99872.1,9250.7,948.1,101.8,345.3,120.1,145.8,3909.4,1984.5,33.4,1000.5,639.9,366.4,33839.4,2261.3,3015.4,9979.4,908.1,290.8,6416.6,0,31645.5,14.3,21.5,216.7,346.5,506.4,231.8,118416.3,-144476
"TTL_21",15037.1,268.6,2064.9,132.4,146,37.2,17,4.5,1582.7,247.7,20.5,1430.7,45.4,2768.5,105250.9,381,1079.6,291.5,61,365.5,1342.3,278.2,713,45.8,3.2,29.5,255.4,44.4,511.8,4188.3,114,61.6,57,40.2,61.7,100,9.8,42.3,300.9,190.2,210.6,27.4,5450.7,117.9,339.7,1379.6,180309,27.7,161.8,0,94985.6,29,118.3,313.8,76.5,409.6,193.6,13995.3,-23394.4
"TTL_22",18192.5,562.3,431.1,1289.8,369.8,1962.4,960.1,1426.6,17519.7,15640.7,1617.8,10227.2,1347.8,27754.5,2177.6,115950.8,9947.8,423,1134.5,9228.1,37160.6,41461.9,29385.4,41921.9,656.6,8278.8,17476,129.1,6079,50785.7,13698.2,11112.9,52.1,83.7,3289.4,1834.6,1899.1,223.1,824,927.3,219.3,475.4,5264.4,1401.3,364.4,101,530.5,230,1739.6,0,10023.6,0.1,10.3,292.4,245.4,48.8,0,71808.4,-18952.8
