"","D01","D02","D03","D05","D06","D07","D08","D09","D10T12","D13T15","D16","D17T18","D19","D20","D21","D22","D23","D24A","D24B","D25","D26","D27","D28","D29","D301","D302T309","D31T33","D35","D36T39","D41T43","D45T47","D49","D50","D51","D52","D53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T75","D77T82","D84","D85","D86T88","D90T93","D94T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_01",179118.3,4841.2,7574.2,4.9,0.7,7.5,41.2,38.7,436723.3,107270.6,5640.9,16083.3,6.2,10801.4,42162.5,75.1,241.9,120.7,21.2,119.5,6.1,9.5,152.7,39.8,3.3,3.9,6373.7,77.3,372.7,14558.5,459.9,68.5,6.2,0.7,13827.2,0.2,22969.4,18.1,851.3,4.3,19.2,209.3,5152.8,1468.5,10.6,1786.7,1047.4,3905.2,1216.8,0,259181.5,20.4,9.5,61415.4,802.2,555.2,539.2,11101.8,-50059.9
"TTL_02",613.5,7781.6,249.8,456.8,12.8,103.2,18.3,1.7,1791.8,37,34143,3240.3,33.7,5957.4,104.7,18180.6,64.2,21.6,53.8,278.7,2.1,54.6,169.6,10.6,7.3,7,4749.3,6.8,55.7,6426,19.9,43.9,3.5,16.5,3.4,0.1,241.6,0.7,36.6,0.6,1,9,402.8,64.1,1,283.1,21.9,273.1,52.5,0,783,20.6,0.8,9,0.4,10.5,0,54.4,-4830.1
"TTL_03",368.2,1.1,9291.4,0.1,0.1,0.3,1.8,3.9,56547.6,416.5,264.5,3.3,1.3,980.7,54.4,14.7,9.2,22,0.2,0.2,0.6,0.3,25.9,5.9,0.5,0.6,43.9,0.4,28.2,0.7,46.3,0.2,4.4,0.1,0.5,0,20601.6,1.4,86.2,0.1,1.5,21,1260.7,182.4,1,357.4,17.8,8.3,123,0,46790.7,4.8,1.5,20.6,10.9,31.9,41.9,1010.4,-962.5
"TTL_05",67.5,6.6,4.1,53425,497.5,1034.2,860,307.5,2419.9,2010.3,563.1,3930.6,23785.6,25415.2,456.6,1869.4,32221.6,34460.5,4861.2,2095.4,35.2,354,2426.7,332.1,23.9,180.5,1390.8,122541.1,950.8,553.9,12.2,855.1,31.9,41.4,0.2,50.6,49.1,53.5,0.1,0.1,0.1,63,185.1,25.3,542.1,466.3,436.1,55.3,304.5,0,2408.8,0,0.3,1.7,-2,1.4,0,1270.1,-18619.2
"TTL_06",22.3,2.2,5.9,141.3,2283.9,169.5,162.8,71.9,6.4,7.8,2.5,553,320400.8,24751.2,15.1,153.4,1427.8,378.8,524.7,459,11,11.6,824.7,260.5,20.1,101.2,4.1,36098.2,3.2,41.3,9.3,87.1,27.4,20.6,21.9,1.7,1.9,0.6,1.3,0.9,7.2,2,25.7,20,11.7,3.2,1.9,1,2.8,0,257.3,0,3.5,85,11,21.1,0,2539.1,-213671.8
"TTL_07",22.6,1.7,0.3,232,3,25081,385.9,0.6,4.6,16,3.6,9.9,109.7,7531.7,41.6,35.5,3768.6,181946.5,76007.6,3659.4,22.7,1133.9,600.2,60.9,21.5,8.9,53.7,167.5,292.3,884.7,3.8,6.2,1.9,0.5,1.7,0.2,0.8,0.7,0.5,1.1,2.2,0.6,164.8,1.7,1.7,2,0.4,0.7,3.8,0,9.1,0,2.5,5.7,-7.3,4.2,0,2593.4,-143643.6
"TTL_08",15.5,1.5,4.2,71.8,4.1,192.3,1400.1,35.7,185.4,22.5,45,34.9,9.2,13765.3,67.2,61.6,55419.8,1323.7,321,218.5,7.7,895.3,409.8,145.8,1.5,8.8,799.9,92.9,15.4,13529.4,1.8,21.4,1.8,0.7,1.4,0.2,2.1,0.3,0.2,0.5,0.7,0.3,19.9,1.2,1.2,1.2,1.6,3.8,8.3,0,188.3,0,0.7,34.4,-0.3,3.6,0,2380.2,-4932.8
"TTL_09",1.7,0.1,0.1,632.5,14510.8,231,237.8,59.2,259.3,1.5,0.5,1.3,2635.1,30.4,0.5,1.9,747.8,35.2,15.3,2.4,2.3,1.9,3.1,1.6,0.1,0.4,0.8,157.4,10,1337.7,1.9,1.9,0.6,0.3,0.5,0.1,0.3,0.1,0.4,0.4,1.6,0.3,2.3,0.5,0.4,0.2,0.2,0.1,0.4,0,2.8,0,1,3.9,0.8,4.9,0,513.3,-910.3
"TTL_10T12",114336.6,104.3,16983.4,1197.8,864.7,976.9,762,10.6,275925.9,18784.6,664.8,1724.6,2508.2,28617.8,6902.1,1826.6,3085.4,3637.3,2466.4,2400.9,5353,3620.9,5778.5,1704.9,296.1,602.6,1870.6,2445.1,2123.2,5253.2,6712.9,3747.2,3185.9,3014,3239.7,591.9,98040,670.2,2802,527.7,3021,3427.6,7604.5,4164.1,8961.8,7731.4,4724.1,4540.3,6283.4,0,585214,109.6,11.4,62.3,348.3,2007,2203.1,38339.5,-34519.1
"TTL_13T15",535.1,105.5,11.6,1104.5,391.5,627.3,252.1,92.4,2093.9,427555.1,669.4,1755.5,302.5,5783.7,3397.9,15527.2,5674.9,1252.8,1054.3,2392.3,1425,2925,5454.6,12678.3,232.5,709.1,26304.2,468.5,2453.5,8755.4,2423.2,1879.3,57.6,541.1,1514.2,254.1,3698.3,2830.1,438.4,26.3,5813.9,2042.1,4742.3,4051,18869.4,937.3,6584.4,1372.9,2246.6,0,169514.3,15.9,2.1,45,963.7,820.3,1655.1,255150,-21380.6
