"","D01","D02","D03","D05","D06","D07","D08","D09","D10T12","D13T15","D16","D17T18","D19","D20","D21","D22","D23","D24A","D24B","D25","D26","D27","D28","D29","D301","D302T309","D31T33","D35","D36T39","D41T43","D45T47","D49","D50","D51","D52","D53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T75","D77T82","D84","D85","D86T88","D90T93","D94T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_01",378052.8,7573.1,17229.3,8,1.3,6.8,42,0.4,632872.7,130999.5,9001,33586.9,5.6,13337.3,58543.2,95,358.1,41.3,14.3,81.7,6.8,20,116.5,47.7,8.1,11.3,6243.1,148.4,1195.1,26052.6,129.7,91.9,4,1.6,103.9,3.2,56491.8,55.7,856.7,3.6,164.9,398.3,9152.9,5952.7,2.3,781.2,706.5,615.9,1383.6,0,379661.7,32.5,7.9,37464.2,379.9,1562.8,471.5,15239.3,-52228.6
"TTL_02",2433.4,22863,1068.9,754.3,17.8,83.7,16.2,0,2380.6,38.4,47250.6,5243.4,15.8,6390.8,133.2,19429.2,82.6,6.5,28.2,163.9,13.4,130.5,111.5,10.8,15.8,0.5,7212.2,11.1,197.8,9989.6,4.8,51.2,2.1,114.2,0.1,0.1,520.8,0,32.1,0.3,6.2,14.9,520.1,220,0.2,107.3,8.8,22.4,48.9,0,3348.4,31.5,0.3,10.4,0.6,15.2,0,82.7,-6504.7
"TTL_03",689.1,1.8,18592.9,0.2,0.2,0.3,1.7,0,67023.6,311.2,355.6,399.8,1.6,1023.4,63.6,16,11.8,6.6,0.4,0.3,0.9,0.5,16.9,5.9,1.2,1,36.3,0.6,6.2,2,10.4,0.2,3.1,0.3,0.5,0.3,42680.1,0,73.2,0.1,13.9,33.9,1410.1,540.7,0.1,132.6,22.2,10.6,121,0,76727,7.1,0.4,24.6,14.1,87.9,34.1,1158.8,-2508.1
"TTL_05",1207.3,87.1,78.6,71033.2,292.4,1614.3,2378.2,104.6,3161.8,2466,382.7,5105.5,22443,30313.1,522.3,892.6,45469.8,37292.6,4943.8,899.1,48.4,285.3,776.7,77.3,2.2,67.2,210.2,125280.2,263.3,1075.7,343.1,99.9,0.1,42.9,0.1,40,98.4,10.9,0,0.1,38.5,70.8,370.9,16.5,729.7,830.9,345.7,45.8,191.1,0,2127.2,0,0.2,1.6,1.8,4.7,0,698.4,-19974.4
"TTL_06",15.3,1.1,2.4,225.7,5753,168.9,74,64.4,3.8,7.1,2.5,211.6,356995,47876,76.3,2946.6,3839.4,1579.1,2635.7,2558.2,53.3,237.8,2855.4,1567.5,174.6,372.1,3.8,83831.4,2.3,42.2,9.3,32.5,20.1,9.3,15.8,1.3,1.9,0.5,0.6,0.8,3,1,16.7,3.9,159.7,2.2,76.9,4.7,1,0,287.9,0,2.3,62.6,7.4,49.5,0,1980.9,-256819.9
"TTL_07",8.5,0.6,0.2,2.1,2.4,26493.4,152.2,45.5,2.1,5.1,2.3,55.7,180.7,6947.1,78.4,22.4,2271.1,167075.5,103885.6,7705.1,209.2,738.3,277.6,256.8,4.6,42.1,75.1,3.3,79.6,1404.8,3.9,0.8,0.1,0.9,0.3,0.1,0.6,0.2,0.2,0.4,0.9,0.4,193.3,0.4,0.4,0.9,0.1,0.1,0.8,0,4,0,0.9,2.2,-4.2,14.6,0,3439.1,-140692.3
"TTL_08",27.8,1.8,2.9,105.4,105.2,235.4,2481.4,137.4,96.8,41.2,12.4,1086.7,34.4,15087,174.9,123.3,79602.3,567.8,404.7,255.5,171.2,960.3,309.2,281.5,29.4,56.6,185.5,148.9,47.8,31970.6,205.4,117.7,1.9,0.5,80.1,0.1,10.2,2.1,0.2,0.5,2.2,0.6,28.9,1.8,32.9,6.2,1.9,7.2,3.4,0,216.8,0,0.4,7.9,-3.4,11.7,0,2841.2,-6448.5
"TTL_09",1.5,0.1,0.1,730,23020.5,210.3,506.5,97.5,269.9,1.9,0.6,1,1524.6,53.5,0.5,4.1,583.4,27.7,19.2,6.5,5.3,2.4,5.6,3.4,0.4,0.8,1,180.3,7.8,1208.4,1.9,0.9,0.5,0.3,0.4,0.1,0.5,0.1,0.2,0.4,0.5,0.2,2.3,0.3,0.6,0.3,0.5,0.1,0.2,0,5.7,0,0.7,7.2,1.3,7.6,0,570.6,-1126.1
"TTL_10T12",149245.7,172.5,23697.9,799.3,334,1669.1,1204.9,23.7,264870.5,15269.1,1303.3,1746.3,2134.8,29262.3,7314.5,1034.5,2350.9,7272.1,6722.5,5615.7,13199.6,6355.9,10377.5,3420.3,592.5,1577.4,1570.9,7841.4,4154.9,6934.4,12851.6,3826,94.5,6036.5,1628,1108.8,158226.2,1211.8,3000,2660.8,4884.4,5009.3,14563,5049.1,6846.6,14347.8,5271.9,9081.6,3965.6,0,838586.2,145.2,7.9,72.9,353.7,5340.6,1821.9,49568.6,-53963.5
"TTL_13T15",597.4,181.7,40.2,4016.9,988.5,887.4,1019.7,723.3,6677.1,673548.6,1427.5,12885.7,781.9,7502,8815.5,8084.6,7490.1,1417.8,956.2,5378.7,6628,5604.6,6313.8,12078.7,805.2,2241.4,36809.2,1717,6202.9,6824.9,15589.4,5074,340.6,1472.3,1844.1,2418.9,9954,4881.5,1424,262.7,11571,2748.4,15895.1,8057.8,37058.7,3401.9,12320.1,4210.3,2203.4,0,259233,31.6,1.8,63,1114.1,2368.9,1442.9,261099.8,-30728.3
"TTL_16",40.4,23,13.6,7317.3,6.4,621.9,153.4,8.5,922.1,969.7,64865.1,5302.3,68.4,1701.4,129.5,1071.6,2819.6,88.5,275.8,6482.9,1451.3,1242.1,1867.1,1064.8,83.6,138.1,51435.8,171.9,432.3,74183,496.1,156.1,6.2,10.4,85.8,13.3,59.5,4.7,0.6,1.7,13.7,1.2,24.6,1.9,56.1,154,42.4,385.9,20,0,4555.4,0,2.5,42.2,58.6,234.7,67,13871.9,-10268.1
"TTL_17T18",351.6,72.6,122.6,52.1,36.9,108.9,627.3,33.6,19554.2,4667.2,1859.7,136442.9,108.1,6153.5,5464.9,3055.1,13856.5,171.9,584.7,2796.4,8456.1,8186.4,4554.7,1747.9,98.4,323.3,13263.8,134.7,449.1,3043.3,28501.7,452.2,9,164.2,415.8,4422.4,2852.7,9856.2,1250.4,19527.3,21700.5,4676.8,68684.9,11242,16121.6,11062.6,93,705.5,544.2,0,26788.9,0.1,10.5,5314.3,476.2,776.6,201.1,19016.7,-20710.2
"TTL_19",8288.3,675.8,3317.7,1538.6,1898.2,11854.9,8931.2,1417.3,1547.4,1676.6,1013.5,1045.2,28971.4,120817.6,642.5,3934,27217.7,63431.6,9861.8,4880.2,1954,1607.2,4428.8,1836.7,427,433.5,1770.7,21620.3,2394.8,41223,11659.3,66611.6,47799.5,26713.9,30493.7,2246.6,1722.9,382.8,698.3,442.1,4497.3,1748,19282.3,7558.7,4412.6,2878.3,240.1,370.6,777.1,0,26518.8,3.4,4.1,66.9,99.4,1415.9,335.2,34831,-34517.9
"TTL_20",138212.1,7408.2,1372.7,5828.3,18416.4,9025.3,12001.3,2129.7,6608.6,66975,15384,35231.1,9235.9,427411.1,15681,166824.7,43515.7,7229.5,14229.2,16036.5,25138,35647.5,10136.8,12027.5,1513.5,2023,22273,359.1,12412.1,98328.8,9101.4,1074.6,110.2,445.3,120.8,149,4419.8,2008.9,32.5,970.9,632.8,365.9,32850.5,2239.1,3059.2,9486.3,795.1,303.3,6290,0,30034.5,14.2,23.1,211.3,305.5,569.9,258.8,126377.2,-149448.6
"TTL_21",13909.3,249.5,1873.8,120.3,126.3,35.3,14.5,4,1580,235.9,19.1,1243.7,32.6,2519.6,98107,340.6,1000.8,258.4,55.2,332.7,1168.6,228,641.7,45.6,2.8,26.2,247.1,37.8,378.8,3559.4,103.8,73.8,51.4,48.6,59.7,96.1,13.5,35.9,275,165.8,189.4,24.3,4861.9,104.8,316.4,1205.8,171424.4,25.3,143.3,0,94668.7,28.8,99.7,269.7,128.1,440.8,217.7,14067.3,-20063.9
"TTL_22",17467.8,542.7,406.1,1231.3,341.5,1963,1020.2,1356.7,17864.1,15482.4,1730,8920.5,937.7,27568,2156.9,107385.1,10215.8,398.2,1112.3,9033.6,37206.4,39596.6,28651.9,46407.6,626.8,7475.2,17034.2,102.8,4945.4,46155.8,13603.2,10646.2,50.3,106.5,2860.8,1762.7,2108.8,222.3,805.6,872.3,211.1,461.6,5083.4,1327.4,368.3,93.9,546.3,228.6,1683.8,0,9926.1,0.1,10.1,303.4,218.4,53.6,0,68611.9,-18530.5
"TTL_23",658.6,145,469.2,1272.2,198.8,1054.3,3067.1,993.6,7300.2,764.2,782.1,660.9,2918.2,6297.7,3199.6,2533.2,206832.5,14874.4,8941.2,10872.3,32263.6,27583.6,9219,18875.2,319.8,785.3,3294.9,2468.3,824.9,633633.3,878.9,291,46.9,157.4,120.6,11.5,616.2,3.3,142,4.2,54.8,36.6,2063.2,201,23.5,1547.2,297.8,3.9,60.1,0,7107.6,0,5.1,93.6,109.3,37.4,0,44118,-8785.3
"TTL_24A",331.5,134.2,180.8,12319.2,5069.6,1566.4,672.9,2023.2,417.9,442.2,190.5,834,126.6,1081.9,54.6,2361.8,20640.7,224418.2,4225.7,165647,9230.1,24886.3,103726.1,45236.4,6721.6,7646.3,6445.2,440.2,640.5,372405.8,28.9,686.1,186.2,66.6,67.6,5,4.2,0.7,9.6,0.5,1.1,2.4,491.7,22.7,1.2,36.1,0.5,1.4,5.2,0,9.5,0,1,38.8,-5.3,6,0,55851.2,-16038.1
"TTL_24B",33.5,12.5,0.7,31,4,966.4,43.8,247.7,170.5,212.6,211.9,11921,10.6,11831.5,126.6,2893.6,8911.5,12899.1,257179.1,70342.2,46320.2,164641.9,61700.8,57228.3,993.6,9374.4,16512,94,1191.4,11599.3,300.8,38.3,0.5,172.6,1.1,1.2,8.4,0.6,1,2.4,7.4,1.7,218.3,2.6,6.4,57.8,1.8,1.3,85.5,0,72.2,0,5.8,103,-7.6,16.7,0,27549.6,-85217.8
"TTL_25",1349.9,354.5,205.7,11924.4,258,4887.2,3834.9,898.7,4458,2770,2309.6,1451.7,261.5,4367.8,1253,6492,20706.7,3203.4,1612.4,121719.8,27359.7,35122.8,78052.6,34664,6627.4,7545.7,11276,2631.3,2192.5,147830.7,5393,843.5,425.8,119.1,2867.4,140.7,645.8,33.2,314.1,253,178.6,1146.6,30258.9,4371.7,1222.1,1265.9,68.8,161.9,1900.7,0,6783.2,0.1,13.9,137309.4,9783.3,62.5,0,88924.5,-15526.7
"TTL_26",528.9,104,119.4,515.4,2808.3,250.6,102.6,427,855.9,467.2,73.4,556.1,484.2,1565.8,403.8,1389.6,1348.1,1121.5,230.6,5887.8,725056.9,50121.1,49076.1,19422.8,4613.2,5719.6,4204,16988.8,2356.1,10087.9,28819.1,2263.3,454.3,1389.6,2864.7,196.1,1370.3,1372.4,12076.6,25878.6,1648.3,361.3,54141.9,3345.4,4386.7,5217.5,9687,799.4,6736.1,0,105461.7,22.8,142.3,249827.1,18173.5,454.1,297.1,535738.2,-324511.2
"TTL_27",278.6,150.2,90.7,1732.8,443.8,1158.8,1491.8,163,762.7,548.5,146.1,276.7,122,1144.7,143.2,1566.4,1943.7,951.1,473.2,7923.2,85782.1,145486.4,60143.7,26157.2,6670.3,17268.9,5066.8,49876,898.7,107283.8,37249.4,2290.1,75.2,2152.8,1939.6,360.7,779,575.2,6970.7,4608.7,185.4,60.9,22224.8,2772.6,1947.7,124.8,397.8,95.5,1947.3,0,58461.6,0.1,20.3,112355.2,8106.1,224.7,154.3,168350.3,-45655.6
"TTL_28",13708.5,1659.5,5343,13224.4,14374.9,9495.9,8141.9,2864.5,2378.4,3374.2,1538.5,2872.3,2104.4,9970.9,841.7,3207.6,18412.7,18667.5,5666.5,33564.4,44072.9,31436.2,229438.7,39231.8,4904.3,8546.2,4922.5,1229.2,1500.1,38439,1175.3,2441.6,3682.8,2716.4,8829.5,383.8,709.1,24.9,556,106.8,2900.2,296.7,1094.8,288.3,197.3,498.8,155.1,58.9,166.3,0,4187.1,7.4,48.7,508854.8,35833.2,68.6,0,153052.1,-96990.6
"TTL_29",1388.8,417.3,516.7,290.6,67.8,1004.5,1034.3,169.9,189.6,231,28.5,138.1,11.1,322,37.3,183.9,2305.7,242.8,108.6,2205.8,1050.1,1543.4,16334.3,309223.2,23.4,1009.9,295.8,134.4,1366.1,1159.3,10701.6,67126.5,130.6,153.9,4008.3,1784.3,511.4,46.4,129.5,93.4,382.7,23.3,16068,5664.9,2085.1,105.2,41.3,55.5,3076.8,0,139821.4,0.5,111.9,448010.1,31650.6,330,193.5,65918.6,-75660.5
"TTL_301",9.5,0.4,1064.2,2.7,3.4,1.7,2.6,0.4,1.1,1,0.5,0.7,0.5,2.6,0.4,1.5,5.5,2.8,1.2,14.8,10,8,1491,10.2,5896.3,8.7,582,3.9,104.6,288.7,1.6,101.5,7375.3,168.8,3.6,0.1,0.3,0.1,0.4,0.3,0.5,0.3,28.3,0.7,210,4.6,0.1,0.1,10.6,0,223,0,0.3,26694.6,1865.9,0.9,0,23340.2,-1563.5
"TTL_302T309",1133.2,53.6,130.3,187.7,8.8,36.2,92.4,5.6,65.5,63.5,59.4,11.6,17,145,33.4,28.2,68.2,47.1,20.6,73.1,261.3,335.3,2107.8,590.3,154.8,21544.1,2212.3,7.4,8.4,756.8,5471.7,7334.3,16.4,3477.5,580.7,2236.5,8.5,1.3,2.2,11,31.8,2.2,155.2,11.2,434.6,11.6,129,16.6,1919.1,0,17096.7,0.1,27,80369.5,5663.3,5.1,0,27728.9,-28819.1
