"","D01","D02","D03","D05","D06","D07","D08","D09","D10T12","D13T15","D16","D17T18","D19","D20","D21","D22","D23","D24A","D24B","D25","D26","D27","D28","D29","D301","D302T309","D31T33","D35","D36T39","D41T43","D45T47","D49","D50","D51","D52","D53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T75","D77T82","D84","D85","D86T88","D90T93","D94T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_01",388524.8,8098.4,18084.5,7.5,1.4,6,34.2,0.4,663818.8,150516.3,8714.1,38631.3,7.2,15582.8,67786.1,95.8,332.2,45.8,14.8,77.2,8.7,20.9,119.4,48.2,7.4,13,6918.8,199.3,1631.6,26101.5,140,97.8,4.4,1.2,96,2.9,54593.6,61.7,945.8,4.2,160.2,452.7,10350.4,5749,2,905.1,845.7,654.6,2477,0,425048.2,32.5,8.4,36030.9,315.2,815.5,116.2,18281.2,-54898.6
"TTL_02",2314.7,22871.9,1047.8,729,18.3,67,14,0,2610.3,33.9,48936.3,6392.2,33.7,7982.7,158.8,21208.4,81.6,6.8,28.1,164.3,12.3,146.3,121.5,11.6,15.5,0.6,6889.5,15.6,289,10691.4,5.3,58.4,2.4,50.7,0.1,0.1,533.4,0,37.8,0.4,6.4,18.3,645.5,224.3,0.2,132.7,9.8,23.6,98.7,0,3944.1,31.1,0.3,7.3,0.5,11.1,0,65.3,-5365.9
"TTL_03",611.9,1.6,16640.3,0.2,0.1,0.2,1.4,0,73340,379,358.2,510.4,1.4,1242.9,76.5,16.6,11.2,7,0.4,0.3,0.9,0.4,17.9,6.1,1,1.1,41.7,0.5,7.9,1.6,11.4,0.2,3.4,0.2,0.6,0.2,42912.3,0,84,0.1,14,40.5,1706.9,535.9,0.1,159.9,31.1,12.9,224.5,0,85554.3,7.2,0.4,25.8,10.2,44,8.5,1254.4,-2193.4
"TTL_05",922.5,69.3,61.4,72661.8,292.1,1416.5,2615,99.2,2456.4,2327.8,320.3,5276.4,28830.8,30805,469.9,867.8,44499.4,35230.6,4647.5,842.8,54.4,295.5,778.7,74.6,2,72.6,208.2,137760.2,239,1195.6,321.1,147.5,0.1,25.8,0.2,34.7,71.9,10.2,0.1,0.1,34.5,66.3,360.7,22,645.5,808.2,276.4,41,245.3,0,1827,0,0.2,1.1,1.3,3.2,0,382.4,-11805.9
"TTL_06",9.2,0.7,2,125.4,3374.8,81.1,36.7,36.1,2.9,4.6,1.5,127.9,338178.4,32582.3,40.2,1738,2437.7,881.6,1449.7,1408,46.8,133.7,1705.2,869.3,93.2,232.8,2.6,79836.7,2.2,41.8,7.1,32.8,17.6,7,15.9,1.4,1.5,0.3,0.6,0.6,4,0.9,14.4,3.8,84.5,2.3,35.1,2.3,0.9,0,278.6,0,1.1,75.2,2.9,17.5,0,1197.6,-189077
"TTL_07",5.1,0.4,0.1,1.8,2.3,28512.9,171.6,50.4,1.7,4.1,1.5,41.7,436.2,7102,94.8,16.9,2551.7,226711.4,114774.8,9128.7,150.1,521,203.1,155.2,3.4,31.7,52.3,2.4,73.5,1596.8,5.8,0.8,0.2,0.5,0.4,0.1,0.5,0.2,0.4,0.9,2.2,1,231.3,0.5,0.5,0.8,0.2,0.1,0.7,0,4.1,0,1.5,3.3,-13,9.5,0,5952.8,-205011.5
"TTL_08",23.8,1.5,2.5,115.1,121.6,210.5,2866.6,151.5,91.2,45.2,11.9,1365.8,62,15579.4,182.6,137.6,79432.8,629.8,434.6,279.5,184.9,1044.5,357.4,309.5,31.1,75.3,152.6,194,55.4,38854.2,211.5,135.7,1.1,0.3,125.6,0.1,8.9,2.2,0.2,0.5,2.3,0.7,31.6,2.1,33.7,6.9,2.3,7.8,5.4,0,218.8,0,0.3,8.2,-3.4,5.9,0,2577.3,-5336.8
"TTL_09",1.5,0.1,0.1,885.3,24789.7,249.3,539,93.2,186.1,2,0.5,0.8,1559.9,29.2,0.5,2.4,499.8,31.4,17,4.4,7.2,2.1,3.8,2,0.2,0.5,0.8,168,8.4,1142.7,2.3,0.7,0.3,0.2,0.3,0.1,0.6,0.1,0.3,0.6,0.8,0.3,2.5,0.3,0.5,0.3,0.4,0.1,0.2,0,5.8,0,0.6,6.5,0.4,3.8,0,634.8,-992.9
"TTL_10T12",160611.4,179.2,26088.1,894.9,392.2,1564.6,1083.2,27.7,297332.4,17950.4,1294.7,2123.9,5239.6,36382,8344.7,1294.2,2558.8,7921,7292.2,6115.8,13787.1,7409.7,11242.9,3784.9,621.3,1879.6,1370.8,9471.1,5878.6,8581.1,14397.9,4410.8,103.1,4550.1,2121.8,1143.4,163315.4,1389.9,3398.9,3157,5428.5,5603.6,17411,5502.6,7121.3,17581.5,5973.2,8500.6,5544.3,0,874374.5,148,7.5,86.3,238.4,2554.4,446.2,43077.7,-65867.6
"TTL_13T15",582.6,186.9,41.6,4764.3,1237.3,855.1,849.8,798.9,6514.6,711474.6,1411.2,14557.8,1849.6,8574.9,7953.7,9046.3,8318.8,1706,1045.5,5868.5,8335,6754,7724.9,12344.2,878.8,2634.8,36184.1,2670,8154.4,9281.5,17464.8,4741.4,363.3,1094,2445.7,2457.3,8503.6,5687.7,1635.3,351.5,13783,3372.8,18243.2,8458.6,44240.9,3571,12215.1,4681.4,3107.3,0,260183.2,33.5,1.7,83.4,633.2,923.8,364.4,290915.6,-26262.7
