"","D01","D02","D03","D05","D06","D07","D08","D09","D10T12","D13T15","D16","D17T18","D19","D20","D21","D22","D23","D24A","D24B","D25","D26","D27","D28","D29","D301","D302T309","D31T33","D35","D36T39","D41T43","D45T47","D49","D50","D51","D52","D53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T75","D77T82","D84","D85","D86T88","D90T93","D94T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_01",507682.8,10659,23859.5,9.1,1.6,6.7,40.5,0.5,809010.1,165527.5,10711,45762,8.3,18755.3,86293.3,134.4,405.9,51.6,16.4,94.6,9.3,25.5,146.5,59.1,9.1,16,8271.3,250.7,1912.3,32999.6,164.3,118.4,5.2,1.3,115.3,3.5,67588.8,71.1,1127,4.5,181.3,518.7,12383.3,7843.8,2.1,1132.5,1062.6,893.9,1897.3,0,504033.8,33.7,6.3,43606.3,534.1,967.7,170.7,18067.7,-79690.6
"TTL_02",2999.8,29611.6,1362.9,838,20.2,78.2,16.3,0,3166.4,43.5,59059.7,7473.8,34.8,9463.6,202.7,25439.1,98.3,8.2,32.3,199.2,14.7,176.3,147.8,14.4,18.7,0.7,8111.3,19.5,333.7,13324.1,6.3,69.8,2.9,60.9,0.1,0.2,653.6,0.1,44.5,0.4,7.2,20.8,765.4,304.7,0.2,163.7,12.8,32.1,74.1,0,4828.5,33.3,0.3,10.5,0.9,12.5,0,79.9,-7469.7
"TTL_03",799.5,2.1,21911.9,0.2,0.1,0.3,1.6,0,89259.2,427.7,437.8,596.3,1.6,1492.4,97.2,20,13.7,8.2,0.4,0.4,0.9,0.4,22,7.6,1.4,1.4,49.8,0.8,9.5,1.9,13.4,0.2,4.1,0.2,0.6,0.3,53005.1,0,100,0.1,15.9,46.5,2046.8,736.8,0.1,199.8,37.6,17.8,175.7,0,101330.4,7.5,0.3,31.3,16.2,53.3,12.7,1383.3,-2736.9
"TTL_05",1242,93.9,83.6,87317.1,336.5,1729.1,3196.9,123.9,3084.3,2642,404.1,6451,30917.7,38182.9,616.6,1088.6,56015.7,42977.4,5562.7,1069.3,70.3,375,991.7,98.1,2.6,94,260.1,178645.6,288.6,1613.9,397.1,184.3,0.1,32.4,0.2,43,105.4,12.4,0.1,0.1,40.3,78.2,450.1,31.3,701.2,1042.4,386.5,57.5,224.3,0,2308.3,0,0.2,2,2.7,2.3,0,446.1,-24163.5
"TTL_06",16.9,1.4,4.5,180.6,4629.5,122,57.2,54.3,4.7,6.5,2.5,187,432224.2,48206.8,63,2600.9,3669.7,1313.6,2075.2,2131.2,71.2,202.9,2593,1346,139.9,359.6,4.6,123402,4.4,88,15.4,77.8,38.9,17,36.7,3.1,3.1,0.7,1.3,1.3,8.5,2,30.1,8.7,111.6,5.2,59.4,4.2,1.3,0,311.3,0,1.4,121.9,4.5,26.5,0,2569.7,-291402.3
"TTL_07",11.8,0.8,0.2,2.6,3,36155.3,224.6,66.3,2.1,7.1,2.6,65.5,487.1,9177.4,129.7,31.3,3351.4,287418.3,142954,12098,238.5,845.9,330.6,258.3,5.4,52.6,83.4,4,93.9,2156.2,6.7,0.9,0.2,0.7,0.4,0.2,0.7,0.3,0.4,1,2.2,1,298.9,0.6,0.6,1.4,0.2,0.1,1.1,0,5.5,0,1.4,5.9,-18.2,7,0,8528.7,-270032.5
"TTL_08",31.2,2,3.3,135.1,136.4,249.7,3391.5,183.1,110.6,50.5,14.6,1599.1,65,18691.9,231.7,167.8,96738.4,753.4,507.8,343.3,223.6,1274.3,440,388.7,37.9,94.3,183.6,245.9,64.9,49001.2,245.5,164,1.2,0.3,150.6,0.1,12.8,2.6,0.2,0.6,2.6,0.8,38.2,2.8,35.5,8.7,2.7,10.5,4.3,0,220.3,0,0.3,10.4,-5.4,6.9,0,3217.2,-8218.3
"TTL_09",1.7,0.1,0.1,1105.9,29705.2,316.4,685,121,242.1,1.2,0.4,1,1766.9,40.3,0.5,3.1,657.6,41.5,22.3,4.5,3.3,1.9,3.6,2.1,0.2,0.5,0.7,232.5,10.8,1530.6,2.2,0.7,0.3,0.2,0.3,0.1,0.5,0.1,0.2,0.5,0.8,0.3,2.1,0.3,0.4,0.3,0.4,0.1,0.1,0,4.9,0,0.6,5.1,0.3,3.9,0,964.8,-1188.8
"TTL_10T12",201723,228.7,33071.6,1017.2,427.8,1828.9,1272.5,32.7,348484.4,20072.3,1564.6,2461.9,5431.4,42249.9,10256.5,1543.5,3063.8,9363.8,8443.9,7448.1,16566,8992.6,13803.6,4710.1,754.9,2350.7,1600.7,11812,6736.2,10687.5,16733.1,5265.3,118.5,5378.8,2500.2,1338.5,198368.2,1587.1,3940.5,3668.4,6082.8,6313.7,20281.6,7178.5,7327.6,21362.9,7687.1,11421.4,5423.3,0,1077853.2,159.4,7.6,99.6,411.7,3027.4,678.1,50612,-81428.9
"TTL_13T15",801.2,260.1,57.4,5864.6,1464.3,1077.7,1118.7,1045.7,8451.2,879804,1866.8,19364.9,2040.5,11036.7,11614.4,12283.9,10730,2128.1,1317.9,7909.1,10824.8,8926.2,10238.7,16486.3,1151.4,3520.8,48435.5,3528.6,10329.6,12344.5,21802.4,6135.7,470.5,1477.3,3156.9,3353.2,13567.3,6902.2,2068.8,441.6,16424.8,4052.3,23339.5,11988.9,49318.2,5006.1,18754.5,6682.4,3092,0,311132.6,35.4,1.8,88.8,851.4,974.4,527.2,316824,-33086.2
