"","D01","D02","D03","D05","D06","D07","D08","D09","D10T12","D13T15","D16","D17T18","D19","D20","D21","D22","D23","D24A","D24B","D25","D26","D27","D28","D29","D301","D302T309","D31T33","D35","D36T39","D41T43","D45T47","D49","D50","D51","D52","D53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T75","D77T82","D84","D85","D86T88","D90T93","D94T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_01",216325.9,4664.4,5481.3,7.7,2.9,15.1,68,31.2,591975.3,148770.4,7216.9,24606.1,9.5,23280.8,58905.9,136.2,461.6,170.3,40.5,208.7,5.6,12.3,231.2,39.5,5,4.9,5126.8,108.6,329.5,24685,664.9,2101.9,65.8,546.5,11588.8,90.8,30100.3,76.8,1092.7,5.1,18.5,284.7,7265.9,2025.3,12.8,2281,1563.7,4010.3,652.5,0,276695.7,26.9,8.3,49209.3,795.1,1356.9,554,13067.5,-51521.4
"TTL_02",1739.5,16789.4,336.1,511,9.4,138.9,19.2,1.4,1535.5,60.9,42284,2306.2,24.6,7101.9,96.3,19636.6,78,17.9,62.7,313.8,1.6,55,167.5,6.9,6.1,3.2,5092.4,4.5,30.2,7204.4,19.5,753.5,36,578.1,15,1,258.1,0.8,46.5,0.6,0.8,8.4,369.3,61.3,0.6,253.3,19.5,228.1,25.9,0,1087.9,25.9,0.4,6.4,0.5,13.9,0,56.4,-6368.2
"TTL_03",3865.2,8.1,38772.9,0.2,0.1,0.7,3.4,2.9,44158.5,657.3,273,598.1,1.7,2520.4,88.3,33.5,19.6,36.1,0.4,0.3,0.8,0.4,44.4,6.3,1,0.6,301,10,436.2,1.4,73.6,0.4,1272.1,0.4,1.2,144.8,27055.7,3.3,77.5,0.2,1.7,31.9,1717.7,266.9,1.6,498.5,59.5,234.7,64.9,0,49573.8,5.8,1.9,19.7,15.7,76.2,41.3,1169.6,-1329.4
"TTL_05",76.9,6.1,3,63126.4,408.7,1144.2,849.7,321,2153.9,1622.4,502.4,3881.5,16224.1,33436.1,428.6,1692.2,36223.5,40870.2,6036.1,2131.4,19.3,303.7,2030.3,313.2,17.1,162.3,762.9,126736.1,793,867.9,13.8,885.7,33.8,88.1,50.2,90.1,48.1,48.9,0.1,0.1,0.1,67.6,277.6,22.1,460.7,450,508,42.6,222.9,0,3207.4,0,0.2,1.2,5.2,1.9,0,549.3,-13103.6
"TTL_06",25.6,2.1,4.5,165.8,2558,290.8,226.4,144.3,6.3,6.9,2.5,1407,319355.1,37192.3,23.5,610.3,2131.8,528.8,837.5,707.3,10.2,11.4,993.2,408.8,37.6,111.1,3.4,74132.2,3.1,57.2,10.8,103.7,31.7,20.9,28.1,1.9,1.7,0.6,1,0.9,6.2,2.6,33.7,19.2,9.6,2.8,4,0.7,1.8,0,256.1,0,3.6,85.1,13.7,43.7,0,1326.1,-222341.5
"TTL_07",4.8,0.4,0.1,225.1,5.7,31788.4,409.8,0.4,1.8,3.2,1.3,10.3,89.9,6814.8,757.1,1280.4,5059.5,187600.6,97549.2,4478.9,44.7,1426.1,668.1,109.4,14,12.7,64.1,250,322.7,1309.9,1,1.2,0.3,0.2,0.4,0.1,0.2,0.1,0.1,0.3,0.5,0.2,169.8,0.4,0.4,0.4,1.1,0.1,0.8,0,3,0,0.9,1.7,-1.6,11.2,0,2057.5,-140111.3
"TTL_08",14.3,1.2,2.1,1471.4,16912.5,855.3,1796.9,51.4,520.2,17.6,32.8,292.4,6.3,12666.2,59.9,59.8,57619.4,945.3,417.9,209.6,7,776.9,303.3,125.8,8.8,13,368,336.4,12.3,14523.9,1.3,15,3.5,1,4.8,0.1,0.9,1.1,0.2,0.4,0.7,0.3,22.4,0.8,0.8,0.9,2.9,1.9,4.3,0,173.7,0,0.7,14,-4.7,7.7,0,3204.5,-4864.5
"TTL_09",1.7,0.1,0.1,857.4,16543.6,349.7,473.9,120.4,461.3,1.7,0.6,2.5,1964.6,50.2,0.6,2.1,1174,37.6,20.7,3.2,3.4,2.4,3.8,1.9,0.2,0.6,0.8,245.7,13.6,2124.3,3,3,1.2,0.5,0.8,0.2,0.4,0.2,0.4,0.5,1.3,0.8,3.2,0.9,0.4,0.2,0.4,0.1,0.3,0,4.3,0,1,4.1,0.9,10.6,0,568.2,-1136.4
"TTL_10T12",170049.8,772.1,13126.3,1675.9,749.2,1886.9,1123.8,16.1,346476.5,21864.8,1123.8,2460.5,2840,50307.9,6930.1,1697.4,5880.2,5219,4258.2,4095.8,6680.4,5071.1,8121.5,1885.9,288.9,489.1,2182.8,3383,2768.7,9924.1,9319.4,4785.4,2361,5906.6,4696.2,691.9,119998.2,2132,2480.9,1463.3,4197.8,4393.9,11533.3,4258.9,9315.7,9393.9,7275.5,3703.2,6051,0,698187,143.9,10.1,66.2,433.4,4820.9,2265.8,43833.7,-40825.6
"TTL_13T15",796.9,152.8,12.8,1851.1,417.2,1332.4,506.1,261.7,2856.1,545919.7,1441.1,7407.5,386.7,9840.9,6783.3,20249.5,11497.6,2040.9,1862,4191.1,1940.9,4264.3,7947.7,15582.2,689.2,1135.1,27619.7,912.8,3163.3,18385.4,3677.1,3573,109.2,748.4,1981.2,426.8,4654.4,4532.5,590.1,57.6,8128,3099.7,8362.9,5312.5,21366.4,1071.4,9831.8,1544.7,2180.2,0,206110.7,23,9.7,113.3,1246.8,1929.8,1723.2,290958.8,-27208.9
