"","D01","D02","D03","D05","D06","D07","D08","D09","D10T12","D13T15","D16","D17T18","D19","D20","D21","D22","D23","D24A","D24B","D25","D26","D27","D28","D29","D301","D302T309","D31T33","D35","D36T39","D41T43","D45T47","D49","D50","D51","D52","D53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T75","D77T82","D84","D85","D86T88","D90T93","D94T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_302T309",115.1,13.4,6.7,27.8,8.4,35.6,13.3,1.7,8.4,6.3,2.2,4.4,17.4,24.4,2.9,10.8,15.8,39.8,10.5,41.4,78.6,78.6,1528.3,625.2,157.5,30223.3,1395.9,4.7,4.3,389.6,99.1,5951.4,5.2,4909.6,454.4,3107.2,4.2,132.6,37.4,155.9,192.7,6.4,196.2,1237.3,269.8,1.1,40.6,32.5,932.7,0,14004,0.1,28.6,47727.8,6000.2,2.9,0,20427.8,-19089
"TTL_31T33",561.4,65.8,64.4,654.7,353.7,605.6,413.3,149.7,947.1,1698.4,425,714.4,290.8,1736.9,462.3,573.4,2807.2,1663.3,730.8,1505.3,2164.6,1675.8,3020,3092.7,274.6,329.9,6630.8,3234,471.7,5864.4,1420.2,2366.7,45.6,337.7,1003,217.7,271.1,382.1,510.3,497.9,6367.3,1410.8,5735.3,1636.5,2186.4,1195.6,339.5,478.8,1292.6,0,31490.7,2.7,4188.6,42319.6,5732.8,740.8,1184,131071.6,-18293.7
"TTL_35",12379.9,372.8,923.1,12359.7,7542.3,17271.1,7218.9,768.5,9171.9,12121.4,3408.8,7240.5,6271.1,62934.3,5078,11357.6,44508.2,43122.4,38357.5,28062.2,10220.8,10095.7,21206.5,8581.8,767.6,1147,4100.2,264770.2,7562.4,34515.9,16278.5,22380.8,560.4,456.3,1380,290.7,3562.3,469.9,3756.4,764.8,5244.5,5540.5,3737.8,954.7,4116.2,2073.3,2461.2,1645.3,3852.7,0,49329.4,6.8,6.3,60.5,13.4,37.7,0,1341.2,-1395.2
"TTL_36T39",1415.7,66.3,154.2,212.4,93.3,364.9,332.6,29,967.2,642.8,103.7,5026.6,121.7,2792.9,170.7,696.1,2262,15241.2,11626.2,3039.9,489.2,400.9,1256.2,407.5,33.2,90,216.4,2528.1,7028.7,1773.9,565.9,288.9,37.5,38.3,77.8,21.1,497.9,22.2,71.8,16.7,496.2,421,534.5,465.8,307.6,317.9,308.6,142.5,447.3,0,14849.7,22.9,57539.4,238.6,1.3,9.4,0,0.1,-230.8
"TTL_41T43",183.8,14,6.8,1193.9,331.8,586.5,590.2,69,1855.4,1288.4,329.6,833.7,579.7,2215.8,305.1,584.3,2450.5,1465.5,949.9,1923.5,3133.7,1542.8,2823.9,1521.8,348.5,298,788,4152.9,1986.2,107081.3,5439.7,8938.5,14.3,375,1581.3,949.5,1694.1,964.1,2244.7,152.7,10764.3,27685.9,4275.3,997.8,8034.3,2174.9,1598.3,1297,1593.7,0,54.5,0.1,7.4,2340827.6,7.7,95.5,0,0.1,-1066.4
"TTL_45T47",46201.5,2047.6,4995.3,5574.3,2321.9,4089.3,2694.1,860.8,90064.6,74336.9,9158.4,15396.9,7622.3,62320,20483.3,24375.1,31947.4,25705.2,11549.8,20244.5,78016,35450.6,50784.2,54410.2,2662.1,6190.8,13297.6,10870.9,3497.7,95944.2,14467.4,17273.1,2773.4,2924.2,5360.7,1261.7,19961.5,2199.9,3824.4,6752.6,6315.1,2391.2,29588.5,8065.4,9011.9,3451,27179.2,2082.7,5603.1,0,225082.7,32.8,1699.1,126035.7,2537.1,4104.7,1008.6,131097.9,-177646.7
"TTL_49",12213.5,1348.3,1547.9,6446.3,1186.6,4970.3,3189,328,30551,15097.8,5819.9,8412.8,9112.9,27184.3,5162,8719.7,29758.9,26102,10807.5,14401.5,18550.6,17487.9,27321,14636.2,825.2,2307.8,5832.7,10073.2,4203.8,85986,20195.4,30408,675.8,822.4,10004.8,1509.5,5725.1,1778.9,1291.4,2001.5,6799.5,2289.4,12472.8,11880.7,10177.8,3023.5,4239.4,1190.1,2392.8,0,52948.6,14.3,57338.8,15245,214.2,6100,3408,20142.1,-34149
"TTL_50",2798.2,184.8,372,1577.5,226.6,1590,647.5,31.8,4312.4,2743.2,883.3,1379.2,1999.9,5695.9,668.5,1771.2,5935.3,5999.8,1780.8,2884.3,4635.2,3319.3,5449.2,2586.4,248.8,355,1106.1,5733.2,879.8,11319.2,5908,2611,20375.4,217.6,11845.2,110.1,767.9,155.8,170.9,289,304.7,511.1,2947.3,1212.5,474,242.5,496.2,256.5,501.9,0,4512.4,0.9,1122.7,4200.4,50.6,1511.6,694.6,17703.4,-14870.8
"TTL_51",1223.9,118.1,114.1,257.3,105.6,414.3,126.8,28.9,2043.4,1507.4,445.3,646.2,2572.7,2625.7,967,978.4,1503.7,1928.3,1185.6,1044.2,5586.7,1935.3,3153.6,1858.3,88.3,261.3,595.7,1090.6,405.7,5157.1,3063,877.4,90.8,10128.4,2541.6,1743,412.2,924.3,355.4,1205.4,3588.2,940,5513.6,2001.5,7831.7,2850.9,621.3,257.1,546.9,0,5539.5,0.7,2026.7,4641.4,28.8,4155.7,2554.8,17331.5,-37456.3
"TTL_52",3156.3,122.4,294.8,1157.7,158.8,1023,563.4,37.5,6248.3,3895.4,1188.2,1813.7,1503.3,5904.7,919.3,2416.4,5855.6,5195.5,2544.3,3279,4237.3,4110,5492,5615.9,190.2,460.7,1482.1,2008,987.2,11338.6,9505.1,36472.3,12231.9,1309.8,5127.6,1222.4,840.9,499,381.6,497,614,672.2,4299.3,1925.1,588.5,213.6,572.3,219.1,808.2,0,5395.6,21.2,938.5,2750.6,64.9,273.4,19,6740.7,-11006.5
