,D01,D02,D03,D04,D05,HFCE,GFCF,INVNT,EXPO
TTL_01,146837892.41463873,19016.601299978847,51368543.817322046,875.4796068639095,27912.054666938497,274785893.30111825,19909101.23919246,4099101.8354431754,11935754.511652155
TTL_02,0.0,2945937.2083137278,75553743.91663617,0.4160835759353041,0.0,0.0,0.0,425881.6425921465,480709.9849868582
TTL_03,89469922.87736575,6767673.543492265,797861078.2839363,49859154.104569934,76405360.4877463,86731059.85717742,0.0,6627360.347867235,135712018.1737729
TTL_04,175129.19087034106,25125.892454448443,1059029.6180602054,432001061.3403061,12843084.410727747,43517681.380413204,61080456.38504848,1481716.2167929728,324845257.4309892
TTL_05,1466926.1756550153,788413.6246224019,773706.7554432568,713062.4194178196,256510397.4578036,106427475.25578296,270550695.99609226,3370371.694069044,40431979.08416514
VALU,654523532.9985694,31747156.00272155,442266116.2619057,135335458.2354095,173895266.7312225,0.0,0.0,0.0,0.0
OUTPUT,1101240339.566563,74440857.0557904,1949035547.206481,833265495.7222667,787241334.8084242,0.0,0.0,0.0,0.0
